Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Tony Banks,QB,28.157,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,7,14,50.00,53,0,0,59.5,0,0,3.79,3.79,BankTo00
Charlie Batch,QB,26.278,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,20,39,51.28,276,0,2,52.9,7,44,7.08,4.77,BatcCh00
Drew Bledsoe,QB,29.207,2001-09-09,NFL,NWE,@,CIN,L 17-23,1,1,Sun,22,38,57.89,241,2,0,94.3,4,17,6.34,7.39,BledDr00
Aaron Brooks,QB,25.169,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,18,29,62.07,209,3,0,118.3,2,17,7.21,9.28,BrooAa00
Mark Brunell,QB,30.357,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,15,26,57.69,198,3,0,120.4,1,0,7.62,9.92,BrunMa00
Quincy Carter,QB,23.331,2001-09-09,NFL,DAL,,TAM,L 6-10,1,1,Sun,9,19,47.37,34,0,2,14.5,2,6,1.79,-2.95,CartQu00
Chris Chandler,QB,35.332,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,11,18,61.11,121,0,0,81.0,2,14,6.72,6.72,ChanCh00
Tim Couch,QB,24.040,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,17,33,51.52,176,0,1,54.6,3,27,5.33,3.97,CoucTi00
Daunte Culpepper,QB,24.224,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,22,38,57.89,236,1,3,52.1,1,2,6.21,3.18,CulpDa00
Brett Favre*,QB,31.334,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,22,28,78.57,260,2,0,129.2,3,15,9.29,10.71,FavrBr00
Jay Fiedler,QB,29.254,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,12,20,60.00,225,2,0,132.3,0,0,11.25,13.25,FiedJa00
Doug Flutie,QB,38.321,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,10,18,55.56,129,0,2,38.7,1,7,7.17,2.17,FlutDo00
Rich Gannon,QB,35.263,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,31,46,67.39,341,2,1,94.6,2,14,7.41,7.30,GannRi00
