Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Chris Long,DE,33.162,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0,1,0,0,0,LongCh99
Mario Addison,DE,31.003,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0,1,0,0,0,AddiMa00
Kwon Alexander,MLB,24.037,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,0,1,0,0,0,AlexKw00
Alex Anzalone,LB,23.352,2018-09-09,NFL,NOR,,TAM,L 40-48,1,1,Sun,0,1,0,0,0,AnzaAl00
Genard Avery,LB,23.136,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0,1,0,0,0,AverGe00
Chidobe Awuzie,CB,23.108,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0,1,0,0,0,AwuzCh00
Tre Boston,S,26.076,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0,1,1,0,0,BostTr00
Bud Dupree,ROLB,25.209,2018-09-09,NFL,PIT,@,CLE,T 21-21,1,1,Sun,0,1,0,0,0,DuprAl00
Tremaine Edmunds,MLB,20.130,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0,1,0,0,0,EdmuTr01
Matthias Farley,S,26.056,2018-09-09,NFL,IND,,CIN,L 23-34,1,1,Sun,0,1,0,0,0,FarlMa00
Clayton Fejedelem,S,25.099,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0,1,1,83,1,FejeCl00
Myles Garrett,DE,22.254,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0,2,0,0,0,GarrMy00
Clayton Geathers,SS,26.100,2018-09-09,NFL,IND,,CIN,L 23-34,1,1,Sun,0,1,0,0,0,GeatCl00
Vernon Hargreaves,CB,23.098,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,0,1,0,0,0,HargVe00
Akiem Hicks,DT,28.297,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0,1,0,0,0,HickAk00
Matthew Ioannidis,DE,24.241,2018-09-09,NFL,WAS,@,ARI,W 24-6,1,1,Sun,0,1,1,0,0,IoanMa01
Kareem Jackson,S,30.152,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,0,2,0,0,0,JackKa99
Chandler Jones,DE,28.194,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0,1,0,0,0,JoneCh03
Linval Joseph,NT,29.334,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,0,1,0,0,0,JoseLi99
Eric Kendricks,MLB,26.192,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,0,1,0,0,0,KendEr00
Khalil Mack,LB,27.199,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0,1,1,0,0,MackKh00
Von Miller,WLB,29.167,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0,2,1,0,0,MillVo00
Nick Perry,OLB,28.150,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0,1,0,0,0,PerrNi00
Daniel Ross,DT,25.178,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0,1,0,0,0,RossDa02
De'Anthony Thomas,WR,25.247,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0,1,0,0,0,ThomDe05
Fred Warner,MIKE,21.294,2018-09-09,NFL,SFO,@,MIN,L 16-24,1,1,Sun,0,1,0,0,0,WarnFr00
Bruce Irvin,DE,30.313,2018-09-10,NFL,OAK,,LAR,L 13-33,1,1,Mon,0,1,0,0,0,IrviBr00
Tony McRae,CB,25.133,2018-09-13,NFL,CIN,,BAL,W 34-23,2,2,Thu,0,1,0,0,0,McRaTo00
