Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
John Abraham,RDE,25.121,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,0,1,0,0,0,AbraJo00
James Allen,WLB,23.300,2003-09-07,NFL,NOR,@,SEA,L 10-27,1,1,Sun,,1,0,,,AlleJa21
Micheal Barrow,MLB,33.141,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,0,1,0,0,0,BarrMi20
Kendrell Bell,RILB,25.067,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,0,1,0,0,0,BellKe20
Greg Biekert,MLB,34.177,2003-09-07,NFL,MIN,@,GNB,W 30-25,1,1,Sun,,1,0,,,BiekGr20
Tony Brackens,LDE,28.255,2003-09-07,NFL,JAX,@,CAR,L 23-24,1,1,Sun,0,1,0,0,0,BracTo00
Jerametrius Butler,LCB,24.283,2003-09-07,NFL,STL,@,NYG,L 13-23,1,1,Sun,,1,1,,,ButlJe20
Marcus Coleman,RCB,29.106,2003-09-07,NFL,HOU,@,MIA,W 21-20,1,1,Sun,0,1,0,0,0,ColeMa20
Roderick Coleman,DT,27.022,2003-09-07,NFL,OAK,@,TEN,L 20-25,1,1,Sun,0,1,0,0,0,ColeRo99
Marques Douglas,RDE,26.186,2003-09-07,NFL,BAL,@,PIT,L 15-34,1,1,Sun,,1,0,,,DougMa20
Kabeer Gbaja-Biamila,RDE,25.348,2003-09-07,NFL,GNB,,MIN,L 25-30,1,1,Sun,0,1,1,0,0,GbajKa20
Robert Griffith,SS,32.281,2003-09-07,NFL,CLE,,IND,L 6-9,1,1,Sun,,1,0,,,GrifRo00
Clark Haggans,ROLB,26.240,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,0,1,0,0,0,HaggCl20
James Hall,RDE,26.215,2003-09-07,NFL,DET,,ARI,W 42-24,1,1,Sun,,1,1,,,HallJa21
Walt Harris,LCB,29.028,2003-09-07,NFL,IND,@,CLE,W 9-6,1,1,Sun,,1,0,,,HarrWa21
Reggie Hayward,DE,24.177,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,0,1,1,0,0,HaywRe20
Kelly Herndon,CB,26.308,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,0,1,0,0,0,HernKe20
