Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Deion Branch,WR,25.053,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,1,0,0.00,0,BranDe00
Tyrone Poole,RCB,32.219,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,1,6,6.00,0,PoolTy20
Brad Pyatt,WR,24.146,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,2,20,10.00,0,PyatBr00
Lamont Brightful,CB,25.226,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,2,11,5.50,0,BrigLa20
Derrick Mason,WR,30.238,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,2,9,4.50,0,MasoDe00
Arnaz Battle,WR,24.203,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,3,4,1.33,0,BattAr00
Bernard Berrian,WR,23.260,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,1,12,12.00,0,BerrBe00
Phillip Buchanon,CB,23.359,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1,13,13.00,0,BuchPh20
Nate Clements,RCB,24.275,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,1,5,5.00,0,ClemNa99
Eddie Drummond,WR,24.153,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,1,2,2.00,0,DrumEd00
Bobby Engram,WR,31.249,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,3,26,8.67,0,EngrBo00
Dante Hall,WR,26.011,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1,26,26.00,0,HallDa00
Mark Jones,WR,23.314,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,1,8,8.00,0,JoneMa01
Jermaine Lewis,WR,29.332,2004-09-12,NFL,JAX,@,BUF,W 13-10,1,1,Sun,4,34,8.50,0,LewiJe00
Michael Lewis,WR,32.303,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,4,24,6.00,0,LewiMi00
Reno Mahe,RB,24.101,2004-09-12,NFL,PHI,,NYG,W 31-17,1,1,Sun,3,50,16.67,0,MaheRe00
Shaun McDonald,WR,23.091,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,2,13,6.50,0,McDoSh00
R.W. McQuarters,RCB,27.266,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,3,12,4.00,0,McQuR.20
Mewelde Moore,RB,22.050,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,1,1,1.00,0,MoorMe00
Chad Morton,RB/K,27.161,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,3,18,6.00,0,MortCh00
J.J. Moses,WR,25.000,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,2,25,12.50,0,MoseJ.00
Santana Moss,FL,25.103,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,2,13,6.50,0,MossSa00
Dennis Northcutt,WR,26.265,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,2,19,9.50,0,NortDe00
Eric Parker,WR,25.151,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,1,13,13.00,0,ParkEr00
Antwaan Randle El,WR,25.026,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,2,22,11.00,0,RandAn00
Allen Rossum,CB,28.326,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,3,19,6.33,0,RossAl99
B.J. Sams,RB,23.319,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,5,0,0.00,0,SamsB.00
Deion Sanders*,CB,37.034,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,1,5,5.00,0,SandDe00
Bill Schroeder,WR,33.247,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,5,21,4.20,0,SchrBi00
Rod Smith,WR,34.120,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,4,55,13.75,0,SmitRo01
Dedric Ward,WR,29.349,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,1,12,12.00,0,WardDe00
Karl Williams,WR,33.155,2004-09-12,NFL,ARI,@,STL,L 10-17,1,1,Sun,1,7,7.00,0,WillKa00
Antonio Chatman,WR/K,25.214,2004-09-13,NFL,GNB,@,CAR,W 24-14,1,1,Mon,3,26,8.67,0,ChatAn00
Eugene Baker,WR,28.185,2004-09-19,NFL,CAR,@,KAN,W 28-17,2,2,Sun,3,18,6.00,0,BakeEu00
Lamont Brightful,CB,25.234,2004-09-19,NFL,MIA,@,CIN,L 13-16,2,2,Sun,7,78,11.14,0,BrigLa20
Tim Brown*,WR,38.059,2004-09-19,NFL,TAM,,SEA,L 6-10,2,2,Sun,2,15,7.50,0,BrowTi00
Troy Brown,WR,33.079,2004-09-19,NFL,NWE,@,ARI,W 23-12,2,2,Sun,4,27,6.75,0,BrowTr00
Phillip Buchanon,CB,24.000,2004-09-19,NFL,OAK,,BUF,W 13-10,2,2,Sun,1,15,15.00,0,BuchPh20
Antonio Chatman,WR/K,25.220,2004-09-19,NFL,GNB,,CHI,L 10-21,2,2,Sun,2,25,12.50,0,ChatAn00
Nate Clements,RCB,24.282,2004-09-19,NFL,BUF,@,OAK,L 10-13,2,2,Sun,2,9,4.50,0,ClemNa99
Bobby Engram,WR,31.256,2004-09-19,NFL,SEA,@,TAM,W 10-6,2,2,Sun,3,25,8.33,0,EngrBo00
Dante Hall,WR,26.018,2004-09-19,NFL,KAN,,CAR,L 17-28,2,2,Sun,2,19,9.50,0,HallDa00
T.J. Houshmandzadeh,WR,26.359,2004-09-19,NFL,CIN,,MIA,W 16-13,2,2,Sun,2,27,13.50,0,HousTJ00
Mark Jones,WR,23.321,2004-09-19,NFL,NYG,,WAS,W 20-14,2,2,Sun,2,22,11.00,0,JoneMa01
Jermaine Lewis,WR,29.339,2004-09-19,NFL,JAX,,DEN,W 7-6,2,2,Sun,5,78,15.60,0,LewiJe00
Michael Lewis,WR,32.310,2004-09-19,NFL,NOR,,SFO,W 30-27,2,2,Sun,2,34,17.00,0,LewiMi00
Derrick Mason,WR,30.246,2004-09-19,NFL,TEN,,IND,L 17-31,2,2,Sun,1,4,4.00,0,MasoDe00
Shaun McDonald,WR,23.098,2004-09-19,NFL,STL,@,ATL,L 17-34,2,2,Sun,1,-2,-2.00,0,McDoSh00
R.W. McQuarters,CB,27.273,2004-09-19,NFL,CHI,@,GNB,W 21-10,2,2,Sun,1,6,6.00,0,McQuR.20
Chad Morton,RB/K,27.168,2004-09-19,NFL,WAS,@,NYG,L 14-20,2,2,Sun,3,26,8.67,0,MortCh00
J.J. Moses,WR,25.007,2004-09-19,NFL,HOU,@,DET,L 16-28,2,2,Sun,3,15,5.00,0,MoseJ.00
Santana Moss,FL,25.110,2004-09-19,NFL,NYJ,@,SDG,W 34-28,2,2,Sun,1,2,2.00,0,MossSa00
Terence Newman,LCB,26.015,2004-09-19,NFL,DAL,,CLE,W 19-12,2,2,Sun,1,7,7.00,0,NewmTe20
Dennis Northcutt,WR,26.272,2004-09-19,NFL,CLE,@,DAL,L 12-19,2,2,Sun,1,11,11.00,0,NortDe00
Eric Parker,WR,25.158,2004-09-19,NFL,SDG,,NYJ,L 28-34,2,2,Sun,4,30,7.50,0,ParkEr00
Julian Peterson,LOLB,26.053,2004-09-19,NFL,SFO,@,NOR,L 27-30,2,2,Sun,1,6,6.00,0,PeteJu00
Brad Pyatt,WR,24.156,2004-09-19,NFL,IND,@,TEN,W 31-17,2,2,Sun,1,3,3.00,0,PyatBr00
Antwaan Randle El,WR,25.033,2004-09-19,NFL,PIT,@,BAL,L 13-30,2,2,Sun,3,11,3.67,0,RandAn00
Allen Rossum,CB,28.333,2004-09-19,NFL,ATL,,STL,W 34-17,2,2,Sun,3,35,11.67,0,RossAl99
B.J. Sams,RB,23.326,2004-09-19,NFL,BAL,,PIT,W 30-13,2,2,Sun,5,59,11.80,0,SamsB.00
Deion Sanders*,CB,37.041,2004-09-19,NFL,BAL,,PIT,W 30-13,2,2,Sun,1,23,23.00,0,SandDe00
Bill Schroeder,WR,33.254,2004-09-19,NFL,TAM,,SEA,L 6-10,2,2,Sun,1,0,0.00,0,SchrBi00
Darren Sharper,FS,28.321,2004-09-19,NFL,GNB,,CHI,L 10-21,2,2,Sun,1,9,9.00,0,SharDa00
Rod Smith,WR,34.127,2004-09-19,NFL,DEN,@,JAX,L 6-7,2,2,Sun,3,32,10.67,0,SmitRo01
Dedric Ward,WR,29.356,2004-09-19,NFL,DAL,,CLE,W 19-12,2,2,Sun,2,9,4.50,0,WardDe00
Reno Mahe,RB,24.109,2004-09-20,NFL,PHI,,MIN,W 27-16,2,2,Mon,1,2,2.00,0,MaheRe00
Arnaz Battle,WR,24.217,2004-09-26,NFL,SFO,@,SEA,L 0-34,3,3,Sun,2,13,6.50,0,BattAr00
