Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Troy Aikman*,QB,32.295,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,28.88,28.9,34.9,31.9,28,49,362,5,3,2,4,0,0,0,0,0,,,,,AikmTr00
Derrick Alexander,WR,27.310,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,21.40,27.4,30.4,24.4,0,0,0,0,0,0,0,0,6,154,1,0,,,,,AlexDe00
Terry Allen,RB,31.203,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,10.90,11.9,11.9,11.4,0,0,0,0,0,15,54,1,1,-5,0,0,,,,,AlleTe00
John Allred,TE,25.003,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,1,1,0,,,,,AllrJo00
Mike Alstott,FB,25.265,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,3.70,5.7,5.7,4.7,0,0,0,0,0,9,12,0,2,25,0,0,,,,,AlstMi00
Kimble Anders,RB,33.002,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,5.30,7.3,7.3,6.3,0,0,0,0,0,10,39,0,2,14,0,0,,,,,AndeKi00
Morten Andersen*,K,39.024,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,2.00,2.0,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,andermor01
Gary Anderson,K,40.058,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,5.00,5.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,andergar02
Jamal Anderson,RB,26.347,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,8.40,10.4,10.4,9.4,0,0,0,0,0,16,50,0,2,34,0,0,,,,,AndeJa00
Richie Anderson,FB,27.364,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,10.30,11.3,11.3,10.8,0,0,0,0,0,1,16,0,1,27,1,0,,,,,AndeRi00
Reidel Anthony,WR,22.327,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,1.00,3.0,3.0,2.0,0,0,0,0,0,0,0,0,2,10,0,0,,,,,AnthRe00
Justin Armour,WR,26.254,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,7.60,11.6,11.6,9.6,0,0,0,0,0,0,0,0,4,76,0,0,,,,,ArmoJu00
Reggie Barlow,WR/K,26.233,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,4.10,6.1,6.1,5.1,0,0,0,0,0,0,0,0,2,41,0,0,,,,,BarlRe00
Charlie Batch,QB,24.281,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,18.34,18.3,19.3,19.3,16,26,216,3,1,3,-3,0,0,0,0,0,,,,,BatcCh00
Mario Bates,RB,26.239,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,6.60,6.6,6.6,6.6,0,0,0,0,0,4,6,1,0,0,0,0,,,,,BateMa00
Fred Baxter,TE,28.090,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,6.70,7.7,7.7,7.2,0,0,0,0,0,0,0,0,1,7,1,0,,,,,BaxtFr00
Sean Bennett,RB,23.307,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,3.10,4.1,4.1,3.6,0,0,0,0,0,13,24,0,1,7,0,0,,,,,BennSe00
Jerome Bettis*,RB,27.208,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,9.10,10.1,10.1,9.6,0,0,0,0,0,18,89,0,1,2,0,0,,,,,BettJe00
Steve Beuerlein,QB,34.189,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,9.08,9.1,11.1,10.1,16,32,207,1,1,1,8,0,0,0,0,0,,,,,BeueSt00
Tim Biakabutuka,RB,25.231,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,5.00,6.0,6.0,5.5,0,0,0,0,0,8,45,0,1,5,0,0,,,,,BiakTi00
Eric Bjornson,TE,27.271,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,1.30,2.3,2.3,1.8,0,0,0,0,0,0,0,0,1,13,0,0,,,,,BjorEr00
Will Blackwell,WR,24.065,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,1.80,3.8,3.8,2.8,0,0,0,0,0,0,0,0,2,18,0,0,,,,,BlacWi00
Jeff Blake,QB,28.282,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,24.28,24.3,26.3,26.3,18,31,182,2,2,11,90,0,0,0,0,0,,,,,BlakJe00
Drew Bledsoe,QB,27.210,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,13.50,13.5,18.5,14.5,21,30,340,1,1,1,-1,0,0,0,0,0,,,,,BledDr00
David Boston,WR,21.024,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,2.20,6.2,6.2,4.2,0,0,0,0,0,1,1,0,4,21,0,0,,,,,BostDa00
Corey Bradford,WR,23.278,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,8.70,10.7,10.7,9.7,0,0,0,0,0,0,0,0,2,27,1,0,,,,,BradCo00
Kyle Brady,TE,27.241,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,1.30,3.3,3.3,2.3,0,0,0,0,0,0,0,0,2,13,0,0,,,,,BradKy00
Doug Brien,K,28.292,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,7.00,7.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,briendou01
