Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Reggie Barlow,WR/K,27.225,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,1,24,24.00,0,BarlRe00
Michael Bates,RB,30.259,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,4,164,41.00,1,BateMi00
Dialleo Burks,WR,26.058,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,1,25,25.00,0,BurkDi20
Tyrone Carter,DB,24.156,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,5,124,24.80,0,CartTy20
Mike Cloud,RB,25.064,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,5,111,22.20,0,ClouMi00
Laveranues Coles,WR/K,22.249,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,2,41,20.50,0,ColeLa00
Ron Dixon,WR,24.098,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,2,27,13.50,0,DixoRo00
Tim Dwight,WR/K,25.052,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,3,74,24.67,0,DwigTi00
Kevin Faulk,RB,24.090,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,3,85,28.33,0,FaulKe00
Aaron Glenn,LCB,28.049,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,3,51,17.00,0,GlenAa00
Darrien Gordon,CB,29.294,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,1,17,17.00,0,GordDa20
Desmond Howard,WR,30.111,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,3,50,16.67,0,HowaDe00
Qadry Ismail,WR,29.300,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,1,38,38.00,0,IsmaQa00
MarTay Jenkins,WR,25.188,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,4,92,23.00,0,JenkMa00
Ronney Jenkins,RB,23.101,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,1,26,26.00,0,JenkRo00
Travis Jervey,RB,28.121,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,1,18,18.00,0,JervTr00
Napoleon Kaufman,RB,27.088,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,2,48,24.00,0,KaufNa00
Brian Kozlowski,TE,29.335,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,1,14,14.00,0,KozlBr00
Brock Marion,FS,30.084,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,1,26,26.00,0,MariBr00
Derrick Mason,WR,26.230,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,5,182,36.40,0,MasoDe00
Glyn Milburn,RB/K,29.197,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,7,175,25.00,0,MilbGl00
Basil Mitchell,RB,24.362,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,1,26,26.00,0,MitcBa00
Brian Mitchell,RB/K,32.016,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,1,29,29.00,0,MitcBr00
Chad Morton,RB,23.152,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,4,105,26.25,0,MortCh00
Mike Morton,LB,28.159,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,1,13,13.00,0,MortMi20
David Patten,WR,26.015,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,2,38,19.00,0,PattDa00
Hank Poteat,CB,23.004,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,1,25,25.00,0,PoteHa20
Charlie Rogers,RB,24.076,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,6,108,18.00,0,RogeCh00
Allen Rossum,CB/K,24.317,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,3,77,25.67,0,RossAl99
James Thrash,WR,25.128,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,3,53,17.67,0,ThraJa00
