Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Sebastian Janikowski,K,27.190,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,2,2,100.0,,1,0.0,,,0,2,janikseb01
Adam Vinatieri,K,32.254,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,3,4,75.0,1,1,100.0,,,0,6,vinatada01
Rob Bironas,K,27.225,2005-09-11,NFL,TEN,@,PIT,L 7-34,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,bironrob01
Doug Brien,K,34.291,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,1,1,100.0,,,,,,0,1,briendou01
Josh Brown,K,26.135,2005-09-11,NFL,SEA,@,JAX,L 14-26,1,1,Sun,2,2,100.0,,,,,,0,2,brownjos01
Kris Brown,K,28.262,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,1,1,100.0,,,,,,0,1,brownkri01
Matt Bryant,K,30.105,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,bryanmat01
John Carney,K,41.144,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,carnejoh01
Jose Cortez,K,30.107,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,4,4,100.0,,,,,,0,4,cortejos01
Phil Dawson,K,30.231,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,dawsophi01
Paul Edinger,K,27.237,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,edingpau01
Jason Elam,K,35.187,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,elamxjas01
Jay Feely,PK,29.111,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,6,6,100.0,,,,,,0,6,feelyjay01
Shayne Graham,K,27.276,2005-09-11,NFL,CIN,@,CLE,W 27-13,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,grahasha01
Jason Hanson,K,35.086,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,hansojas01
Nate Kaeding,K,23.169,2005-09-11,NFL,SDG,,DAL,L 24-28,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,kaedinat01
John Kasay,K,35.319,2005-09-11,NFL,CAR,,NOR,L 20-23,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,kasayjoh01
Rian Lindell,K,28.234,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,1,1,100.0,5,5,100.0,,,0,16,linderia01
Olindo Mare,K,32.097,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,marexoli01
Joe Nedney,K,32.173,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,4,4,100.0,,,,,,0,4,nednejoe01
Mike Nugent,K,23.193,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,nugenmik01
Neil Rackers,K,29.026,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,rackenei01
