Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Randall Cobb,WR,21.017,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,2,2,35,17.50,1,100.0%,17.50,CobbRa00
Marques Colston,WR,28.095,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,9,6,81,13.50,0,66.7%,9.00,ColsMa00
Tom Crabtree,TE,25.308,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1,1,4,4.00,0,100.0%,4.00,CrabTo00
Donald Driver,WR,36.218,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,7,4,41,10.25,0,57.1%,5.86,DrivDo00
Jermichael Finley,TE,24.166,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,4,3,53,17.67,0,75.0%,13.25,FinlJe00
Jimmy Graham,TE,24.288,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,7,4,56,14.00,1,57.1%,8.00,GrahJi00
Ryan Grant,RB,28.273,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1,1,5,5.00,0,100.0%,5.00,GranRy00
Devery Henderson,WR,29.166,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,9,6,100,16.67,1,66.7%,11.11,HendDe00
Greg Jennings,WR,27.352,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,8,7,89,12.71,1,87.5%,11.13,JennGr00
James Jones,WR,27.161,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1,1,1,1.00,0,100.0%,1.00,JoneJa04
John Kuhn,FB,28.364,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,2,2,7,3.50,0,100.0%,3.50,KuhnJo00
Robert Meachem,WR,26.345,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,8,5,70,14.00,1,62.5%,8.75,MeacRo00
Jordy Nelson,WR,26.100,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,8,6,77,12.83,1,75.0%,9.63,NelsJo00
Darren Sproles,RB,28.080,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,9,7,75,10.71,0,77.8%,8.33,SproDa00
Pierre Thomas,RB,26.264,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,5,4,37,9.25,0,80.0%,7.40,ThomPi00
Joseph Addai,RB,28.131,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,4,2,13,6.50,0,50.0%,3.25,AddaJo00
Danny Amendola,WR,25.313,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,6,5,45,9.00,0,83.3%,7.50,AmenDa00
Anthony Armstrong,WR,28.166,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,6,2,24,12.00,1,33.3%,4.00,ArmsAn00
Miles Austin,WR,27.073,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,9,5,90,18.00,1,55.6%,10.00,AustMi00
Jason Avant,FB,28.144,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,7,3,40,13.33,0,42.9%,5.71,AvanJa00
Billy Bajema,TE,28.315,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,3,2,21,10.50,0,66.7%,7.00,BajeBi00
Doug Baldwin,WR,22.355,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,6,4,83,20.75,1,66.7%,13.83,BaldDo00
Jake Ballard,TE,23.283,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,3,2,59,29.50,0,66.7%,19.67,BallJa21
Jackie Battle,RB,27.345,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,1,1,-1,-1.00,0,100.0%,-1.00,BattJa00
Arrelious Benn,WR,23.003,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,7,4,27,6.75,0,57.1%,3.86,BennAr00
Earl Bennett,WR,24.172,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,4,2,11,5.50,0,50.0%,2.75,BennEa00
Cedric Benson,HB,28.257,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,1,1,2,2.00,0,100.0%,2.00,BensCe00
Jahvid Best,RB,22.224,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,5,4,42,10.50,0,80.0%,8.40,BestJa00
Anquan Boldin,WR,30.343,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,7,4,74,18.50,1,57.1%,10.57,BoldAn00
Dwayne Bowe,WR,26.355,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,8,2,17,8.50,0,25.0%,2.13,BoweDw00
Ahmad Bradshaw,RB,25.176,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,2,1,10,10.00,0,50.0%,5.00,BradAh00
Steve Breaston,WR,28.022,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,2,2,26,13.00,0,100.0%,13.00,BreaSt00
Dezmon Briscoe,WR,22.011,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,2,2,14,7.00,0,100.0%,7.00,BrisDe00
Kenny Britt,WR,22.357,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,10,5,136,27.20,2,50.0%,13.60,BritKe00
Antonio Brown,WR,23.063,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,9,2,14,7.00,0,22.2%,1.56,BrowAn04
Dez Bryant,WR,22.311,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,8,3,71,23.67,1,37.5%,8.88,BryaDe01
Nate Burleson,WR,30.023,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,5,5,60,12.00,0,100.0%,12.00,BurlNa00
Plaxico Burress,WR,34.030,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,9,4,72,18.00,1,44.4%,8.00,BurrPl00
James Casey,FB,26.354,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,3,3,29,9.67,0,100.0%,9.67,CaseJa00
Matt Cassel,QB,29.117,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,1,1,-4,-4.00,0,100.0%,-4.00,CassMa00
Brent Celek,TE,26.229,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,3,1,13,13.00,0,33.3%,4.33,CeleBr00
Scott Chandler,TE,26.050,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,5,5,63,12.60,2,100.0%,12.60,ChanSc00
Jamaal Charles,RB,24.258,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,6,5,9,1.80,1,83.3%,1.50,CharJa00
Tashard Choice,RB,26.295,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,1,1,5,5.00,0,100.0%,5.00,ChoiTa00
Dallas Clark,TE,32.091,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,5,4,39,9.75,0,80.0%,7.80,ClarDa00
Keary Colbert,WR,29.113,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,3,2,8,4.00,0,66.7%,2.67,ColbKe00
Jared Cook,TE,24.157,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,2,1,7,7.00,0,50.0%,3.50,CookJa02
Chris Cooley,TE,29.062,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,3,2,21,10.50,0,66.7%,7.00,CoolCh00
