Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Danny Clark,SLB,31.118,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0,0,0,1,ClarDa21
LaRon Landry,FS,23.326,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0,0,0,1,LandLa99
Carlos Rogers,RCB,27.064,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0,0,0,1,RogeCa20
Aaron Ross,LCB,25.355,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0,0,0,1,RossAa99
Fred Smoot,LCB,28.045,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,1,0,0,1,SmooFr20
Corey Webster,RCB,26.186,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0,0,0,3,WebsCo20
Will Allen,LCB,30.033,2008-09-07,NFL,MIA,,NYJ,L 14-20,1,1,Sun,0,0,0,2,AlleWi20
Ronde Barber,RCB,33.153,2008-09-07,NFL,TAM,@,NOR,L 20-24,1,1,Sun,0,0,0,1,BarbRo00
Eric Barton,ILB,30.344,2008-09-07,NFL,NYJ,@,MIA,W 20-14,1,1,Sun,0,0,0,1,BartEr20
Michael Boley,OLB,26.014,2008-09-07,NFL,ATL,,DET,W 34-21,1,1,Sun,0,0,0,1,BoleMi20
David Bowens,LB,31.066,2008-09-07,NFL,NYJ,@,MIA,W 20-14,1,1,Sun,0,0,0,1,BoweDa20
Stewart Bradley,MLB,24.310,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,0,0,0,1,BradSt99
Alex Brown,RDE,29.095,2008-09-07,NFL,CHI,@,IND,W 29-13,1,1,Sun,0,0,0,1,BrowAl20
C.C. Brown,SS,25.224,2008-09-07,NFL,HOU,@,PIT,L 17-38,1,1,Sun,0,0,0,1,BrowC.20
Mike Brown,SLB,30.207,2008-09-07,NFL,CHI,@,IND,W 29-13,1,1,Sun,0,0,0,1,BrowMi99
Phillip Buchanon,LCB,27.354,2008-09-07,NFL,TAM,@,NOR,L 20-24,1,1,Sun,1,26,1,1,BuchPh20
Antoine Cason,CB,22.060,2008-09-07,NFL,SDG,,CAR,L 24-26,1,1,Sun,0,0,0,1,CasoAn99
Corey Chavous,SS,32.236,2008-09-07,NFL,STL,@,PHI,L 3-38,1,1,Sun,0,0,0,1,ChavCo00
Chris Clemons,DE,26.312,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,0,0,0,1,ClemCh23
Drew Coleman,CB,25.138,2008-09-07,NFL,NYJ,@,MIA,W 20-14,1,1,Sun,0,0,0,1,ColeDr20
Antonio Cromartie,RCB,24.145,2008-09-07,NFL,SDG,,CAR,L 24-26,1,1,Sun,0,0,0,1,CromAn20
Andra Davis,MLB,29.259,2008-09-07,NFL,CLE,,DAL,L 10-28,1,1,Sun,0,0,0,1,DaviAn20
Thomas Davis,WLB,25.169,2008-09-07,NFL,CAR,@,SDG,W 26-24,1,1,Sun,0,0,0,1,DaviTh20
Brian Dawkins*,FS,34.330,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,0,0,0,1,DawkBr00
Cortland Finnegan,RCB,24.218,2008-09-07,NFL,TEN,,JAX,W 17-10,1,1,Sun,2,1,0,3,FinnCo20
