Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Nelson Agholor,WR,25.105,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,10,8,33,4.13,0,80.0%,3.30,AghoNe00
DeAndre Carter,WR,25.149,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,1,10,10.00,0,100.0%,10.00,CartDe02
Tevin Coleman,RB,25.143,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,2,1,26,26.00,0,50.0%,13.00,ColeTe01
Zach Ertz,TE,27.300,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,10,5,48,9.60,0,50.0%,4.80,ErtzZa00
Nick Foles,QB,29.229,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,1,15,15.00,0,100.0%,15.00,FoleNi00
Devonta Freeman,RB,26.175,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,5,3,14,4.67,0,60.0%,2.80,FreeDe00
Dallas Goedert,TE,23.246,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,3,1,4,4.00,0,33.3%,1.33,GoedDa00
Austin Hooper,TE,23.306,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,4,3,24,8.00,0,75.0%,6.00,HoopAu00
Julio Jones,WR,29.210,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,19,10,169,16.90,0,52.6%,8.89,JoneJu02
Mohamed Sanu,WR,29.015,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,6,4,18,4.50,0,66.7%,3.00,SanuMo00
Darren Sproles,RB,35.078,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,7,4,22,5.50,0,57.1%,3.14,SproDa00
Davante Adams,WR,25.259,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,8,5,88,17.60,1,62.5%,11.00,AdamDa01
Jordan Akins,TE,26.143,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,2,2,11,5.50,0,100.0%,5.50,AkinJo00
