Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Ricardo Colclough,CB,22.346,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,26,26.00,0,ColcRi20
Santonio Holmes,WR,22.188,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,2,49,24.50,0,HolmSa00
Travis Minor,RB,27.069,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,1,0,0.00,0,MinoTr00
Wes Welker,WR,25.129,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,3,74,24.67,0,WelkWe00
Roc Alexander,CB,24.352,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,1,18,18.00,0,AlexRo21
J.J. Arrington,RB,23.230,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,5,124,24.80,0,ArriJ.00
Mike Bell,RB,23.140,2006-09-10,NFL,DEN,@,STL,L 10-18,1,1,Sun,2,40,20.00,0,BellMi00
Kyle Brady,TE,34.239,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,1,9,9.00,0,BradKy00
Phillip Buchanon,CB,25.356,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,2,41,20.50,0,BuchPh20
Torrie Cox,CB,25.316,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,1,26,26.00,0,CoxxTo21
Josh Cribbs,WR,23.093,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,5,114,22.80,0,CribJo01
Rashied Davis,WR,27.048,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,1,18,18.00,0,DaviRa00
Eddie Drummond,WR,26.151,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,2,38,19.00,0,DrumEd00
Abram Elam,S,24.330,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,1,19,19.00,0,ElamAb20
Kevin Faulk,RB,30.097,2006-09-10,NFL,NWE,,BUF,W 19-17,1,1,Sun,1,23,23.00,0,FaulKe00
Robert Ferguson,WR,26.267,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,2,36,18.00,0,FergRo00
Samkon Gado,RB,23.301,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,3,57,19.00,0,GadoSa00
Dante Hall,WR,28.009,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,4,87,21.75,0,HallDa00
Noah Herron,RB,24.160,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,2,36,18.00,0,HerrNo00
Maurice Hicks,RB,28.050,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,6,151,25.17,0,HickMa00
Adam Jones,RCB,22.345,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,1,28,28.00,0,JonePa20
