Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Garrett Hartley,K,24.116,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,2,2,100.0,,2,0.0,,,0,2,HartGa00
Ryan Longwell,K,36.024,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,,1,0.0,1,1,100.0,,,0,3,longwrya01
David Akers,K,35.277,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,akersdav01
Connor Barth,K,24.154,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,barthco01
Rob Bironas,K,32.226,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,5,5,100.0,1,1,100.0,,,0,8,bironrob01
Josh Brown,K,31.136,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,1,1,100.0,2,3,66.7,,,0,7,brownjos01
David Buehler,K,23.219,2010-09-12,NFL,DAL,@,WAS,L 7-13,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,BuehDa44
Dan Carpenter,K,24.291,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,1,1,100.0,2,3,66.7,,,0,7,CarpDa44
Mason Crosby,K,26.009,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,CrosMa20
Phil Dawson,K,35.232,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,2,2,100.0,,1,0.0,,,0,2,dawsophi01
Jay Feely,K,34.112,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,feelyjay01
Graham Gano,K,23.156,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,GanoGr44
Stephen Gostkowski,K,26.227,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,5,5,100.0,1,3,33.3,,,0,8,GostSt20
Robbie Gould,K,27.280,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,gouldrob01
Jason Hanson,K,40.087,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,2,2,100.0,,,,,,0,2,hansojas01
Sebastian Janikowski,K,32.194,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,1,1,100.0,2,3,66.7,,,0,7,janikseb01
John Kasay,K,40.320,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,kasayjoh01
Rian Lindell,K,33.235,2010-09-12,NFL,BUF,,MIA,L 10-15,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,linderia01
Olindo Mare,K,37.098,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,marexoli01
Mike Nugent,K,28.194,2010-09-12,NFL,CIN,@,NWE,L 24-38,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,nugenmik01
Matt Prater,K,26.033,2010-09-12,NFL,DEN,@,JAX,L 17-24,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,PratMa20
Neil Rackers,K,34.027,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,rackenei01
Josh Scobee,PK,28.081,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,scobejos01
Lawrence Tynes,K,32.132,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,tyneslaw01
Adam Vinatieri,K,37.258,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,vinatada01
