Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Mike Adams,SS,32.165,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,2,0,2,0,0,AdamMi21
Robert Ayers,RDE,27.364,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,1.0,1,0,1,1,1,AyerRo99
Aaron Brewer,LS,23.062,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,1,0,1,0,0,BrewAa00
Josh Bynes,WILL,24.012,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,6,2,8,0,0,ByneJo00
Chris Canty,DE,30.299,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,1.0,2,0,2,1,3,CantCh21
Tony Carter,LCB,27.104,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,3,1,4,0,0,CartTo99
Elvis Dumervil,SAM,29.229,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,1.0,1,1,2,1,1,DumeEl20
Matt Elam,S,22.003,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,1,0,1,0,0,ElamMa00
Corey Graham,CB,28.042,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,5,2,7,0,0,GrahCo99
Chris Harris,CB,24.079,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,3,0,3,0,0,HarrCh01
Michael Huff,FS,30.183,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,2,0,2,0,0,HuffMi20
James Ihedigbo,SS,29.276,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,4,1,5,0,0,IhedJa00
Duke Ihenacho,SS,24.081,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,11,1,12,1,0,IhenDu00
Nate Irving,MLB,25.055,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,3,1,4,1,0,IrviNa00
Malik Jackson,DE,23.237,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,0,1,1,0,0,JackMa02
Kyle Juszczyk,FB,22.135,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,0,1,1,0,0,JuszKy00
Terrance Knighton,NT,27.063,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,1,1,2,0,1,KnigTe99
Paris Lenon,LB,35.283,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,2,0,2,0,0,LenoPa20
Albert McClellan,ILB,27.093,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,2,0,2,0,0,McClAl00
Pernell McPhee,OLB,24.262,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,1,0,1,0,0,McPhPe00
Rahim Moore,FS,23.206,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,0.0,6,0,6,0,0,MoorRa00
Haloti Ngata,NT,29.227,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,2,2,4,1,0,NgatHa20
Shaun Phillips,SLB,32.115,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,2.5,3,1,4,2,3,PhilSh20
Daryl Smith,MIKE,31.175,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,0.0,3,1,4,0,0,SmitDa24
