Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Mason Crosby,K,30.001,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,1,1,100.0,1,1,100.0,,,0,4,CrosMa20
Stephen Hauschka,K,29.067,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,4,4,100.0,2,2,100.0,,,0,10,HausSt00
Dan Bailey,K,26.224,2014-09-07,NFL,DAL,,SFO,L 17-28,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,BailDa00
Matt Bryant,K,39.101,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,4,4,100.0,3,3,100.0,,,0,13,bryanmat01
Randy Bullock,K,24.265,2014-09-07,NFL,HOU,,WAS,W 17-6,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,BullRa00
Dan Carpenter,K,28.286,2014-09-07,NFL,BUF,@,CHI,W 23-20,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,CarpDa44
Billy Cundiff,K,34.161,2014-09-07,NFL,CLE,@,PIT,L 27-30,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,cundibil01
Phil Dawson,K,39.227,2014-09-07,NFL,SFO,@,DAL,W 28-17,1,1,Sun,4,4,100.0,,1,0.0,,,0,4,dawsophi01
Nick Folk,K,29.306,2014-09-07,NFL,NYJ,,OAK,W 19-14,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,FolkNi20
Graham Gano,K,27.151,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,2,2,100.0,2,3,66.7,,,0,8,GanoGr44
Stephen Gostkowski,K,30.222,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,GostSt20
Robbie Gould,K,31.275,2014-09-07,NFL,CHI,,BUF,L 20-23,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,gouldrob01
Shayne Graham,K,36.272,2014-09-07,NFL,NOR,@,ATL,L 34-37,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,grahasha01
Brandon McManus,K,23.044,2014-09-07,NFL,DEN,,IND,W 31-24,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,McMaBr01
Mike Nugent,K,32.189,2014-09-07,NFL,CIN,@,BAL,W 23-16,1,1,Sun,,,,5,6,83.3,,,0,15,nugenmik01
Cody Parkey,K,22.200,2014-09-07,NFL,PHI,,JAX,W 34-17,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,ParkCo03
Cairo Santos,K,22.299,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,SantCa01
Josh Scobee,K,32.076,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,2,2,100.0,1,3,33.3,,,0,5,scobejos01
Caleb Sturgis,K,25.029,2014-09-07,NFL,MIA,,NWE,W 33-20,1,1,Sun,3,3,100.0,4,4,100.0,,,0,15,SturCa00
Ryan Succop,K,27.353,2014-09-07,NFL,TEN,@,KAN,W 26-10,1,1,Sun,2,2,100.0,4,4,100.0,,,0,14,SuccRy44
Shaun Suisham,K,32.252,2014-09-07,NFL,PIT,,CLE,W 30-27,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,suishsha01
Justin Tucker,K,24.290,2014-09-07,NFL,BAL,,CIN,L 16-23,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,TuckJu00
Adam Vinatieri,K,41.253,2014-09-07,NFL,IND,@,DEN,L 24-31,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,vinatada01
Blair Walsh,K,24.242,2014-09-07,NFL,MIN,@,STL,W 34-6,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,WalsBl00
Greg Zuerlein,K,26.254,2014-09-07,NFL,STL,,MIN,L 6-34,1,1,Sun,,,,2,3,66.7,,,0,6,ZuerGr00
Chandler Catanzaro,K,23.194,2014-09-08,NFL,ARI,,SDG,W 18-17,1,1,Mon,,,,2,2,100.0,,,0,6,CataCh00
Nate Freese,K,24.021,2014-09-08,NFL,DET,,NYG,W 35-14,1,1,Mon,3,3,100.0,2,3,66.7,,,0,9,FreeNa00
