Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Karim Abdul-Jabbar,RB,26.067,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,1,-2,-2.00,0,AbduKa00
Shaun Alexander,RB,23.004,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,2,5,2.50,0,AlexSh00
James Allen,RB,25.159,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,9,60,6.67,0,AlleJa00
Mike Alstott,FB,26.257,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,16,54,3.38,2,AlstMi00
Jamal Anderson,RB,27.339,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,24,77,3.21,0,AndeJa00
Obafemi Ayanbadejo,FB,25.182,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,2,0,0.00,0,AyanOb00
Tony Banks,QB,27.151,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,2,5,2.50,0,BankTo00
Tiki Barber,RB,25.149,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,13,144,11.08,2,BarbTi00
Fred Beasley,FB,25.351,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,5,10,2.00,1,BeasFr00
Donnell Bennett,FB,27.355,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,6,-4,-0.67,0,BennDo00
Jerome Bettis*,HB,28.200,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,9,8,0.89,0,BettJe00
Steve Beuerlein,QB,35.180,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,2,10,5.00,0,BeueSt00
Tim Biakabutuka,RB,26.223,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,15,88,5.87,0,BiakTi00
Jeff Blake,QB,29.274,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,5,22,4.40,0,BlakJe00
Drew Bledsoe,QB,28.202,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,8,30,3.75,0,BledDr00
Marty Booker,WR,24.034,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,1,-6,-6.00,0,BookMa00
Reggie Brown,FB,27.069,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,2,3,1.50,0,BrowRe00
Tim Brown*,WR,34.043,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,1,3,3.00,0,BrowTi00
Troy Brown,WR,29.063,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,2,33,16.50,0,BrowTr00
Mark Brunell,QB,29.352,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,1,5,5.00,0,BrunMa00
Shawn Bryson,RB,23.288,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,10,16,1.60,0,BrysSh00
Tony Carter,FB,28.011,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,1,4,4.00,0,CartTo00
Stoney Case,QB,28.058,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,3,17,5.67,0,CaseSt00
Larry Centers,RB,32.094,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,4,26,6.50,0,CentLa00
Robert Chancey,RB,27.362,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,23,74,3.22,1,ChanRo20
Chris Chandler,QB,34.327,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,4,12,3.00,0,ChanCh00
Bob Christian,FB,31.294,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,3,5,1.67,0,ChriBo00
Mike Cloud,RB,25.064,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,2,5,2.50,0,ClouMi00
Kerry Collins,QB,27.248,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,5,1,0.20,0,CollKe00
Tim Couch,QB,23.034,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,2,32,16.00,0,CoucTi00
Zack Crockett,RB,27.276,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,1,0,0.00,0,CrocZa00
Daunte Culpepper,QB,23.219,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,13,73,5.62,3,CulpDa00
Randall Cunningham,QB,37.160,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,1,5,5.00,0,CunnRa00
Stephen Davis,RB,26.186,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,23,133,5.78,1,DaviSt00
Ron Dayne,RB,22.173,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,23,78,3.39,1,DaynRo00
Warrick Dunn,RB,25.242,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,16,56,3.50,0,DunnWa00
Troy Edwards,FL,23.149,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,1,-9,-9.00,0,EdwaTr00
Bert Emanuel,WR,29.313,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,1,-1,-1.00,0,EmanBe00
Bobby Engram,WR,27.240,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,1,1,1.00,0,EngrBo00
Curtis Enis,RB,24.080,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,4,11,2.75,0,EnisCu00
Kevin Faulk,RB,24.090,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,10,21,2.10,0,FaulKe00
Brett Favre*,QB,30.329,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,2,13,6.50,0,FavrBr00
Jay Fiedler,QB,28.249,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,3,9,3.00,0,FiedJa00
Terrell Fletcher,RB,26.355,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,3,8,2.67,0,FletTe00
Rich Gannon,QB,34.258,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,6,17,2.83,0,GannRi00
Jeff Garcia,QB,30.192,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,2,22,11.00,0,GarcJe00
Charlie Garner,RB,28.203,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,15,62,4.13,0,GarnCh00
Eddie George,RB,26.345,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,17,37,2.18,1,GeorEd00
Ahman Green,RB,23.200,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,12,41,3.42,0,GreeAh00
Jacquez Green,WR,24.232,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,1,6,6.00,0,GreeJa00
Chris Hetherington,FB,27.281,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,2,7,3.50,0,HethCh00
Priest Holmes,RB,26.332,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,27,119,4.41,0,HolmPr00
Brad Hoover,RB,23.297,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,1,7,7.00,0,HoovBr00
Chris Howard,RB,25.121,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,13,45,3.46,1,HowaCh00
Brock Huard,QB,24.141,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,1,4,4.00,0,HuarBr00
Richard Huntley,RB,27.351,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,7,31,4.43,0,HuntRi00
Sedrick Irvin,RB,22.157,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,3,3,1.00,0,IrviSe00
Rocket Ismail,WR,30.290,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,2,33,16.50,0,IsmaRa00
Terry Jackson,RB,24.237,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,1,0,0.00,0,JackTe00
Edgerrin James,RB,22.033,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,28,124,4.43,1,JameEd00
Shawn Jefferson,WR,31.194,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,1,1,1.00,0,JeffSh00
John Jett,P,31.297,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,1,0,0.00,0,JettJo21
Brad Johnson,QB,31.356,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,2,0,0.00,1,JohnBr00
Charles Johnson,WR,28.244,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,1,8,8.00,0,JohnCh00
Keyshawn Johnson,WR,28.043,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,1,3,3.00,0,JohnKe00
Rob Johnson,QB,27.169,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,6,60,10.00,0,JohnRo00
Thomas Jones,RB,22.015,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,12,16,1.33,0,JoneTh00
Napoleon Kaufman,RB,27.088,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,4,0,0.00,0,KaufNa00
Shaun King,QB,23.097,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,4,21,5.25,0,KingSh00
Jon Kitna,QB,27.348,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,2,5,2.50,0,KitnJo00
Jim Kleinsasser,FB,23.216,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,2,5,2.50,0,KleiJi00
Rob Konrad,FB,23.296,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,7,19,2.71,0,KonrRo00
Ryan Leaf,QB,24.111,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,2,-6,-3.00,0,LeafRy00
Jamal Lewis,WR,21.005,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,5,16,3.20,0,LewiJa00
Stacey Mack,RB,25.069,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,23,74,3.22,1,MackSt00
Peyton Manning,QB,24.163,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,3,-3,-1.00,0,MannPe00
Curtis Martin*,RB,27.125,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,30,110,3.67,1,MartCu00
Jamie Martin,QB,30.208,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,3,-5,-1.67,0,MartJa00
Donovan McNabb,QB,23.283,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,5,29,5.80,1,McNaDo00
Steve McNair,QB,27.202,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,2,15,7.50,0,McNaSt00
Cade McNown,QB,23.235,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,10,87,8.70,1,McNoCa00
Basil Mitchell,RB,24.362,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,2,8,4.00,0,MitcBa00
Brian Mitchell,RB/K,32.016,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,8,39,4.88,1,MitcBr00
Frank Moreau,RB,23.360,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,3,15,5.00,0,MoreFr00
Sammy Morris,RB,23.164,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,2,11,5.50,0,MorrSa00
Adrian Murrell,RB,29.323,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,1,-1,-1.00,0,MurrAd00
Bernie Parmalee,RB,32.353,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,1,-1,-1.00,0,ParmBe00
Michael Pittman,RB,25.020,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,4,9,2.25,0,PittMi00
Jake Plummer,QB,25.259,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,4,18,4.50,0,PlumJa00
Stanley Pritchett,RB,26.256,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,6,29,4.83,0,PritSt00
Errict Rhett,RB,29.267,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,14,64,4.57,0,RhetEr00
Jerry Rice*,WR,37.326,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,1,-2,-2.00,0,RiceJe00
Tony Richardson,RB,28.261,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,13,58,4.46,0,RichTo00
Antowain Smith,RB,28.173,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,17,42,2.47,0,SmitAn00
Emmitt Smith*,RB,31.111,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,7,29,4.14,0,SmitEm00
Lamar Smith,RB,29.279,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,27,145,5.37,1,SmitLa00
