Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Michael Bennett,LDE,28.295,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,0,1,0,0,0,BennMi99
Clay Matthews,LOLB,28.113,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,0,1,0,0,0,MattCl99
Andre Branch,DE,25.055,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,0,2,0,0,0,BranAn00
Vontaze Burfict,WLB,23.348,2014-09-07,NFL,CIN,@,BAL,W 23-16,1,1,Sun,0,1,1,0,0,BurfVo00
Jairus Byrd,FS,27.335,2014-09-07,NFL,NOR,@,ATL,L 34-37,1,1,Sun,0,1,0,0,0,ByrdJa99
T.J. Carrie,CB,24.041,2014-09-07,NFL,OAK,@,NYJ,L 14-19,1,1,Sun,0,1,1,0,0,CarrTr00
Quinton Carter,S,26.049,2014-09-07,NFL,DEN,,IND,W 31-24,1,1,Sun,0,1,0,0,0,CartQu01
Chris Clemons,RDE,32.311,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,0,1,0,0,0,ClemCh23
Trent Cole,OLB,31.337,2014-09-07,NFL,PHI,,JAX,W 34-17,1,1,Sun,0,1,0,0,0,ColeTr20
Jamie Collins,LB,24.322,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,0,1,0,0,0,CollJa00
Quinton Coples,OLB,24.077,2014-09-07,NFL,NYJ,,OAK,W 19-14,1,1,Sun,0,1,0,0,0,CoplQu00
Jerrell Freeman,WLB,28.129,2014-09-07,NFL,IND,@,DEN,L 24-31,1,1,Sun,0,1,0,0,0,FreeJe00
Greg Hardy,RE,26.041,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,0,1,0,0,0,HardGr99
Tom Johnson,DT,30.008,2014-09-07,NFL,MIN,@,STL,W 34-6,1,1,Sun,0,1,0,0,0,JohnTo01
Ryan Kerrigan,LOLB,26.022,2014-09-07,NFL,WAS,@,HOU,L 6-17,1,1,Sun,0,1,0,0,0,KerrRy00
Luke Kuechly,MLB,23.140,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,0,1,0,0,0,KuecLu00
Leodis McKelvin,LCB,29.006,2014-09-07,NFL,BUF,@,CHI,W 23-20,1,1,Sun,0,1,0,0,0,McKeLe99
Sio Moore,WLB,24.128,2014-09-07,NFL,OAK,@,NYJ,L 14-19,1,1,Sun,0,1,0,0,0,MoorSi00
William Moore,S,29.112,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,0,1,0,0,0,MoorWi99
Loucheiz Purifoy,CB,21.265,2014-09-07,NFL,IND,@,DEN,L 24-31,1,1,Sun,0,1,0,0,0,PuriLo01
Logan Ryan,CB,23.210,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,0,1,0,0,0,RyanLo00
Anthony Sherman,FB,25.270,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,0,1,0,0,0,SherAn00
Dan Skuta,LB,28.139,2014-09-07,NFL,SFO,@,DAL,W 28-17,1,1,Sun,0,1,0,0,0,SkutDa00
D.J. Swearinger,SS,23.006,2014-09-07,NFL,HOU,,WAS,W 17-6,1,1,Sun,0,1,0,0,0,SweaDJ00
Cameron Wake,LDE,32.220,2014-09-07,NFL,MIA,,NWE,W 33-20,1,1,Sun,0,2,0,0,0,WakeCa00
Jeremiah Attaochu,OLB,21.234,2014-09-08,NFL,SDG,@,ARI,L 17-18,1,1,Mon,0,1,0,0,0,AttaJe00
Marcus Gilchrist,SS,25.274,2014-09-08,NFL,SDG,@,ARI,L 17-18,1,1,Mon,0,1,0,0,0,GilcMa00
Antrel Rolle,SS,31.266,2014-09-08,NFL,NYG,@,DET,L 14-35,1,1,Mon,0,1,0,0,0,RollAn20
C.J. Mosley,ILB,22.084,2014-09-11,NFL,BAL,,PIT,W 26-6,2,2,Thu,0,1,1,6,0,MoslC.00
Daryl Smith,ILB,32.181,2014-09-11,NFL,BAL,,PIT,W 26-6,2,2,Thu,0,1,0,0,0,SmitDa24
Jared Allen,RE,32.164,2014-09-14,NFL,CHI,@,SFO,W 28-20,2,2,Sun,0,1,0,0,0,AlleJa22
Kyle Arrington,CB,28.033,2014-09-14,NFL,NWE,@,MIN,W 30-7,2,2,Sun,0,1,0,0,0,ArriKy00
Chase Blackburn,SLB,31.096,2014-09-14,NFL,CAR,,DET,W 24-7,2,2,Sun,0,1,0,0,0,BlacCh21
Antoine Cason,LCB,28.067,2014-09-14,NFL,CAR,,DET,W 24-7,2,2,Sun,0,2,1,0,0,CasoAn99
Kavell Conner,ILB,27.203,2014-09-14,NFL,SDG,,SEA,W 30-21,2,2,Sun,0,1,0,0,0,ConnKa99
Kenny Demens,LB,24.222,2014-09-14,NFL,ARI,@,NYG,W 25-14,2,2,Sun,0,1,0,0,0,DemeKe00
Melvin Ingram,OLB,25.141,2014-09-14,NFL,SDG,,SEA,W 30-21,2,2,Sun,0,1,0,0,0,IngrMe00
Johnathan Joseph,RCB,30.151,2014-09-14,NFL,HOU,@,OAK,W 30-14,2,2,Sun,0,2,1,49,0,JoseJo20
Kendrick Lewis,FS,26.090,2014-09-14,NFL,HOU,@,OAK,W 30-14,2,2,Sun,0,1,0,0,0,LewiKe00
Brandon Marshall,WLB,25.004,2014-09-14,NFL,DEN,,KAN,W 24-17,2,2,Sun,0,1,0,0,0,MarsBr01
Byron Maxwell,RCB,26.203,2014-09-14,NFL,SEA,@,SDG,L 21-30,2,2,Sun,0,1,0,0,0,MaxwBy00
Sterling Moore,CB,24.223,2014-09-14,NFL,DAL,@,TEN,W 26-10,2,2,Sun,0,1,0,0,0,MoorSt00
Jordan Poyer,DB,23.142,2014-09-14,NFL,CLE,,NOR,W 26-24,2,2,Sun,0,1,0,0,0,PoyeJo00
Scott Solomon,DL,25.313,2014-09-14,NFL,TAM,,STL,L 17-19,2,2,Sun,0,1,0,0,0,SoloSc00
D.J. Swearinger,SS,23.013,2014-09-14,NFL,HOU,@,OAK,W 30-14,2,2,Sun,0,1,1,0,0,SweaDJ00
Trent Cole,OLB,31.345,2014-09-15,NFL,PHI,@,IND,W 30-27,2,2,Mon,0,1,0,0,0,ColeTr20
Fletcher Cox,DE,23.276,2014-09-15,NFL,PHI,@,IND,W 30-27,2,2,Mon,0,1,0,0,0,CoxxFl00
Lavonte David,WLB,24.238,2014-09-18,NFL,TAM,@,ATL,L 14-56,3,3,Thu,0,1,1,0,0,DaviLa00
Malliciah Goodman,DE,24.257,2014-09-18,NFL,ATL,,TAM,W 56-14,3,3,Thu,0,1,0,0,0,GoodMa01
Leonard Johnson,CB,24.172,2014-09-18,NFL,TAM,@,ATL,L 14-56,3,3,Thu,0,1,0,0,0,JohnLe03
Alterraun Verner,CB,25.279,2014-09-18,NFL,TAM,@,ATL,L 14-56,3,3,Thu,0,1,0,0,0,VernAl99
Paul Worrilow,LB,24.140,2014-09-18,NFL,ATL,,TAM,W 56-14,3,3,Thu,0,1,0,0,0,WorrPa00
Bashaud Breeland,CB,22.234,2014-09-21,NFL,WAS,@,PHI,L 34-37,3,3,Sun,0,1,0,0,0,BreeBa00
Kam Chancellor,SS,26.171,2014-09-21,NFL,SEA,,DEN,W 26-20,3,3,Sun,0,1,0,0,0,ChanKa99
Nick Fairley,DT,26.241,2014-09-21,NFL,DET,,GNB,W 19-7,3,3,Sun,0,1,0,0,0,FairNi00
Brandon Graham,LB,26.171,2014-09-21,NFL,PHI,,WAS,W 37-34,3,3,Sun,0,1,0,0,0,GrahBr99
Brent Grimes,CB,31.064,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,0,1,0,0,0,GrimBr20
Tamba Hali,ROLB,30.322,2014-09-21,NFL,KAN,@,MIA,W 34-15,3,3,Sun,0,1,0,0,0,HaliTa20
DeAngelo Hall,LCB,30.306,2014-09-21,NFL,WAS,@,PHI,L 34-37,3,3,Sun,0,1,1,17,0,HallDe99
D'Qwell Jackson,MIKE,30.360,2014-09-21,NFL,IND,@,JAX,W 44-17,3,3,Sun,0,1,0,0,0,JackDQ20
Jelani Jenkins,LB,22.192,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,0,1,0,0,0,JenkJe00
Jarvis Jones,ROLB,24.343,2014-09-21,NFL,PIT,@,CAR,W 37-19,3,3,Sun,0,1,0,0,0,JoneJa05
Kendrick Lewis,FS,26.097,2014-09-21,NFL,HOU,@,NYG,L 17-30,3,3,Sun,0,1,0,0,0,LewiKe00
Corey Liuget,RE,24.187,2014-09-21,NFL,SDG,@,BUF,W 22-10,3,3,Sun,0,1,0,0,0,LiugCo00
Jared Odrick,DT,26.264,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,0,1,0,0,0,OdriJa99
Alec Ogletree,LLB,22.361,2014-09-21,NFL,STL,,DAL,L 31-34,3,3,Sun,0,1,0,0,0,OgleAl00
Julius Peppers,ROLB,34.246,2014-09-21,NFL,GNB,@,DET,L 7-19,3,3,Sun,0,1,1,0,0,PeppJu99
Shamarko Thomas,S,23.210,2014-09-21,NFL,PIT,@,CAR,W 37-19,3,3,Sun,0,1,0,0,0,ThomSh00
DeMarcus Ware,RDE,32.052,2014-09-21,NFL,DEN,@,SEA,L 20-26,3,3,Sun,0,1,0,0,0,WareDe99
Michael Wilhoite,ILB,27.288,2014-09-21,NFL,SFO,@,ARI,L 14-23,3,3,Sun,0,1,0,0,0,WilhMi00
Isaiah Frey,LCB,24.169,2014-09-22,NFL,CHI,@,NYJ,W 27-19,3,3,Mon,0,1,0,0,0,FreyIs00
Kyle Fuller,RCB,22.218,2014-09-22,NFL,CHI,@,NYJ,W 27-19,3,3,Mon,0,2,0,0,0,FullKy00
David Harris,MIKE,30.244,2014-09-22,NFL,NYJ,,CHI,L 19-27,3,3,Mon,0,1,0,0,0,HarrDa99
Tim Jennings,LCB,30.272,2014-09-22,NFL,CHI,@,NYJ,W 27-19,3,3,Mon,0,1,0,0,0,JennTi20
Mathias Kiwanuka,LDE,31.201,2014-09-25,NFL,NYG,@,WAS,W 45-14,4,4,Thu,0,1,0,0,0,KiwaMa20
Trumaine McBride,CB,29.001,2014-09-25,NFL,NYG,@,WAS,W 45-14,4,4,Thu,0,1,1,0,0,McBrTr99
Antoine Bethea,SS,30.063,2014-09-28,NFL,SFO,,PHI,W 26-21,4,4,Sun,0,1,0,0,0,BethAn20
Chris Culliver,RCB,26.042,2014-09-28,NFL,SFO,,PHI,W 26-21,4,4,Sun,0,1,0,0,0,CullCh00
Lavonte David,WLB,24.248,2014-09-28,NFL,TAM,@,PIT,W 27-24,4,4,Sun,0,1,0,0,0,DaviLa00
Justin Durant,WLB,29.008,2014-09-28,NFL,DAL,,NOR,W 38-17,4,4,Sun,0,1,0,0,0,DuraJu99
Davon House,DB,25.080,2014-09-28,NFL,GNB,@,CHI,W 38-17,4,4,Sun,0,1,0,0,0,HousDa00
James Ihedigbo,SS,30.299,2014-09-28,NFL,DET,@,NYJ,W 24-17,4,4,Sun,0,1,0,0,0,IhedJa00
Jarret Johnson,OLB,33.045,2014-09-28,NFL,SDG,,JAX,W 33-14,4,4,Sun,0,1,0,0,0,JohnJa23
Michael Johnson,RE,27.233,2014-09-28,NFL,TAM,@,PIT,W 27-24,4,4,Sun,0,1,0,0,0,JohnMi98
Brian Leonhardt,TE,24.179,2014-09-28,NFL,OAK,,MIA,L 14-38,4,4,Sun,0,1,0,0,0,LeonBr01
Rolando McClain,LB,25.076,2014-09-28,NFL,DAL,,NOR,W 38-17,4,4,Sun,0,1,0,0,0,McClRo00
Carlos Rogers,LCB,33.088,2014-09-28,NFL,OAK,,MIA,L 14-38,4,4,Sun,0,1,0,0,0,RogeCa20
Brandon Spikes,MLB,27.025,2014-09-28,NFL,BUF,@,HOU,L 17-23,4,4,Sun,0,1,0,0,0,SpikBr99
D.J. Swearinger,SS,23.027,2014-09-28,NFL,HOU,,BUF,W 23-17,4,4,Sun,0,1,0,0,0,SweaDJ00
Justin Tuck,DE,31.183,2014-09-28,NFL,OAK,,MIA,L 14-38,4,4,Sun,0,1,0,0,0,TuckJu20
Brandon Williams,NT,25.219,2014-09-28,NFL,BAL,,CAR,W 38-10,4,4,Sun,0,1,1,0,0,WillBr02
Tamba Hali,ROLB,30.330,2014-09-29,NFL,KAN,,NWE,W 41-14,4,4,Mon,0,1,1,0,0,HaliTa20
Justin Houston,LOLB,25.260,2014-09-29,NFL,KAN,,NWE,W 41-14,4,4,Mon,0,1,0,0,0,HousJu00
Morgan Burnett,SS,25.262,2014-10-02,NFL,GNB,,MIN,W 42-10,5,5,Thu,0,1,0,0,0,BurnMo99
Mike Adams,SS,33.195,2014-10-05,NFL,IND,,BAL,W 20-13,5,5,Sun,0,1,0,0,0,AdamMi21
Kyle Arrington,CB,28.054,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,0,1,1,9,1,ArriKy00
Brandon Bolden,RB,24.252,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,0,1,0,0,0,BoldBr00
Antoine Cason,CB,28.088,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,0,1,1,0,0,CasoAn99
Trent Cole,OLB,32.000,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,0,1,0,0,0,ColeTr20
Vinny Curry,DE,26.097,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,0,1,0,0,0,CurrVi00
Marcell Dareus,DT,24.206,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,0,1,0,0,0,DareMa00
Brian Dixon,DB,24.162,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,0,1,0,0,0,DixoBr01
Matt Elam,SS,23.033,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,0,1,0,0,0,ElamMa00
Isaiah Frey,CB,24.182,2014-10-05,NFL,CHI,@,CAR,L 24-31,5,5,Sun,0,1,1,0,0,FreyIs00
Brandon Graham,LB,26.185,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,0,1,0,0,0,GrahBr99
Jerry Hughes,RDE,26.053,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,0,1,0,0,0,HughJe99
James Ihedigbo,S,30.306,2014-10-05,NFL,DET,,BUF,L 14-17,5,5,Sun,0,1,0,0,0,IhedJa00
James-Michael Johnson,RILB,25.046,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,0,1,0,0,0,JohnJa04
Abry Jones,DT,23.027,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,0,1,0,0,0,JoneAb00
A.J. Klein,SLB,23.067,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,0,1,0,0,0,KleiAJ00
Kendrick Lewis,FS,26.111,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,0,1,0,0,0,LewiKe00
Ricardo Mathews,DE,27.067,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,0,1,0,0,0,MathRi99
Trumaine McBride,CB,29.011,2014-10-05,NFL,NYG,,ATL,W 30-20,5,5,Sun,0,1,0,0,0,McBrTr99
Jeromy Miles,S,27.077,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,0,1,0,0,0,MileJe00
Alec Ogletree,LLB,23.010,2014-10-05,NFL,STL,@,PHI,L 28-34,4,5,Sun,0,1,0,0,0,OgleAl00
Senorise Perry,RB,23.016,2014-10-05,NFL,CHI,@,CAR,L 24-31,5,5,Sun,0,1,0,0,0,PerrSe00
Darrelle Revis,LCB,29.083,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,0,1,0,0,0,ReviDa99
Kawann Short,DT,25.245,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,0,1,1,0,0,ShorKa00
Justin Smith,RDT,35.005,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,0,1,0,0,0,SmitJu20
Darian Stewart,FS,26.062,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,0,1,0,0,0,StewDa00
