Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Troy Aikman*,QB,32.295,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,28,49,57.14,362,5,3,89.0,1,7,7.39,6.67,AikmTr00
Charlie Batch,QB,24.281,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,16,26,61.54,216,3,1,110.4,5,14,8.31,8.88,BatcCh00
Steve Beuerlein,QB,34.189,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,16,32,50.00,207,1,1,68.1,7,46,6.47,5.69,BeueSt00
Jeff Blake,QB,28.282,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,18,31,58.06,182,2,2,69.6,1,0,5.87,4.26,BlakJe00
Drew Bledsoe,QB,27.210,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,21,30,70.00,340,1,1,104.9,2,14,11.33,10.50,BledDr00
Mark Brunell,QB,28.360,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,22,30,73.33,265,1,0,111.1,2,18,8.83,9.50,BrunMa00
Chris Chandler,QB,33.335,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,17,30,56.67,258,1,0,96.2,2,12,8.60,9.27,ChanCh00
Brett Conway,K,24.188,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,conwabre01
Tim Couch,QB,22.043,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0,3,0.00,0,0,1,0.0,1,7,0.00,-15.00,CoucTi00
Scott Covington,QB,23.238,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,CoviSc00
Randall Cunningham,QB,36.169,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,22,33,66.67,184,1,0,91.0,0,0,5.58,6.18,CunnRa00
Ty Detmer,QB,31.317,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,6,13,46.15,52,0,1,25.2,2,14,4.00,0.54,DetmTy00
Trent Dilfer,QB,27.183,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,15,31,48.39,174,1,3,37.0,2,11,5.61,1.90,DilfTr00
Brett Favre*,QB,29.337,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,28,47,59.57,333,4,3,83.0,3,15,7.09,5.91,FavrBr00
Jay Fiedler,QB,27.257,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,FiedJa00
Doug Flutie,QB,36.324,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,22,42,52.38,300,1,2,63.6,5,26,7.14,5.48,FlutDo00
Rich Gannon,QB,33.266,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,16,31,51.61,227,0,1,62.2,4,17,7.32,5.87,GannRi00
Jeff Garcia,QB,29.200,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,5,9,55.56,45,0,1,29.6,2,14,5.00,0.00,GarcJe00
Pete Gonzalez,QB,25.050,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,GonzPe00
Kent Graham,QB,30.315,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,12,24,50.00,91,0,0,59.5,2,12,3.79,3.79,GrahKe00
Tony Graziani,QB,25.263,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,GrazTo00
Elvis Grbac,QB,29.030,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,20,42,47.62,283,1,1,67.9,1,5,6.74,6.14,GrbaEl00
Billy Joe Hobert,QB,28.247,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,11,22,50.00,132,1,0,83.9,4,24,6.00,6.91,HobeBi00
Brad Johnson,QB,30.364,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,20,33,60.61,382,2,0,121.0,2,13,11.58,12.79,JohnBr00
Jon Kitna,QB,26.356,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,20,30,66.67,202,2,0,107.9,6,28,6.73,8.07,KitnJo00
Peyton Manning,QB,23.172,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,21,33,63.64,284,2,2,85.9,0,0,8.61,7.09,MannPe00
Shane Matthews,QB,29.103,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,25,38,65.79,245,2,0,101.3,1,15,6.45,7.50,MattSh00
Steve McNair,QB,26.210,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,21,32,65.63,341,3,1,119.4,2,7,10.66,11.13,McNaSt00
Cade McNown,QB,22.243,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,6,9,66.67,77,0,0,93.3,0,0,8.56,8.56,McNoCa00
Rick Mirer,QB,29.177,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,4,11,36.36,28,0,2,5.3,1,2,2.55,-5.64,MireRi00
Scott Mitchell,QB,31.253,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,17,40,42.50,188,1,2,44.6,5,25,4.70,2.95,MitcSc00
Doug Pederson,QB,31.224,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,12,26,46.15,91,2,2,48.7,3,16,3.50,1.58,PedeDo00
Jake Plummer,QB,24.267,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,25,48,52.08,274,1,3,50.2,1,8,5.71,3.31,PlumJa00
Akili Smith,QB,24.022,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,SmitAk00
Kordell Stewart,QB,26.331,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,15,23,65.22,173,1,0,102.3,1,12,7.52,8.39,StewKo00
Vinny Testaverde,QB,35.303,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,10,15,66.67,96,1,1,78.7,0,0,6.40,4.73,TestVi00
Mike Tomczak,QB,36.324,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,8,8,100.00,78,2,0,146.9,0,0,9.75,14.75,TomcMi00
Tom Tupa,QB/P,33.218,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,6,10,60.00,165,2,0,143.7,3,30,16.50,20.50,TupaTo20
Kurt Warner*,QB,28.082,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,28,44,63.64,309,3,2,88.2,3,25,7.02,6.34,WarnKu00
Steve Young*,QB,37.336,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,9,26,34.62,96,0,2,14.3,2,18,3.69,0.23,YounSt00
Eric Zeier,QB,27.006,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,3,11,27.27,14,0,1,1.7,0,0,1.27,-2.82,ZeieEr00
Brian Griese,QB,24.179,1999-09-13,NFL,DEN,,MIA,L 21-38,1,1,Mon,24,40,60.00,270,3,0,105.2,2,30,6.75,8.25,GrieBr00
Dan Marino*,QB,37.363,1999-09-13,NFL,MIA,@,DEN,W 38-21,1,1,Mon,15,23,65.22,215,2,0,124.4,0,0,9.35,11.09,MariDa00
Charlie Batch,QB,24.288,1999-09-19,NFL,DET,,GNB,W 23-15,2,2,Sun,9,16,56.25,219,2,2,101.0,4,23,13.69,10.56,BatcCh00
Steve Beuerlein,QB,34.196,1999-09-19,NFL,CAR,,JAX,L 20-22,2,2,Sun,16,26,61.54,216,3,1,110.4,4,20,8.31,8.88,BeueSt00
Jeff Blake,QB,28.289,1999-09-19,NFL,CIN,,SDG,L 7-34,2,2,Sun,7,16,43.75,68,1,0,77.1,1,18,4.25,5.50,BlakJe00
Drew Bledsoe,QB,27.217,1999-09-19,NFL,NWE,,IND,W 31-28,2,2,Sun,27,45,60.00,299,4,0,109.4,1,7,6.64,8.42,BledDr00
Bubby Brister,QB,37.035,1999-09-19,NFL,DEN,@,KAN,L 10-26,2,2,Sun,9,15,60.00,65,0,1,42.4,0,0,4.33,1.33,BrisBu00
Mark Brunell,QB,29.002,1999-09-19,NFL,JAX,@,CAR,W 22-20,2,2,Sun,20,32,62.50,214,0,0,82.0,2,14,6.69,6.69,BrunMa00
Stoney Case,QB,27.074,1999-09-19,NFL,BAL,,PIT,L 20-23,2,2,Sun,7,15,46.67,130,1,0,99.3,1,6,8.67,10.00,CaseSt00
Kerry Collins,QB,26.263,1999-09-19,NFL,NYG,,WAS,L 21-50,2,2,Sun,3,7,42.86,44,0,1,24.4,0,0,6.29,-0.14,CollKe00
Tim Couch,QB,22.050,1999-09-19,NFL,CLE,@,TEN,L 9-26,2,2,Sun,12,24,50.00,134,1,0,80.9,7,44,5.58,6.42,CoucTi00
Randall Cunningham,QB,36.176,1999-09-19,NFL,MIN,,OAK,L 17-22,2,2,Sun,23,39,58.97,364,2,2,85.8,6,44,9.33,8.05,CunnRa00
Trent Dilfer,QB,27.190,1999-09-19,NFL,TAM,@,PHI,W 19-5,2,2,Sun,7,14,50.00,89,2,2,70.2,2,25,6.36,2.79,DilfTr00
Brett Favre*,QB,29.344,1999-09-19,NFL,GNB,@,DET,L 15-23,2,2,Sun,20,41,48.78,288,0,1,61.8,1,5,7.02,5.93,FavrBr00
Doug Flutie,QB,36.331,1999-09-19,NFL,BUF,,NYJ,W 17-3,2,2,Sun,15,25,60.00,160,0,0,78.7,0,0,6.40,6.40,FlutDo00
Glenn Foley,QB,28.344,1999-09-19,NFL,SEA,@,CHI,W 14-13,2,2,Sun,18,30,60.00,283,2,0,113.6,6,34,9.43,10.77,FoleGl00
Rich Gannon,QB,33.273,1999-09-19,NFL,OAK,@,MIN,W 22-17,2,2,Sun,21,33,63.64,248,1,0,96.5,1,8,7.52,8.12,GannRi00
Kent Graham,QB,30.322,1999-09-19,NFL,NYG,,WAS,L 21-50,2,2,Sun,20,31,64.52,268,1,1,89.2,2,22,8.65,7.84,GrahKe00
Elvis Grbac,QB,29.037,1999-09-19,NFL,KAN,,DEN,W 26-10,2,2,Sun,15,20,75.00,179,0,1,81.0,1,2,8.95,6.70,GrbaEl00
Brian Griese,QB,24.185,1999-09-19,NFL,DEN,@,KAN,L 10-26,2,2,Sun,11,16,68.75,107,0,1,61.2,2,16,6.69,3.88,GrieBr00
Jim Harbaugh,QB,35.270,1999-09-19,NFL,SDG,@,CIN,W 34-7,1,2,Sun,15,27,55.56,159,2,0,97.6,4,26,5.89,7.37,HarbJi00
Billy Joe Hobert,QB,28.254,1999-09-19,NFL,NOR,@,SFO,L 21-28,2,2,Sun,20,37,54.05,223,3,2,76.7,0,0,6.03,5.22,HobeBi00
