Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Lorenzo Alexander,DT,25.096,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,0,2,2,0,0,AlexLo99
Chase Blackburn,LB,25.086,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,0,1,0,0,BlacCh21
H.B. Blades,LB,23.340,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,2,1,3,0,0,BladH.99
James Butler,SS,25.363,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,3,2,5,0,0,ButlJa20
Andre Carter,DE,29.115,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.5,3,0,3,1,3,CartAn20
Rock Cartwright,RB,28.276,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,0,1,0,0,CartRo01
Danny Clark,SLB,31.118,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,3,4,0,0,ClarDa21
Kevin Dockery,CB,24.240,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,3,1,4,0,0,DockKe20
Reed Doughty,SS,25.305,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,4,2,6,0,0,DougRe20
Demetric Evans,DE,29.001,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,1,2,0,0,EvanDe20
London Fletcher,MLB,33.108,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,12,5,17,1,0,FletLo20
Kedric Golston,DT,25.097,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,0,1,0,1,GolsKe20
Cornelius Griffin,DT,31.276,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,1,2,0,0,GrifCo20
Madison Hedgecock,FB,27.008,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,0,1,1,0,0,HedgMa00
Domenik Hixon,WR,23.332,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,0,1,0,0,HixoDo00
Chris Horton,S,23.250,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,1,2,0,0,HortCh99
Michael Johnson,FS,24.118,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,2,2,4,0,0,JohnMi99
Bryan Kehl,LB,24.080,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,5,0,5,0,0,KehlBr99
Mathias Kiwanuka,RDE,25.180,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,4,2,6,1,0,KiwaMa20
LaRon Landry,FS,23.326,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.5,5,1,6,0,1,LandLa99
Rocky McIntosh,WLB,25.294,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,6,2,8,0,0,McInRo20
R.W. McQuarters,CB,31.258,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,1,2,0,0,McQuR.20
Anthony Montgomery,DT,24.180,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,1,2,0,0,MontAn20
Kenny Phillips,S,21.285,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,4,0,4,0,0,PhilKe99
Antonio Pierce,MLB,29.314,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,2,3,0,0,PierAn20
Fred Robbins,DT,31.163,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,4,0,4,1,0,RobbFr20
Carlos Rogers,RCB,27.064,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,5,0,5,0,0,RogeCa20
Aaron Ross,LCB,25.355,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,7,1,8,0,1,RossAa99
Mike Sellers,FB,33.045,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,0,1,0,0,SellMi00
Fred Smoot,LCB,28.045,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,7,1,8,0,0,SmooFr20
Jason Taylor*,DE,34.003,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,2,0,2,0,0,TaylJa03
Justin Tuck,LDE,25.159,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,1.0,4,2,6,2,1,TuckJu20
Marcus Washington,SLB,30.323,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,4,5,1,0,WashMa99
Corey Webster,RCB,26.186,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,0,1,0,0,WebsCo20
Gerris Wilkinson,WLB,25.152,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,1,3,4,0,0,WilkGe20
Chris Wilson,DE,26.056,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,1.0,1,0,1,1,1,WilsCh99
Renaldo Wynn,DE,34.001,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,0.0,2,1,3,0,0,WynnRe20
Todd Yoder,WR,30.170,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,0.0,1,0,1,0,0,YodeTo00
