Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Robert Alford,CB,29.309,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,0,4,0,0,AlfoRo00
Ricardo Allen,S,26.262,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,1,5,0,0,AlleRi00
Derek Barnett,DE,22.073,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,1,1,2,0,2,BarnDe01
Vic Beasley,DE,26.060,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0,BeasVi00
Michael Bennett,DE,32.297,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,1,1,2,1,1,BennMi99
Deante Burton,WR,24.056,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,0,1,1,0,0,BurtDe00
De'Vondre Campbell,LB,25.065,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,2,6,0,0,CampDe00
Fletcher Cox,DT,27.267,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1.5,2,1,3,1,4,CoxxFl00
Jack Crawford,DL,29.364,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0,CrawJa00
Ronald Darby,CB,24.247,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,5,1,6,1,0,DarbRo00
Nathan Gerry,OLB,23.195,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,1,0,1,0,0,GerrNa00
Brandon Graham,DE,30.156,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,2,0,2,2,0,GrahBr99
Corey Graham,S,33.043,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,2,0,2,0,0,GrahCo99
Kamu Grugier-Hill,LB,24.113,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,3,1,4,1,0,GrugKa00
Jordan Hicks,MLB,26.071,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1.5,5,2,7,1,2,HickJo00
Kemal Ishmael,S,27.123,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0,IshmKe00
Grady Jarrett,DT,25.131,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,2,5,0,1,JarrGr00
Malcolm Jenkins,S,30.260,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,3,0,3,0,0,JenkMa99
Deion Jones,LB,23.306,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,5,9,0,0,JoneDe01
Sidney Jones,CB,22.108,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,3,1,4,1,0,JoneSi00
Damontae Kazee,S,25.093,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,0,3,0,0,KazeDa00
Chris Long,DE,33.162,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1.0,0,4,4,0,4,LongCh99
Rick Lovato,LS,25.362,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,0,1,1,0,0,LovaRi00
Terrell McClain,DT,30.048,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0,McClTe00
Takkarist McKinley,DE,22.308,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,1,0,1,1,2,McKiTa00
Rodney McLeod,S,28.075,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,5,1,6,0,0,McLeRo00
Jalen Mills,CB,24.153,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,6,0,6,0,0,MillJa02
Keanu Neal,S,23.042,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0,NealKe01
Foyesade Oluokun,LB,23.035,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0,OluoFo00
Brian Poole,CB,25.321,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,6,0,6,1,1,PoolBr01
Brooks Reed,DE,31.190,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,0,1,1,0,0,ReedBr00
LaRoy Reynolds,LB,27.307,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,0.0,1,0,1,0,0,ReynLa00
