Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
DuJuan Harris,RB,26.001,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,2,40,20.00,0,HarrDu01
Percy Harvin,WR,26.099,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,3,60,20.00,0,HarvPe00
Micah Hyde,FS,23.247,2014-09-04,NFL,GNB,@,SEA,L 16-36,1,1,Thu,2,49,24.50,0,HydeMi00
Dri Archer,WR,23.029,2014-09-07,NFL,PIT,,CLE,W 30-27,1,1,Sun,2,29,14.50,0,ArchDr00
Travis Benjamin,WR,24.252,2014-09-07,NFL,CLE,@,PIT,L 27-30,1,1,Sun,4,85,21.25,0,BenjTr00
Travaris Cadet,RB,25.218,2014-09-07,NFL,NOR,@,ATL,L 34-37,1,1,Sun,1,34,34.00,0,CadeTr00
Nolan Carroll,CB,27.234,2014-09-07,NFL,PHI,,JAX,W 34-17,1,1,Sun,1,24,24.00,0,CarrNo00
Patrick Chung,S,27.019,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,2,50,25.00,0,ChunPa99
Knile Davis,RB,22.337,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,2,57,28.50,0,DaviKn00
Chris Givens,WR,24.275,2014-09-07,NFL,STL,,MIN,L 6-34,1,1,Sun,1,26,26.00,0,GiveCh00
Cyrus Gray,RB,24.293,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,1,0,0.00,0,GrayCy00
Saalim Hakim,WR,24.218,2014-09-07,NFL,NYJ,,OAK,W 19-14,1,1,Sun,2,65,32.50,0,HakiSa00
Dwayne Harris,WR,26.356,2014-09-07,NFL,DAL,,SFO,L 17-28,1,1,Sun,2,58,29.00,0,HarrDw00
Devin Hester,WR,31.307,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,1,21,21.00,0,HestDe99
Damaris Johnson,WR,24.289,2014-09-07,NFL,HOU,,WAS,W 17-6,1,1,Sun,1,27,27.00,0,JohnDa04
Jacoby Jones,WR,30.058,2014-09-07,NFL,BAL,,CIN,L 16-23,1,1,Sun,4,109,27.25,0,JoneJa03
Jarvis Landry,WR,21.283,2014-09-07,NFL,MIA,,NWE,W 33-20,1,1,Sun,2,56,28.00,0,LandJa00
Devin McCourty,S,27.025,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,1,27,27.00,0,McCoDe99
Latavius Murray,RB,24.232,2014-09-07,NFL,OAK,@,NYJ,L 14-19,1,1,Sun,3,67,22.33,0,MurrLa00
Cordarrelle Patterson,WR,23.174,2014-09-07,NFL,MIN,@,STL,W 34-6,1,1,Sun,2,48,24.00,0,PattCo00
Solomon Patton,WR,23.325,2014-09-07,NFL,TAM,,CAR,L 14-20,1,1,Sun,2,52,26.00,0,PattSo01
Senorise Perry,RB,22.353,2014-09-07,NFL,CHI,,BUF,L 20-23,1,1,Sun,1,21,21.00,0,PerrSe00
Andre Roberts,WR,26.241,2014-09-07,NFL,WAS,@,HOU,L 6-17,1,1,Sun,2,56,28.00,0,RobeAn00
C.J. Spiller,RB,27.033,2014-09-07,NFL,BUF,@,CHI,W 23-20,1,1,Sun,1,29,29.00,0,SpilC.00
Frank Summers,FB,29.001,2014-09-07,NFL,BUF,@,CHI,W 23-20,1,1,Sun,1,11,11.00,0,SummFr00
Jordan Todman,RB,24.195,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,2,36,18.00,0,TodmJo00
Leon Washington,RB,32.009,2014-09-07,NFL,TEN,@,KAN,W 26-10,1,1,Sun,1,22,22.00,0,WashLe00
Damien Williams,RB,22.157,2014-09-07,NFL,MIA,,NWE,W 33-20,1,1,Sun,1,19,19.00,0,WillDa05
Quintin Demps,S,29.071,2014-09-08,NFL,NYG,@,DET,L 14-35,1,1,Mon,1,14,14.00,0,DempQu99
Ted Ginn,WR,29.149,2014-09-08,NFL,ARI,,SDG,W 18-17,1,1,Mon,3,49,16.33,0,GinnTe00
Markus Wheaton,WR,23.216,2014-09-11,NFL,PIT,@,BAL,L 6-26,2,2,Thu,1,11,11.00,0,WheaMa00
Doug Baldwin,WR,25.358,2014-09-14,NFL,SEA,@,SDG,L 21-30,2,2,Sun,1,9,9.00,0,BaldDo00
Jackie Battle,RB,30.348,2014-09-14,NFL,TEN,,DAL,L 10-26,2,2,Sun,1,21,21.00,0,BattJa00
Travaris Cadet,RB,25.225,2014-09-14,NFL,NOR,@,CLE,L 24-26,2,2,Sun,2,35,17.50,0,CadeTr00
Andre Caldwell,WR,29.152,2014-09-14,NFL,DEN,,KAN,W 24-17,2,2,Sun,1,54,54.00,0,CaldAn00
Quintin Demps,S,29.077,2014-09-14,NFL,NYG,,ARI,L 14-25,2,2,Sun,6,143,23.83,0,DempQu99
Anthony Dixon,RB,26.355,2014-09-14,NFL,BUF,,MIA,W 29-10,2,2,Sun,1,14,14.00,0,DixoAn00
Bruce Ellington,WR,23.023,2014-09-14,NFL,SFO,,CHI,L 20-28,2,2,Sun,1,28,28.00,0,ElliBr00
Rhett Ellison,TE,25.346,2014-09-14,NFL,MIN,,NWE,L 7-30,2,2,Sun,1,14,14.00,0,ElliRh00
Ted Ginn,WR,29.155,2014-09-14,NFL,ARI,@,NYG,W 25-14,2,2,Sun,2,28,14.00,0,GinnTe00
Chris Givens,WR,24.282,2014-09-14,NFL,STL,@,TAM,W 19-17,2,2,Sun,2,22,11.00,0,GiveCh00
Saalim Hakim,WR,24.225,2014-09-14,NFL,NYJ,@,GNB,L 24-31,2,2,Sun,2,21,10.50,0,HakiSa00
Frankie Hammond,WR,24.209,2014-09-14,NFL,KAN,@,DEN,L 17-24,2,2,Sun,1,37,37.00,0,HammFr00
DuJuan Harris,RB,26.011,2014-09-14,NFL,GNB,,NYJ,W 31-24,2,2,Sun,2,58,29.00,0,HarrDu01
Percy Harvin,WR,26.109,2014-09-14,NFL,SEA,@,SDG,L 21-30,2,2,Sun,3,68,22.67,0,HarvPe00
Devin Hester,WR,31.314,2014-09-14,NFL,ATL,@,CIN,L 10-24,2,2,Sun,4,118,29.50,0,HestDe99
David Johnson,TE,27.019,2014-09-14,NFL,SDG,,SEA,W 30-21,2,2,Sun,1,0,0.00,0,JohnDa05
Jarvis Landry,WR,21.290,2014-09-14,NFL,MIA,@,BUF,L 10-29,2,2,Sun,3,57,19.00,0,LandJa00
Jim Leonhard,DB,31.322,2014-09-14,NFL,CLE,,NOR,W 26-24,2,2,Sun,1,5,5.00,0,LeonJi23
Aaron Lynch,LB,21.190,2014-09-14,NFL,SFO,,CHI,L 20-28,2,2,Sun,1,10,10.00,0,LyncAa00
Bruce Miller,FB,27.039,2014-09-14,NFL,SFO,,CHI,L 20-28,2,2,Sun,1,19,19.00,0,MillBr02
Marlon Moore,WR,27.011,2014-09-14,NFL,CLE,,NOR,W 26-24,2,2,Sun,1,32,32.00,0,MoorMa02
Latavius Murray,RB,24.239,2014-09-14,NFL,OAK,,HOU,L 14-30,2,2,Sun,4,103,25.75,0,MurrLa00
Chris Owusu,WR,24.251,2014-09-14,NFL,TAM,,STL,L 17-19,2,2,Sun,1,45,45.00,0,OwusCh00
Cordarrelle Patterson,WR,23.181,2014-09-14,NFL,MIN,,NWE,L 7-30,2,2,Sun,1,23,23.00,0,PattCo00
Solomon Patton,WR,23.332,2014-09-14,NFL,TAM,,STL,L 17-19,2,2,Sun,3,71,23.67,0,PattSo01
Senorise Perry,RB,22.360,2014-09-14,NFL,CHI,@,SFO,W 28-20,2,2,Sun,1,21,21.00,0,PerrSe00
Khiry Robinson,RB,24.260,2014-09-14,NFL,NOR,@,CLE,L 24-26,2,2,Sun,1,28,28.00,0,RobiKh00
Jeremy Ross,WR,26.182,2014-09-14,NFL,DET,@,CAR,L 7-24,2,2,Sun,1,33,33.00,0,RossJe01
Greg Salas,WR,26.020,2014-09-14,NFL,NYJ,@,GNB,L 24-31,2,2,Sun,1,8,8.00,0,SalaGr00
C.J. Spiller,RB,27.040,2014-09-14,NFL,BUF,,MIA,W 29-10,2,2,Sun,2,122,61.00,1,SpilC.00
Brandon Tate,WR,26.344,2014-09-14,NFL,CIN,,ATL,W 24-10,2,2,Sun,1,29,29.00,0,TateBr00
Adam Thielen,WR,24.023,2014-09-14,NFL,MIN,,NWE,L 7-30,2,2,Sun,1,12,12.00,0,ThieAd00
Jordan Todman,RB,24.202,2014-09-14,NFL,JAX,@,WAS,L 10-41,2,2,Sun,5,137,27.40,0,TodmJo00
Leon Washington,RB,32.016,2014-09-14,NFL,TEN,,DAL,L 10-26,2,2,Sun,4,47,11.75,0,WashLe00
Luke Willson,TE,24.242,2014-09-14,NFL,SEA,@,SDG,L 21-30,2,2,Sun,2,17,8.50,0,WillLu00
Nolan Carroll,CB,27.242,2014-09-15,NFL,PHI,@,IND,W 30-27,2,2,Mon,1,21,21.00,0,CarrNo00
Dan Herron,RB,25.178,2014-09-15,NFL,IND,,PHI,L 27-30,2,2,Mon,1,25,25.00,0,HerrDa00
Griff Whalen,WR,24.198,2014-09-15,NFL,IND,,PHI,L 27-30,2,2,Mon,1,29,29.00,0,WhalGr00
Devin Hester,WR,31.318,2014-09-18,NFL,ATL,,TAM,W 56-14,3,3,Thu,1,29,29.00,0,HestDe99
Solomon Patton,WR,23.336,2014-09-18,NFL,TAM,@,ATL,L 14-56,3,3,Thu,4,78,19.50,0,PattSo01
Corey Brown,WR,22.279,2014-09-21,NFL,CAR,,PIT,L 19-37,3,3,Sun,2,43,21.50,0,BrowPh00
James Casey,TE,29.364,2014-09-21,NFL,PHI,,WAS,W 37-34,3,3,Sun,1,16,16.00,0,CaseJa00
Quintin Demps,S,29.084,2014-09-21,NFL,NYG,,HOU,W 30-17,3,3,Sun,1,17,17.00,0,DempQu99
Anthony Dixon,RB,26.362,2014-09-21,NFL,BUF,,SDG,L 10-22,3,3,Sun,1,11,11.00,0,DixoAn00
Bruce Ellington,WR,23.030,2014-09-21,NFL,SFO,@,ARI,L 14-23,3,3,Sun,2,44,22.00,0,ElliBr00
Nate Garner,G,29.246,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,1,13,13.00,0,GarnNa20
