Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Deion Branch,WR,25.053,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,9,7,86,12.29,1,77.8%,9.56,BranDe00
Dallas Clark,TE,25.089,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,4,1,64,64.00,0,25.0%,16.00,ClarDa00
Christian Fauria,TE,32.353,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,1,1,5,5.00,0,100.0%,5.00,FaurCh00
David Givens,WR,24.024,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,4,4,80,20.00,0,100.0%,20.00,GiveDa00
Daniel Graham,TE,25.298,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,10,7,57,8.14,1,70.0%,5.70,GrahDa00
Marvin Harrison*,WR,32.015,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,9,7,44,6.29,1,77.8%,4.89,HarrMa00
Edgerrin James,RB,26.039,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,3,3,29,9.67,0,100.0%,9.67,JameEd00
Bethel Johnson,WR,25.211,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,2,1,5,5.00,0,50.0%,2.50,JohnBe00
David Patten,WR,30.021,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,7,4,86,21.50,1,57.1%,12.29,PattDa00
Brandon Stokley,WR,28.078,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,5,4,77,19.25,1,80.0%,15.40,StokBr00
Ben Watson,TE,23.266,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,4,2,16,8.00,0,50.0%,4.00,WatsBe00
Reggie Wayne,WR,25.297,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,7,1,42,42.00,0,14.3%,6.00,WaynRe00
Drew Bennett,WR,26.016,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,4,3,15,5.00,0,75.0%,3.75,BennDr00
Marty Booker,WR,28.042,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,9,4,36,9.00,0,44.4%,4.00,BookMa00
Chris Brown,RB,23.147,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,1,1,5,5.00,0,100.0%,5.00,BrowCh03
Chris Chambers,WR,26.030,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,11,6,35,5.83,0,54.5%,3.18,ChamCh00
Doug Easlick,FB,23.282,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1,1,4,4.00,0,100.0%,4.00,EaslDo20
Lamar Gordon,RB,24.248,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,8,5,30,6.00,0,62.5%,3.75,GordLa00
Erron Kinney,TE,27.045,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,2,1,1,1.00,1,50.0%,0.50,KinnEr00
Derrick Mason,WR,30.238,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,4,3,51,17.00,0,75.0%,12.75,MasoDe00
Randy McMichael,TE,25.075,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,10,8,79,9.88,1,80.0%,7.90,McMiRa01
Travis Minor,RB,25.073,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1,1,20,20.00,0,100.0%,20.00,MinoTr00
Sammy Morris,RB,27.172,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1,1,6,6.00,0,100.0%,6.00,MorrSa00
Antowain Smith,RB,32.181,2004-09-11,NFL,TEN,@,MIA,W 17-7,1,1,Sat,1,1,1,1.00,0,100.0%,1.00,SmitAn00
Shaun Alexander,RB,27.013,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,2,2,31,15.50,1,100.0%,15.50,AlexSh00
Stephen Alexander,TE,28.310,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,5,2,15,7.50,0,40.0%,3.00,AlexSt00
Mike Alstott,FB,30.266,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,4,3,17,5.67,0,75.0%,4.25,AlstMi00
Courtney Anderson,TE,23.298,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,2,1,13,13.00,0,50.0%,6.50,AndeCo00
Richie Anderson,FB,32.365,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,6,4,31,7.75,0,66.7%,5.17,AndeRi00
Champ Bailey*,LCB,26.082,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,2,1,11,11.00,0,50.0%,5.50,BailCh00
Chris Baker,TE,24.299,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,2,1,4,4.00,0,50.0%,2.00,BakeCh00
Tiki Barber,RB,29.158,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,6,5,75,15.00,0,83.3%,12.50,BarbTi00
Kevan Barlow,RB,25.249,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,2,1,15,15.00,0,50.0%,7.50,BarlKe00
Arnaz Battle,WR,24.203,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,BattAr00
Jarrod Baxter,FB,25.187,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,2,1,3,3.00,0,50.0%,1.50,BaxtJa00
Ladell Betts,RB,25.016,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,BettLa00
Derrick Blaylock,RB,25.020,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1,1,11,11.00,0,100.0%,11.00,BlayDe00
Corey Bradford,WR,28.279,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,3,3,24,8.00,0,100.0%,8.00,BradCo00
Tim Brown*,WR,38.052,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,6,4,23,5.75,0,66.7%,3.83,BrowTi00
Isaac Bruce,WR,31.307,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,13,9,112,12.44,1,69.2%,8.62,BrucIs00
Mark Bruener,TE,31.362,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,1,1,7,7.00,0,100.0%,7.00,BrueMa00
Antonio Bryant,WR,23.187,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,11,8,112,14.00,0,72.7%,10.18,BryaAn00
Nate Burleson,WR,23.024,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,4,3,34,11.33,0,75.0%,8.50,BurlNa00
Plaxico Burress,SE,27.031,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,3,1,13,13.00,0,33.3%,4.33,BurrPl00
Reche Caldwell,WR,25.168,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,6,4,65,16.25,1,66.7%,10.83,CaldRe00
Kelly Campbell,WR,24.051,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,1,1,43,43.00,1,100.0%,43.00,CampKe00
Mark Campbell,TE,28.281,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,3,1,27,27.00,0,33.3%,9.00,CampMa00
Jonathan Carter,WR-K,25.176,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,1,1,46,46.00,1,100.0%,46.00,CartJo01
Tim Carter,WR,24.357,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,5,4,51,12.75,0,80.0%,10.20,CartTi00
Wayne Chrebet,WR,31.029,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,2,2,21,10.50,0,100.0%,10.50,ChreWa00
Desmond Clark,TE,27.145,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,1,1,28,28.00,0,100.0%,28.00,ClarDe00
Michael Clayton,WR,21.335,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,11,7,53,7.57,0,63.6%,4.82,ClayMi00
Laveranues Coles,WR,26.258,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,8,3,27,9.00,0,37.5%,3.38,ColeLa00
Curtis Conway,WR,33.243,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,5,2,24,12.00,0,40.0%,4.80,ConwCu00
