Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Damaris Johnson,WR,23.297,2013-09-15,NFL,PHI,,SDG,L 30-33,2,2,Sun,7,186,26.57,0,JohnDa04
Keshawn Martin,WR,23.184,2013-09-15,NFL,HOU,,TEN,W 30-24,2,2,Sun,4,104,26.00,0,MartKe01
Eric Page,WR,21.357,2013-09-15,NFL,TAM,,NOR,L 14-16,2,2,Sun,1,33,33.00,0,PageEr00
Cordarrelle Patterson,WR,22.182,2013-09-15,NFL,MIN,@,CHI,L 30-31,2,2,Sun,3,149,49.67,1,PattCo00
Bobby Rainey,RB,25.334,2013-09-15,NFL,CLE,@,BAL,L 6-14,2,2,Sun,2,44,22.00,0,RainBo00
Jacquizz Rodgers,RB,23.221,2013-09-15,NFL,ATL,,STL,W 31-24,2,2,Sun,1,17,17.00,0,RodgJa00
Jeremy Ross,WR,25.183,2013-09-15,NFL,GNB,,WAS,W 38-20,2,2,Sun,1,14,14.00,0,RossJe01
Darren Sproles,RB,30.087,2013-09-15,NFL,NOR,@,TAM,W 16-14,2,2,Sun,1,23,23.00,0,SproDa00
Micheal Spurlock,WR,30.227,2013-09-15,NFL,DET,@,ARI,L 21-25,2,2,Sun,1,23,23.00,0,SpurMi00
Will Ta'ufo'ou,FB,27.088,2013-09-15,NFL,JAX,@,OAK,L 9-19,2,2,Sun,1,5,5.00,0,TaufWi00
Golden Tate,WR,25.044,2013-09-15,NFL,SEA,,SFO,W 29-3,2,2,Sun,1,24,24.00,0,TateGo00
Marcus Thigpen,RB,27.123,2013-09-15,NFL,MIA,@,IND,W 24-20,2,2,Sun,2,73,36.50,0,ThigMa00
Chris Thompson,RB,22.330,2013-09-15,NFL,WAS,@,GNB,L 20-38,2,2,Sun,3,59,19.67,0,ThomCh03
Fozzy Whittaker,RB,24.225,2013-09-15,NFL,SDG,@,PHI,W 33-30,2,2,Sun,4,93,23.25,0,WhitFo00
Kerwynn Williams,RB,22.098,2013-09-15,NFL,IND,,MIA,L 20-24,2,2,Sun,1,28,28.00,0,WillKe05
David Wilson,RB,22.092,2013-09-15,NFL,NYG,,DEN,L 23-41,2,2,Sun,5,121,24.20,0,WilsDa01
Felix Jones,RB,26.131,2013-09-16,NFL,PIT,@,CIN,L 10-20,2,2,Mon,2,54,27.00,0,JoneFe00
Brandon Tate,WR,25.346,2013-09-16,NFL,CIN,,PIT,W 20-10,2,2,Mon,1,17,17.00,0,TateBr00
Quintin Demps,S,28.082,2013-09-19,NFL,KAN,@,PHI,W 26-16,3,3,Thu,2,93,46.50,0,DempQu99
Damaris Johnson,WR,23.301,2013-09-19,NFL,PHI,,KAN,L 16-26,3,3,Thu,3,78,26.00,0,JohnDa04
Dexter McCluster,WR,24.025,2013-09-19,NFL,KAN,@,PHI,W 26-16,3,3,Thu,1,3,3.00,0,McClDe00
Joe Anderson,WR,24.305,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,2,32,16.00,0,AndeJo00
Javier Arenas,CB,25.329,2013-09-22,NFL,ARI,@,NOR,L 7-31,3,3,Sun,2,66,33.00,0,ArenJa99
LeGarrette Blount,RB,26.291,2013-09-22,NFL,NWE,,TAM,W 23-3,3,3,Sun,1,24,24.00,0,BlouLe00
Benny Cunningham,RB,23.077,2013-09-22,NFL,STL,@,DAL,L 7-31,3,3,Sun,2,46,23.00,0,CunnBe01
Shaun Draughn,KR-R,25.289,2013-09-22,NFL,BAL,,HOU,W 30-9,3,3,Sun,2,53,26.50,0,DrauSh00
Marcus Easley,WR,25.324,2013-09-22,NFL,BUF,@,NYJ,L 20-27,3,3,Sun,1,18,18.00,0,EaslMa00
Andre Ellington,RB,24.231,2013-09-22,NFL,ARI,@,NOR,L 7-31,3,3,Sun,1,21,21.00,0,ElliAn00
Clyde Gates,WR,27.101,2013-09-22,NFL,NYJ,,BUF,W 27-20,3,3,Sun,3,53,17.67,0,GateCl00
Toby Gerhart,RB,26.178,2013-09-22,NFL,MIN,,CLE,L 27-31,3,3,Sun,1,19,19.00,0,GerhTo00
Devin Hester,KR/P,30.322,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,2,26,13.00,0,HestDe99
Kendall Hunter,RB,25.006,2013-09-22,NFL,SFO,,IND,L 7-27,3,3,Sun,2,29,14.50,0,HuntKe00
Felix Jones,RB,26.137,2013-09-22,NFL,PIT,,CHI,L 23-40,3,3,Sun,2,48,24.00,0,JoneFe00
Jermaine Kearse,WR,23.228,2013-09-22,NFL,SEA,,JAX,W 45-17,3,3,Sun,1,23,23.00,0,KearJe01
Jeremy Lane,CB,23.070,2013-09-22,NFL,SEA,,JAX,W 45-17,3,3,Sun,1,22,22.00,0,LaneJe00
Greg Little,WR,24.115,2013-09-22,NFL,CLE,@,MIN,W 31-27,3,3,Sun,1,26,26.00,0,LittGr00
Keshawn Martin,WR,23.191,2013-09-22,NFL,HOU,@,BAL,L 9-30,3,3,Sun,2,55,27.50,0,MartKe01
Josh Morgan,WR,28.094,2013-09-22,NFL,WAS,,DET,L 20-27,3,3,Sun,2,43,21.50,0,MorgJo00
Cordarrelle Patterson,WR,22.189,2013-09-22,NFL,MIN,,CLE,L 27-31,3,3,Sun,2,59,29.50,0,PattCo00
Quinton Patton,WR,23.044,2013-09-22,NFL,SFO,,IND,L 7-27,3,3,Sun,1,7,7.00,0,PattQu00
Darius Reynaud,RB,28.267,2013-09-22,NFL,TEN,,SDG,W 20-17,3,3,Sun,4,114,28.50,0,ReynDa00
Denard Robinson,WR,23.000,2013-09-22,NFL,JAX,@,SEA,L 17-45,3,3,Sun,2,54,27.00,0,RobiDe00
Jeremy Ross,WR,25.190,2013-09-22,NFL,GNB,@,CIN,L 30-34,3,3,Sun,2,21,10.50,0,RossJe01
Micheal Spurlock,WR,30.234,2013-09-22,NFL,DET,@,WAS,W 27-20,3,3,Sun,1,15,15.00,0,SpurMi00
Brandon Tate,WR,25.352,2013-09-22,NFL,CIN,,GNB,W 34-30,3,3,Sun,4,111,27.75,0,TateBr00
Marcus Thigpen,RB,27.130,2013-09-22,NFL,MIA,,ATL,W 27-23,3,3,Sun,2,48,24.00,0,ThigMa00
Chris Thompson,RB,22.337,2013-09-22,NFL,WAS,,DET,L 20-27,3,3,Sun,2,45,22.50,0,ThomCh03
Eric Weems,WR/K,28.080,2013-09-22,NFL,CHI,@,PIT,W 40-23,3,3,Sun,1,15,15.00,0,WeemEr00
Fozzy Whittaker,RB,24.232,2013-09-22,NFL,SDG,@,TEN,L 17-20,3,3,Sun,1,21,21.00,0,WhitFo00
David Wilson,RB,22.099,2013-09-22,NFL,NYG,@,CAR,L 0-38,3,3,Sun,1,24,24.00,0,WilsDa01
Jacoby Ford,WR,26.058,2013-09-23,NFL,OAK,@,DEN,L 21-37,3,3,Mon,2,45,22.50,0,FordJa01
Mitch Unrein,DT,26.182,2013-09-23,NFL,DEN,,OAK,W 37-21,3,3,Mon,1,8,8.00,0,UnreMi00
Benny Cunningham,RB,23.081,2013-09-26,NFL,STL,,SFO,L 11-35,4,4,Thu,3,74,24.67,0,CunnBe01
Nick Bellore,LB,24.140,2013-09-29,NFL,NYJ,@,TEN,L 13-38,4,4,Sun,1,0,0.00,0,BellNi01
Derrick Coleman,FB,22.346,2013-09-29,NFL,SEA,@,HOU,W 23-20,4,4,Sun,1,0,0.00,0,ColeDe00
Michael Cox,RB,24.319,2013-09-29,NFL,NYG,@,KAN,L 7-31,4,4,Sun,1,13,13.00,0,CoxxMi00
Jeff Demps,RB,23.264,2013-09-29,NFL,TAM,,ARI,L 10-13,4,4,Sun,3,69,23.00,0,DempJe00
Quintin Demps,S,28.092,2013-09-29,NFL,KAN,,NYG,W 31-7,4,4,Sun,1,22,22.00,0,DempQu99
Jacoby Ford,WR,26.064,2013-09-29,NFL,OAK,,WAS,L 14-24,4,4,Sun,1,25,25.00,0,FordJa01
Clyde Gates,WR,27.108,2013-09-29,NFL,NYJ,@,TEN,L 13-38,4,4,Sun,2,46,23.00,0,GateCl00
Dwayne Harris,WR,26.013,2013-09-29,NFL,DAL,@,SDG,L 21-30,4,4,Sun,3,85,28.33,0,HarrDw00
Devin Hester,KR/P,30.329,2013-09-29,NFL,CHI,@,DET,L 32-40,4,4,Sun,6,147,24.50,0,HestDe99
Trindon Holliday,WR,27.155,2013-09-29,NFL,DEN,,PHI,W 52-20,4,4,Sun,1,105,105.00,1,HollTr00
Damaris Johnson,WR,23.311,2013-09-29,NFL,PHI,@,DEN,L 20-52,4,4,Sun,1,26,26.00,0,JohnDa04
Felix Jones,RB,26.144,2013-09-29,NFL,PIT,@,MIN,L 27-34,4,4,Sun,4,92,23.00,0,JoneFe00
Jermaine Kearse,WR,23.235,2013-09-29,NFL,SEA,@,HOU,W 23-20,4,4,Sun,1,30,30.00,0,KearJe01
Jeremy Lane,CB,23.077,2013-09-29,NFL,SEA,@,HOU,W 23-20,4,4,Sun,1,25,25.00,0,LaneJe00
Greg Little,WR,24.122,2013-09-29,NFL,CLE,,CIN,W 17-6,4,4,Sun,2,60,30.00,0,LittGr00
Keshawn Martin,WR,23.198,2013-09-29,NFL,HOU,,SEA,L 20-23,4,4,Sun,2,52,26.00,0,MartKe01
Cordarrelle Patterson,WR,22.196,2013-09-29,NFL,MIN,,PIT,W 34-27,4,4,Sun,5,144,28.80,0,PattCo00
David Reed,WR,26.191,2013-09-29,NFL,IND,@,JAX,W 37-3,4,4,Sun,2,45,22.50,0,ReedDa00
Denard Robinson,WR,23.007,2013-09-29,NFL,JAX,,IND,L 3-37,4,4,Sun,2,34,17.00,0,RobiDe00
Jacquizz Rodgers,RB,23.235,2013-09-29,NFL,ATL,,NWE,L 23-30,4,4,Sun,1,29,29.00,0,RodgJa00
Micheal Spurlock,WR,30.241,2013-09-29,NFL,DET,,CHI,W 40-32,4,4,Sun,3,62,20.67,0,SpurMi00
Jeremy Stewart,RB,24.222,2013-09-29,NFL,OAK,,WAS,L 14-24,4,4,Sun,1,24,24.00,0,StewJe00
Brandon Tate,WR,25.359,2013-09-29,NFL,CIN,@,CLE,L 6-17,4,4,Sun,3,60,20.00,0,TateBr00
Deonte Thompson,WR,24.227,2013-09-29,NFL,BAL,@,BUF,L 20-23,4,4,Sun,3,73,24.33,0,ThomDe04
Jordan Todman,RB,23.217,2013-09-29,NFL,JAX,,IND,L 3-37,4,4,Sun,2,53,26.50,0,TodmJo00
David Wilson,RB,22.106,2013-09-29,NFL,NYG,@,KAN,L 7-31,4,4,Sun,2,61,30.50,0,WilsDa01
Danny Woodhead,RB,28.247,2013-09-29,NFL,SDG,,DAL,W 30-21,4,4,Sun,1,18,18.00,0,WoodDa02
Darren Sproles,RB,30.102,2013-09-30,NFL,NOR,,MIA,W 38-17,4,4,Mon,2,36,18.00,0,SproDa00
Marcus Thigpen,RB,27.138,2013-09-30,NFL,MIA,@,NOR,L 17-38,4,4,Mon,3,68,22.67,0,ThigMa00
Marcus Easley,WR,25.335,2013-10-03,NFL,BUF,@,CLE,L 24-37,5,5,Thu,2,37,18.50,0,EaslMa00
Greg Little,WR,24.126,2013-10-03,NFL,CLE,,BUF,W 37-24,5,5,Thu,3,44,14.67,0,LittGr00
Kyle Bosworth,LB,26.319,2013-10-06,NFL,DAL,,DEN,L 48-51,5,5,Sun,1,16,16.00,0,BoswKy00
Benny Cunningham,RB,23.091,2013-10-06,NFL,STL,,JAX,W 34-20,5,5,Sun,2,52,26.00,0,CunnBe01
Quintin Demps,S,28.099,2013-10-06,NFL,KAN,@,TEN,W 26-17,5,5,Sun,1,36,36.00,0,DempQu99
Lance Dunbar,RB,23.254,2013-10-06,NFL,DAL,,DEN,L 48-51,5,5,Sun,1,28,28.00,0,DunbLa00
Jacoby Ford,WR,26.071,2013-10-06,NFL,OAK,,SDG,W 27-17,5,5,Sun,4,92,23.00,0,FordJa01
Ted Ginn,WR,28.177,2013-10-06,NFL,CAR,@,ARI,L 6-22,4,5,Sun,2,63,31.50,0,GinnTe00
Dwayne Harris,WR,26.020,2013-10-06,NFL,DAL,,DEN,L 48-51,5,5,Sun,3,79,26.33,0,HarrDw00
Devin Hester,KR/P,30.336,2013-10-06,NFL,CHI,,NOR,L 18-26,5,5,Sun,2,49,24.50,0,HestDe99
Trindon Holliday,WR,27.162,2013-10-06,NFL,DEN,@,DAL,W 51-48,5,5,Sun,3,87,29.00,0,HollTr00
Malik Jackson,DE,23.268,2013-10-06,NFL,DEN,@,DAL,W 51-48,5,5,Sun,1,6,6.00,0,JackMa02
LaMichael James,RB,23.349,2013-10-06,NFL,SFO,,HOU,W 34-3,5,5,Sun,1,29,29.00,0,JameLa00
Jerrel Jernigan,WR,24.114,2013-10-06,NFL,NYG,,PHI,L 21-36,5,5,Sun,2,41,20.50,0,JernJe00
Jermaine Kearse,WR,23.242,2013-10-06,NFL,SEA,@,IND,L 28-34,5,5,Sun,1,21,21.00,0,KearJe01
Keshawn Martin,WR,23.205,2013-10-06,NFL,HOU,@,SFO,L 3-34,5,5,Sun,5,120,24.00,0,MartKe01
Devin McCourty,S,26.054,2013-10-06,NFL,NWE,@,CIN,L 6-13,5,5,Sun,3,74,24.67,0,McCoDe99
Patrick Peterson,LCB,23.087,2013-10-06,NFL,ARI,,CAR,W 22-6,5,5,Sun,1,18,18.00,0,PetePa00
David Reed,WR,26.198,2013-10-06,NFL,IND,,SEA,W 34-28,5,5,Sun,4,107,26.75,0,ReedDa00
Darius Reynaud,RB,28.281,2013-10-06,NFL,TEN,,KAN,L 17-26,5,5,Sun,2,48,24.00,0,ReynDa00
Darren Sproles,RB,30.108,2013-10-06,NFL,NOR,@,CHI,W 26-18,5,5,Sun,2,38,19.00,0,SproDa00
Micheal Spurlock,WR,30.248,2013-10-06,NFL,DET,@,GNB,L 9-22,5,5,Sun,2,40,20.00,0,SpurMi00
Brandon Tate,WR,26.001,2013-10-06,NFL,CIN,,NWE,W 13-6,5,5,Sun,1,29,29.00,0,TateBr00
Golden Tate,WR,25.065,2013-10-06,NFL,SEA,@,IND,L 28-34,5,5,Sun,1,18,18.00,0,TateGo00
Marcus Thigpen,RB,27.144,2013-10-06,NFL,MIA,,BAL,L 23-26,5,5,Sun,2,49,24.50,0,ThigMa00
Deonte Thompson,WR,24.234,2013-10-06,NFL,BAL,@,MIA,W 26-23,5,5,Sun,4,128,32.00,0,ThomDe04
Jordan Todman,RB,23.224,2013-10-06,NFL,JAX,@,STL,L 20-34,5,5,Sun,2,64,32.00,0,TodmJo00
Leon Washington,RB,31.038,2013-10-06,NFL,NWE,@,CIN,L 6-13,5,5,Sun,1,19,19.00,0,WashLe00
David Wilson,RB,22.113,2013-10-06,NFL,NYG,,PHI,L 21-36,5,5,Sun,1,16,16.00,0,WilsDa01
Cierre Wood,RB,22.227,2013-10-06,NFL,HOU,@,SFO,L 3-34,5,5,Sun,1,20,20.00,0,WoodCi00
Danny Woodhead,RB,28.254,2013-10-06,NFL,SDG,@,OAK,L 17-27,5,5,Sun,2,46,23.00,0,WoodDa02
Clyde Gates,WR,27.116,2013-10-07,NFL,NYJ,@,ATL,W 30-28,5,5,Mon,2,54,27.00,0,GateCl00
Jacquizz Rodgers,RB,23.243,2013-10-07,NFL,ATL,,NYJ,L 28-30,5,5,Mon,1,23,23.00,0,RodgJa00
Devin Hester,KR/P,30.340,2013-10-10,NFL,CHI,,NYG,W 27-21,6,6,Thu,3,73,24.33,0,HestDe99
Jerrel Jernigan,WR,24.118,2013-10-10,NFL,NYG,@,CHI,L 21-27,6,6,Thu,2,72,36.00,0,JernJe00
Brandon Mosley,G,24.293,2013-10-10,NFL,NYG,@,CHI,L 21-27,6,6,Thu,1,0,0.00,0,MoslBr00
Javier Arenas,CB,25.350,2013-10-13,NFL,ARI,@,SFO,L 20-32,6,6,Sun,2,42,21.00,0,ArenJa99
Tavon Austin,WR,23.212,2013-10-13,NFL,STL,@,HOU,W 38-13,6,6,Sun,1,8,8.00,0,AustTa00
LeGarrette Blount,RB,26.312,2013-10-13,NFL,NWE,,NOR,W 30-27,6,6,Sun,2,51,25.50,0,BlouLe00
Tommy Bohanon,FB,23.033,2013-10-13,NFL,NYJ,,PIT,L 6-19,6,6,Sun,1,15,15.00,0,BohaTo00
Benny Cunningham,RB,23.098,2013-10-13,NFL,STL,@,HOU,W 38-13,6,6,Sun,2,56,28.00,0,CunnBe01
Jeff Demps,RB,23.278,2013-10-13,NFL,TAM,,PHI,L 20-31,5,6,Sun,1,24,24.00,0,DempJe00
Anthony Dixon,RB,26.019,2013-10-13,NFL,SFO,,ARI,W 32-20,6,6,Sun,1,0,0.00,0,DixoAn00
Jacoby Ford,WR,26.078,2013-10-13,NFL,OAK,@,KAN,L 7-24,6,6,Sun,1,18,18.00,0,FordJa01
Clyde Gates,WR,27.122,2013-10-13,NFL,NYJ,,PIT,L 6-19,6,6,Sun,2,56,28.00,0,GateCl00
Ted Ginn,WR,28.184,2013-10-13,NFL,CAR,@,MIN,W 35-10,5,6,Sun,2,31,15.50,0,GinnTe00
Marquise Goodwin,WR,22.328,2013-10-13,NFL,BUF,,CIN,L 24-27,6,6,Sun,4,94,23.50,0,GoodMa00
Dwayne Harris,WR,26.027,2013-10-13,NFL,DAL,,WAS,W 31-16,6,6,Sun,2,113,56.50,0,HarrDw00
Michael Hill,RB,24.060,2013-10-13,NFL,GNB,@,BAL,W 19-17,5,6,Sun,1,19,19.00,0,HillMi00
Damaris Johnson,WR,23.325,2013-10-13,NFL,PHI,@,TAM,W 31-20,6,6,Sun,2,45,22.50,0,JohnDa04
Felix Jones,RB,26.158,2013-10-13,NFL,PIT,@,NYJ,W 19-6,5,6,Sun,1,23,23.00,0,JoneFe00
Jacoby Jones,WR,29.094,2013-10-13,NFL,BAL,,GNB,L 17-19,6,6,Sun,4,102,25.50,0,JoneJa03
Jermaine Kearse,WR,23.249,2013-10-13,NFL,SEA,,TEN,W 20-13,6,6,Sun,3,95,31.67,0,KearJe01
Greg Little,WR,24.136,2013-10-13,NFL,CLE,,DET,L 17-31,6,6,Sun,1,21,21.00,0,LittGr00
Danieal Manning,SS,31.065,2013-10-13,NFL,HOU,,STL,L 13-38,6,6,Sun,1,18,18.00,0,MannDa21
Keshawn Martin,WR,23.212,2013-10-13,NFL,HOU,,STL,L 13-38,6,6,Sun,3,79,26.33,0,MartKe01
Josh Morgan,WR,28.115,2013-10-13,NFL,WAS,@,DAL,L 16-31,5,6,Sun,1,20,20.00,0,MorgJo00
Eric Page,WR,22.020,2013-10-13,NFL,TAM,,PHI,L 20-31,5,6,Sun,1,30,30.00,0,PageEr00
Michael Palmer,TE,25.268,2013-10-13,NFL,PIT,@,NYJ,W 19-6,5,6,Sun,1,5,5.00,0,PalmMi00
Niles Paul,TE,24.065,2013-10-13,NFL,WAS,@,DAL,L 16-31,5,6,Sun,1,9,9.00,0,PaulNi00
Darius Reynaud,RB,28.288,2013-10-13,NFL,TEN,@,SEA,L 13-20,6,6,Sun,4,121,30.25,0,ReynDa00
Jay Ross,DT,26.010,2013-10-13,NFL,BUF,,CIN,L 24-27,6,6,Sun,1,7,7.00,0,RossJa00
Darren Sproles,RB,30.115,2013-10-13,NFL,NOR,@,NWE,L 27-30,6,6,Sun,2,41,20.50,0,SproDa00
Brandon Tate,WR,26.008,2013-10-13,NFL,CIN,@,BUF,W 27-24,6,6,Sun,4,103,25.75,0,TateBr00
Pierre Thomas,RB,28.299,2013-10-13,NFL,NOR,@,NWE,L 27-30,6,6,Sun,1,12,12.00,0,ThomPi00
Kyle Williams,WR,25.086,2013-10-13,NFL,SFO,,ARI,W 32-20,6,6,Sun,4,87,21.75,0,WillKy01
Lavelle Hawkins,WR,27.094,2013-10-14,NFL,SDG,,IND,W 19-9,6,6,Mon,1,24,24.00,0,HawkLa00
David Reed,WR,26.206,2013-10-14,NFL,IND,@,SDG,L 9-19,6,6,Mon,5,124,24.80,0,ReedDa00
Javier Arenas,CB,25.354,2013-10-17,NFL,ARI,,SEA,L 22-34,7,7,Thu,2,45,22.50,0,ArenJa99
Jermaine Kearse,WR,23.253,2013-10-17,NFL,SEA,@,ARI,W 34-22,7,7,Thu,2,18,9.00,0,KearJe01
Tyrann Mathieu,DB,21.157,2013-10-17,NFL,ARI,,SEA,L 22-34,7,7,Thu,1,13,13.00,0,MathTy00
Joe Anderson,WR,24.333,2013-10-20,NFL,CHI,@,WAS,L 41-45,7,7,Sun,2,36,18.00,0,AndeJo00
Tavon Austin,WR,23.219,2013-10-20,NFL,STL,@,CAR,L 15-30,7,7,Sun,3,73,24.33,0,AustTa00
Travis Benjamin,WR,23.295,2013-10-20,NFL,CLE,@,GNB,L 13-31,7,7,Sun,1,86,86.00,0,BenjTr00
LeGarrette Blount,RB,26.319,2013-10-20,NFL,NWE,@,NYJ,L 27-30,7,7,Sun,4,96,24.00,0,BlouLe00
LaVon Brazill,WR,24.219,2013-10-20,NFL,IND,,DEN,W 39-33,7,7,Sun,1,16,16.00,0,BrazLa00
Josh Cribbs,WR,30.133,2013-10-20,NFL,NYJ,,NWE,W 30-27,7,7,Sun,1,17,17.00,0,CribJo01
Quintin Demps,S,28.113,2013-10-20,NFL,KAN,,HOU,W 17-16,7,7,Sun,4,123,30.75,0,DempQu99
Johnathan Franklin,RB,23.362,2013-10-20,NFL,GNB,,CLE,W 31-13,6,7,Sun,1,26,26.00,0,FranJo01
