Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tiki Barber,RB,27.151,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,1,5,5.00,0,BarbTi00
Phillip Buchanon,CB,21.354,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,1,22,22.00,0,BuchPh20
Chris Cash,CB,22.057,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,1,0,0.00,0,CashCh20
Ike Charlton,CB,24.337,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,1,0,0.00,0,CharIk20
Nick Davis,WR,22.337,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,2,16,8.00,0,DaviNi00
Bobby Engram,WR,29.244,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,1,4,4.00,0,EngrBo00
Larry Foster,WR,25.305,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,2,15,7.50,0,FostLa00
Joey Galloway,WR,30.292,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,3,8,2.67,0,GallJo00
Damon Gibson,WR,27.195,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,1,0,0.00,0,GibsDa00
Jacquez Green,WR,26.236,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,3,26,8.67,0,GreeJa00
Desmond Howard,WR,32.116,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,1,13,13.00,0,HowaDe00
Arnold Jackson,WR,25.152,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,3,24,8.00,0,JackAr00
Albert Johnson,WR,24.301,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,3,35,11.67,0,JohnAl23
Leon Johnson,RB,28.057,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,2,37,18.50,0,JohnLe00
Jermaine Lewis,WR,27.327,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,4,21,5.25,0,LewiJe00
Michael Lewis,WR,30.298,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,3,48,16.00,0,LewiMi00
Chris McAlister,LCB,25.086,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,3,13,4.33,0,McAlCh00
Brian Mitchell,RB/K,34.021,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,2,17,8.50,0,MitcBr00
Santana Moss,WR,23.099,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1,10,10.00,0,MossSa00
Dennis Northcutt,WR,24.260,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,1,23,23.00,0,NortDe00
Deltha O'Neal,LCB,25.221,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,1,4,4.00,0,ONeaDe00
Ken-Yon Rambo,WR,23.339,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,4,2,0.50,0,RambKe00
Charlie Rogers,RB,26.081,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,2,12,6.00,0,RogeCh00
Allen Rossum,CB,26.321,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,1,36,36.00,0,RossAl99
John Simon,RB,23.271,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,1,0,0.00,0,SimoJo00
Steve Smith,WR,23.119,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,4,32,8.00,0,SmitSt01
Tamarick Vanover,WR-K,28.195,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,3,33,11.00,0,VanoTa00
Troy Walters,WR,25.267,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,2,15,7.50,0,WaltTr00
Terrence Wilkins,WR,27.041,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,3,14,4.67,0,WilkTe00
Karl Williams,WR,31.151,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,5,29,5.80,0,WillKa00
Troy Brown,WR,31.069,2002-09-09,NFL,NWE,,PIT,W 30-14,1,1,Mon,1,10,10.00,0,BrowTr00
Antwaan Randle El,WR,23.023,2002-09-09,NFL,PIT,@,NWE,L 14-30,1,1,Mon,2,9,4.50,0,RandAn00
D'Wayne Bates,WR,26.285,2002-09-15,NFL,MIN,,BUF,L 39-45,2,2,Sun,2,74,37.00,0,BateDW00
Troy Brown,WR,31.075,2002-09-15,NFL,NWE,@,NYJ,W 44-7,2,2,Sun,3,29,9.67,0,BrowTr00
Phillip Buchanon,CB,21.361,2002-09-15,NFL,OAK,@,PIT,W 30-17,2,2,Sun,3,17,5.67,0,BuchPh20
Reche Caldwell,WR,23.171,2002-09-15,NFL,SDG,,HOU,W 24-3,2,2,Sun,1,-2,-2.00,0,CaldRe00
Bobby Engram,WR,29.251,2002-09-15,NFL,SEA,,ARI,L 13-24,2,2,Sun,2,11,5.50,0,EngrBo00
Kevin Faulk,RB,26.102,2002-09-15,NFL,NWE,@,NYJ,W 44-7,2,2,Sun,1,16,16.00,0,FaulKe00
