Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Tom Brady,QB,28.036,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,3,-1,-0.33,0,BradTo00
Kerry Collins,QB,32.252,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,1,2,2.00,0,CollKe00
Zack Crockett,RB,32.280,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,3,20,6.67,0,CrocZa00
Corey Dillon,RB,30.319,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,23,63,2.74,2,DillCo00
Kevin Faulk,RB,29.095,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,5,11,2.20,0,FaulKe00
LaMont Jordan,RB,26.301,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,18,70,3.89,0,JordLa00
Shaun Alexander,RB,28.012,2005-09-11,NFL,SEA,@,JAX,L 14-26,1,1,Sun,14,73,5.21,0,AlexSh00
Mike Alstott,FB,31.264,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,1,0,0.00,0,AlstMi00
Mike Anderson,,31.355,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,4,5,1.25,0,AndeMi00
J.J. Arrington,RB,22.231,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,8,5,0.63,0,ArriJ.00
Obafemi Ayanbadejo,FB,30.190,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,2,2,1.00,0,AyanOb00
Tiki Barber,RB,30.157,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,13,62,4.77,1,BarbTi00
Kevan Barlow,RB,26.247,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,14,22,1.57,1,BarlKe00
Arnaz Battle,WR,25.201,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,1,-3,-3.00,0,BattAr00
Tatum Bell,RB,24.193,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,13,47,3.62,0,BellTa00
