Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Cortez Allen,CB,26.316,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,3,3,6,0,0,AlleCo00
Will Allen,SS,33.085,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,1.0,8,0,8,1,1,AlleWi21
Antwon Blake,RCB,25.032,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,3,1,4,0,0,BlakAn00
Alan Branch,DT,30.255,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,1,1,2,0,0,BranAl99
Malcom Brown,DT,21.220,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,1.0,1,1,2,1,1,BrowMa01
Tarell Brown,DB,30.247,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,2,2,4,1,0,BrowTa99
Malcolm Butler,LCB,25.192,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,3,2,5,0,0,ButlMa01
Patrick Chung,S,28.022,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,2,3,5,0,0,ChunPa99
Jamie Collins,LB,25.325,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,3,3,6,0,0,CollJa00
Bud Dupree,LB,22.210,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,1.0,2,0,2,0,1,DuprAl00
Nate Ebner,DB,26.270,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,1,0,1,0,0,EbneNa00
Bradley Fletcher,CB,29.077,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,4,2,6,0,0,FletBr99
Jonathan Freeny,LB,26.087,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,0,1,1,0,0,FreeJo01
William Gay,LCB,30.252,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,4,0,4,1,0,GayxWi99
Robert Golden,S,24.362,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,1,2,0,0,GoldRo00
Geneo Grissom,DE,23.098,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,0,1,1,0,0,GrisGe00
Duron Harmon,RCB,24.229,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,2,1,3,0,0,HarmDu00
James Harrison,LB,37.129,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,2,2,4,0,0,HarrJa23
Cameron Heyward,LDE,26.127,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,3,4,0,0,HeywCa01
Dont'a Hightower,LB,25.182,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,1.0,6,2,8,1,1,HighDo01
Chandler Jones,RDE,25.195,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,1,2,3,1,1,JoneCh03
Jarvis Jones,ROLB,25.332,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,0,1,1,0,0,JoneJa05
Jerod Mayo,ILB,29.199,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,1,1,2,0,0,MayoJe99
Devin McCourty,S,28.028,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,3,2,5,0,0,McCoDe99
Daniel McCullers,DT,23.030,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,0,1,0,0,McCuDa00
Steve McLendon,NT,29.250,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,1,2,0,1,McLeSt00
Mike Mitchell,FS,28.092,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,3,1,4,0,0,MitcMi99
Rob Ninkovich,LDE,31.221,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,3,1,4,0,1,NinkRo20
Roosevelt Nix,FB,23.164,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,0,1,0,0,NixxRo01
Ryan Shazier,LILB,23.004,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,5,2,7,2,0,ShazRy00
Jabaal Sheard,DE,26.123,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,1.0,2,1,3,1,1,SheaJa00
Sealver Siliga,NT,25.137,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,1,2,3,0,0,SiliSe00
Matthew Slater,WR,30.001,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,0.0,0,1,1,0,0,SlatMa00
Cam Thomas,DT,28.272,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,0,1,0,0,ThomCa99
Shamarko Thomas,S,24.199,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,0,1,1,0,0,ThomSh00
Lawrence Timmons,RILB,29.119,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,2,1,3,0,0,TimmLa99
Stephon Tuitt,RDE,22.110,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,0,1,1,0,1,TuitSt00
Vince Williams,LB,25.257,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,0.0,1,0,1,0,0,WillVi01
Husain Abdullah,FS,30.048,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,0.0,6,1,7,0,0,AbduHu99
Mike Adams,SS,34.173,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,0.0,3,1,4,0,0,AdamMi21
Jahleel Addae,SS,25.232,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,0.0,4,0,4,0,0,AddaJa00
Mario Addison,DE,28.007,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,2.0,3,0,3,2,3,AddiMa00
Walt Aikens,S,24.086,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,0.0,3,0,3,0,0,AikeWa00
D.J. Alexander,LB,23.348,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,0.0,2,0,2,0,0,AlexD.00
Kwon Alexander,MLB,21.041,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,0.0,3,2,5,1,0,AlexKw00
Maurice Alexander,S,24.209,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,0.0,0,1,1,0,0,AlexMa00
