Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
David Akers,K,25.269,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,11.00,11.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,akersdav01
Derrick Alexander,FL,28.302,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,11.00,16.0,16.0,13.5,0,0,0,0,0,0,0,0,5,50,1,0,,,,,AlexDe00
James Allen,RB,25.159,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,7.70,8.7,8.7,8.2,0,0,0,0,0,9,60,0,1,17,0,0,,,,,AlleJa00
John Allred,TE,25.360,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,9.60,11.6,11.6,10.6,0,0,0,0,0,0,0,0,2,36,1,0,,,,,AllrJo00
Mike Alstott,FB,26.257,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,18.00,19.0,19.0,18.5,0,0,0,0,0,16,54,2,1,6,0,0,,,,,AlstMi00
Morten Andersen*,K,40.015,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,18.00,18.0,,22.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,andermor01
Gary Anderson,P,41.049,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,12.00,12.0,,13.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,andergar02
Jamal Anderson,RB,27.339,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,7.70,8.7,9.7,8.2,0,0,0,0,0,24,77,0,1,20,0,0,,,,,AndeJa00
Richie Anderson,FB,28.356,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,4.10,7.1,7.1,5.6,0,0,0,0,0,0,0,0,3,41,0,0,,,,,AndeRi00
Reidel Anthony,WR,23.319,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,6.80,7.8,7.8,7.3,0,0,0,0,0,0,0,0,1,8,1,0,,,,,AnthRe00
Obafemi Ayanbadejo,FB,25.182,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,1.00,3.0,3.0,2.0,0,0,0,0,0,2,0,0,2,10,0,0,,,,,AyanOb00
Tony Banks,QB,27.151,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,12.46,12.5,12.5,12.5,18,32,199,1,0,2,5,0,0,0,0,0,,,,,BankTo00
Tiki Barber,RB,25.149,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,28.90,31.9,34.9,30.4,0,0,0,0,0,13,144,2,3,25,0,0,,,,,BarbTi00
Fred Beasley,FB,25.351,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,21.50,24.5,24.5,23.0,0,0,0,0,0,5,10,1,3,25,2,0,,,,,BeasFr00
Donnell Bennett,FB,27.355,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,1.30,3.3,3.3,2.3,0,0,0,0,0,6,-4,0,2,17,0,0,,,,,BennDo00
Jerome Bettis*,HB,28.200,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,1.50,2.5,2.5,2.0,0,0,0,0,0,9,8,0,1,7,0,0,,,,,BettJe00
Steve Beuerlein,QB,35.180,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,10.32,10.3,11.3,10.3,17,26,183,1,0,2,10,0,0,0,0,0,,,,,BeueSt00
Tim Biakabutuka,RB,26.223,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,10.80,12.8,12.8,11.8,0,0,0,0,0,15,88,0,2,20,0,0,,,,,BiakTi00
Eric Bjornson,TE,28.263,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,1.50,3.5,3.5,2.5,0,0,0,0,0,0,0,0,2,15,0,0,,,,,BjorEr00
Jeff Blake,QB,29.274,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,6.96,7.0,8.0,8.0,18,34,169,0,1,5,22,0,0,0,0,0,,,,,BlakJe00
Cary Blanchard,K,31.303,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,4.00,4.0,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,blanccar01
Drew Bledsoe,QB,28.202,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,15.64,15.6,15.6,15.6,26,39,216,1,0,8,30,0,0,0,0,0,,,,,BledDr00
Marty Booker,WR,24.034,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,5.30,11.3,11.3,8.3,0,0,0,0,0,1,-6,0,6,59,0,0,,,,,BookMa00
David Boston,WR,22.015,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,24.80,33.8,36.8,29.3,0,0,0,0,0,0,0,0,9,128,2,0,,,,,BostDa00
Kyle Brady,TE,28.233,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,8.50,13.5,13.5,11.0,0,0,0,0,0,0,0,0,5,85,0,0,,,,,BradKy00
Doug Brien,K,29.284,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,4.00,4.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,briendou01
Jeremy Brigham,TE,25.165,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,1.30,2.3,2.3,1.8,0,0,0,0,0,0,0,0,1,13,0,0,,,,,BrigJe00
Vincent Brisby,WR,29.222,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,2.50,4.5,4.5,3.5,0,0,0,0,0,0,0,0,2,25,0,0,,,,,BrisVi00
Luther Broughton,TE,25.278,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,1.20,3.2,3.2,2.2,0,0,0,0,0,0,0,0,2,12,0,0,,,,,BrouLu00
Reggie Brown,FB,27.069,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,1.20,3.2,3.2,2.2,0,0,0,0,0,2,3,0,2,9,0,0,,,,,BrowRe00
Tim Brown*,WR,34.043,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,4.20,9.2,9.2,6.7,0,0,0,0,0,1,3,0,5,39,0,0,,,,,BrowTi00
Troy Brown,WR,29.063,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,16.30,23.3,23.3,19.8,0,0,0,0,0,2,33,0,7,70,0,0,,,,,BrowTr00
Mark Bruener,TE,27.353,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,2.70,4.7,4.7,3.7,0,0,0,0,0,0,0,0,2,27,0,0,,,,,BrueMa00
Mark Brunell,QB,29.352,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,16.54,16.5,19.5,16.5,24,34,301,1,0,1,5,0,0,0,0,0,,,,,BrunMa00
Shawn Bryson,RB,23.288,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,3.90,4.9,4.9,4.4,0,0,0,0,0,10,16,0,1,23,0,0,,,,,BrysSh00
Plaxico Burress,SE,23.022,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,7.70,11.7,11.7,9.7,0,0,0,0,0,0,0,0,4,77,0,0,,,,,BurrPl00
Dan Campbell,TE,24.143,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,CampDa00
Cris Carter*,WR,34.283,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,2.60,4.6,4.6,3.6,0,0,0,0,0,0,0,0,2,26,0,0,,,,,CartCr00
Stoney Case,QB,28.058,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,3.70,3.7,4.7,4.7,13,25,100,0,1,3,17,0,0,0,0,0,,,,,CaseSt00
Larry Centers,RB,32.094,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,8.20,15.2,15.2,11.7,0,0,0,0,0,4,26,0,7,56,0,0,,,,,CentLa00
Robert Chancey,RB,27.362,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,14.00,15.0,15.0,14.5,0,0,0,0,0,23,74,1,1,6,0,0,,,,,ChanRo20
Chris Chandler,QB,34.327,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,19.36,20.4,20.4,19.9,16,31,264,2,0,4,12,0,1,-4,0,0,,,,,ChanCh00
Wayne Chrebet,WR,27.020,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,4.70,9.7,9.7,7.2,0,0,0,0,0,0,0,0,5,47,0,0,,,,,ChreWa00
Bob Christian,FB,31.294,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,1.70,2.7,2.7,2.2,0,0,0,0,0,3,5,0,1,12,0,0,,,,,ChriBo00
Steve Christie,K,32.295,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,10.00,10.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,chrisste01
