Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Bethel Johnson,WR,25.211,2004-09-09,NFL,NWE,,IND,W 27-24,1,1,Thu,5,107,21.40,0,JohnBe00
Dominic Rhodes,RB,25.236,2004-09-09,NFL,IND,@,NWE,L 24-27,1,1,Thu,4,89,22.25,0,RhodDo00
Lamont Brightful,CB,25.226,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,3,77,25.67,0,BrigLa20
Will Poole,CB,23.049,2004-09-11,NFL,MIA,,TEN,L 7-17,1,1,Sat,1,22,22.00,0,PoolWi20
Roc Alexander,CB,22.355,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,2,55,27.50,0,AlexRo21
Arnaz Battle,WR,24.203,2004-09-12,NFL,SFO,,ATL,L 19-21,1,1,Sun,3,57,19.00,0,BattAr00
Dee Brown,RB,26.123,2004-09-12,NFL,CLE,,BAL,W 20-3,1,1,Sun,1,30,30.00,0,BrowDe02
Jonathan Carter,WR-K,25.176,2004-09-12,NFL,NYJ,,CIN,W 31-24,1,1,Sun,5,100,20.00,0,CartJo01
Ricardo Colclough,CB,20.352,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,1,23,23.00,0,ColcRi20
Matt Cushing,TE,29.072,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,1,12,12.00,0,CushMa00
Reuben Droughns,FB,26.022,2004-09-12,NFL,DEN,,KAN,W 34-24,1,1,Sun,2,58,29.00,0,DrouRe00
Eddie Drummond,WR,24.153,2004-09-12,NFL,DET,@,CHI,W 20-16,1,1,Sun,3,74,24.67,0,DrumEd00
Carlos Francis,WR,23.253,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,4,94,23.50,0,FranCa20
Doug Gabriel,WR,24.016,2004-09-12,NFL,OAK,@,PIT,L 21-24,1,1,Sun,1,2,2.00,0,GabrDo00
Dante Hall,WR,26.011,2004-09-12,NFL,KAN,@,DEN,L 24-34,1,1,Sun,1,17,17.00,0,HallDa00
Arlen Harris,RB,24.143,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,1,14,14.00,0,HarrAr00
T.J. Houshmandzadeh,WR,26.352,2004-09-12,NFL,CIN,@,NYJ,L 24-31,1,1,Sun,5,127,25.40,0,HousTJ00
Steven Jackson,RB,21.052,2004-09-12,NFL,STL,,ARI,W 17-10,1,1,Sun,1,20,20.00,0,JackSt00
Daryl Jones,WR,25.223,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,4,70,17.50,0,JoneDa02
