Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
ReShard Lee,RB,23.336,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,3,97,32.33,0,LeexRe00
Matt Lehr,C,25.140,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,1,9,9.00,0,LehrMa20
Jermaine Lewis,WR,29.332,2004-09-12,NFL,JAX,@,BUF,W 13-10,1,1,Sun,3,59,19.67,0,LewiJe00
Michael Lewis,WR,32.303,2004-09-12,NFL,NOR,,SEA,L 7-21,1,1,Sun,4,129,32.25,0,LewiMi00
Terrence McGee,CB,23.334,2004-09-12,NFL,BUF,,JAX,L 10-13,1,1,Sun,2,43,21.50,0,McGeTe99
Jason McKie,FB,24.113,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,1,25,25.00,0,McKiJa00
R.W. McQuarters,RCB,27.266,2004-09-12,NFL,CHI,,DET,L 16-20,1,1,Sun,1,37,37.00,0,McQuR.20
Mewelde Moore,RB,22.050,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,1,17,17.00,0,MoorMe00
Maurice Morris,RB,24.286,2004-09-12,NFL,SEA,@,NOR,W 21-7,1,1,Sun,2,46,23.00,0,MorrMa00
Chad Morton,RB/K,27.161,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,2,48,24.00,0,MortCh00
J.J. Moses,WR,25.000,2004-09-12,NFL,HOU,,SDG,L 20-27,1,1,Sun,6,154,25.67,0,MoseJ.00
Frank Murphy,WR,27.214,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,4,125,31.25,0,MurpFr00
Willie Ponder,WR,24.211,2004-09-12,NFL,NYG,@,PHI,L 17-31,1,1,Sun,5,119,23.80,0,PondWi00
Antwaan Randle El,WR,25.026,2004-09-12,NFL,PIT,,OAK,W 24-21,1,1,Sun,3,76,25.33,0,RandAn00
J.R. Reed,S,22.214,2004-09-12,NFL,PHI,,NYG,W 31-17,1,1,Sun,3,67,22.33,0,ReedJ.20
Jacques Reeves,CB,21.340,2004-09-12,NFL,DAL,@,MIN,L 17-35,1,1,Sun,2,46,23.00,0,ReevJa20
Allen Rossum,CB,28.326,2004-09-12,NFL,ATL,@,SFO,W 21-19,1,1,Sun,4,49,12.25,0,RossAl99
B.J. Sams,RB,23.319,2004-09-12,NFL,BAL,@,CLE,L 3-20,1,1,Sun,4,78,19.50,0,SamsB.00
Bill Schroeder,WR,33.247,2004-09-12,NFL,TAM,@,WAS,L 10-16,1,1,Sun,1,13,13.00,0,SchrBi00
Josh Scobey,RB,24.276,2004-09-12,NFL,ARI,@,STL,L 10-17,1,1,Sun,5,138,27.60,0,ScobJo00
Mike Sellers,FB,29.053,2004-09-12,NFL,WAS,,TAM,W 16-10,1,1,Sun,1,15,15.00,0,SellMi00
Onterrio Smith,RB,23.279,2004-09-12,NFL,MIN,,DAL,W 35-17,1,1,Sun,3,54,18.00,0,SmitOn00
Wes Welker,WR-K,23.134,2004-09-12,NFL,SDG,@,HOU,W 27-20,1,1,Sun,4,102,25.50,0,WelkWe00
Najeh Davenport,RB,25.218,2004-09-13,NFL,GNB,@,CAR,W 24-14,1,1,Mon,2,43,21.50,0,DaveNa00
DeShaun Foster,RB,24.247,2004-09-13,NFL,CAR,,GNB,L 14-24,1,1,Mon,2,16,8.00,0,FostDe00
Rod Smart,RB,27.248,2004-09-13,NFL,CAR,,GNB,L 14-24,1,1,Mon,3,74,24.67,0,SmarRo00
Bernard Berrian,WR,23.267,2004-09-19,NFL,CHI,@,GNB,W 21-10,2,2,Sun,1,23,23.00,0,BerrBe00
Lamont Brightful,CB,25.234,2004-09-19,NFL,MIA,@,CIN,L 13-16,2,2,Sun,2,49,24.50,0,BrigLa20
Dee Brown,RB,26.130,2004-09-19,NFL,CLE,@,DAL,L 12-19,2,2,Sun,2,15,7.50,0,BrowDe02
Ahmad Carroll,CB,21.047,2004-09-19,NFL,GNB,,CHI,L 10-21,2,2,Sun,2,31,15.50,0,CarrAh20
Antonio Chatman,WR/K,25.220,2004-09-19,NFL,GNB,,CHI,L 10-21,2,2,Sun,1,18,18.00,0,ChatAn00
Rich Coady,S,28.237,2004-09-19,NFL,STL,@,ATL,L 17-34,2,2,Sun,1,-1,-1.00,0,CoadRi21
Ricardo Colclough,CB,20.359,2004-09-19,NFL,PIT,@,BAL,L 13-30,2,2,Sun,5,97,19.40,0,ColcRi20
Ronald Curry,WR,25.114,2004-09-19,NFL,OAK,,BUF,W 13-10,2,2,Sun,1,10,10.00,0,CurrRo01
Reuben Droughns,RB,26.029,2004-09-19,NFL,DEN,@,JAX,L 6-7,2,2,Sun,2,49,24.50,0,DrouRe00
Eddie Drummond,WR,24.160,2004-09-19,NFL,DET,,HOU,W 28-16,2,2,Sun,4,157,39.25,1,DrumEd00
Tim Dwight,WR,29.068,2004-09-19,NFL,SDG,,NYJ,L 28-34,2,2,Sun,7,209,29.86,1,DwigTi00
Robert Ferguson,WR,24.277,2004-09-19,NFL,GNB,,CHI,L 10-21,2,2,Sun,1,25,25.00,0,FergRo00
London Fletcher,MLB,29.123,2004-09-19,NFL,BUF,@,OAK,L 10-13,2,2,Sun,2,42,21.00,0,FletLo20
Carlos Francis,WR,23.260,2004-09-19,NFL,OAK,,BUF,W 13-10,2,2,Sun,1,7,7.00,0,FranCa20
Bryan Gilmore,WR,26.060,2004-09-19,NFL,MIA,@,CIN,L 13-16,2,2,Sun,2,-2,-1.00,0,GilmBr00
Dante Hall,WR,26.018,2004-09-19,NFL,KAN,,CAR,L 17-28,2,2,Sun,4,59,14.75,0,HallDa00
Lamont Hall,TE,29.308,2004-09-19,NFL,NOR,,SFO,W 30-27,2,2,Sun,2,14,7.00,0,HallLa00
Robert Holcombe,FB,28.283,2004-09-19,NFL,TEN,,IND,L 17-31,2,2,Sun,1,14,14.00,0,HolcRo00
T.J. Houshmandzadeh,WR,26.359,2004-09-19,NFL,CIN,,MIA,W 16-13,2,2,Sun,1,19,19.00,0,HousTJ00
Steven Jackson,RB,21.059,2004-09-19,NFL,STL,@,ATL,L 17-34,2,2,Sun,3,59,19.67,0,JackSt00
Bethel Johnson,WR,25.221,2004-09-19,NFL,NWE,@,ARI,W 23-12,2,2,Sun,1,23,23.00,0,JohnBe00
Daryl Jones,WR,25.230,2004-09-19,NFL,CHI,@,GNB,W 21-10,2,2,Sun,2,42,21.00,0,JoneDa02
LaMont Jordan,RB-K,25.313,2004-09-19,NFL,NYJ,@,SDG,W 34-28,2,2,Sun,4,71,17.75,0,JordLa00
ReShard Lee,RB,23.343,2004-09-19,NFL,DAL,,CLE,W 19-12,2,2,Sun,2,40,20.00,0,LeexRe00
Jermaine Lewis,WR,29.339,2004-09-19,NFL,JAX,,DEN,W 7-6,2,2,Sun,1,24,24.00,0,LewiJe00
Michael Lewis,WR,32.310,2004-09-19,NFL,NOR,,SFO,W 30-27,2,2,Sun,4,80,20.00,0,LewiMi00
Terrence McGee,CB,23.341,2004-09-19,NFL,BUF,@,OAK,L 10-13,2,2,Sun,2,48,24.00,0,McGeTe99
Maurice Morris,RB,24.293,2004-09-19,NFL,SEA,@,TAM,W 10-6,2,2,Sun,3,73,24.33,0,MorrMa00
Chad Morton,RB/K,27.168,2004-09-19,NFL,WAS,@,NYG,L 14-20,2,2,Sun,5,112,22.40,0,MortCh00
J.J. Moses,WR,25.007,2004-09-19,NFL,HOU,@,DET,L 16-28,2,2,Sun,4,54,13.50,0,MoseJ.00
Frank Murphy,WR,27.221,2004-09-19,NFL,TAM,,SEA,L 6-10,2,2,Sun,3,63,21.00,0,MurpFr00
Willie Ponder,WR,24.218,2004-09-19,NFL,NYG,,WAS,W 20-14,2,2,Sun,2,59,29.50,0,PondWi00
Jerry Porter,WR,26.067,2004-09-19,NFL,OAK,,BUF,W 13-10,2,2,Sun,1,6,6.00,0,PortJe00
Antwaan Randle El,WR,25.033,2004-09-19,NFL,PIT,@,BAL,L 13-30,2,2,Sun,2,42,21.00,0,RandAn00
Jacques Reeves,CB,21.347,2004-09-19,NFL,DAL,,CLE,W 19-12,2,2,Sun,1,22,22.00,0,ReevJa20
Dominic Rhodes,RB,25.246,2004-09-19,NFL,IND,@,TEN,W 31-17,2,2,Sun,3,65,21.67,0,RhodDo00
Jamal Robertson,RB,27.253,2004-09-19,NFL,SFO,@,NOR,L 27-30,2,2,Sun,7,183,26.14,0,RobeJa00
Allen Rossum,CB,28.333,2004-09-19,NFL,ATL,,STL,W 34-17,2,2,Sun,4,89,22.25,0,RossAl99
B.J. Sams,RB,23.326,2004-09-19,NFL,BAL,,PIT,W 30-13,2,2,Sun,3,46,15.33,0,SamsB.00
Josh Scobey,RB,24.283,2004-09-19,NFL,ARI,,NWE,L 12-23,2,2,Sun,5,108,21.60,0,ScobJo00
Aaron Shea,TE,27.289,2004-09-19,NFL,CLE,@,DAL,L 12-19,2,2,Sun,1,6,6.00,0,SheaAa00
Visanthe Shiancoe,TE,24.093,2004-09-19,NFL,NYG,,WAS,W 20-14,2,2,Sun,1,8,8.00,0,ShiaVi00
Rod Smart,RB,27.254,2004-09-19,NFL,CAR,@,KAN,W 28-17,2,2,Sun,2,61,30.50,0,SmarRo00
Michael Waddell,CB,23.254,2004-09-19,NFL,TEN,,IND,L 17-31,2,2,Sun,5,81,16.20,0,WaddMi20
Reno Mahe,RB,24.109,2004-09-20,NFL,PHI,,MIN,W 27-16,2,2,Mon,1,14,14.00,0,MaheRe00
Mewelde Moore,RB,22.058,2004-09-20,NFL,MIN,@,PHI,L 16-27,2,2,Mon,6,123,20.50,0,MoorMe00
J.R. Reed,S,22.222,2004-09-20,NFL,PHI,,MIN,W 27-16,2,2,Mon,4,126,31.50,0,ReedJ.20
Richard Alston,WR,23.311,2004-09-26,NFL,CLE,@,NYG,L 10-27,3,3,Sun,5,91,18.20,0,AlstRi20
Arnaz Battle,WR,24.217,2004-09-26,NFL,SFO,@,SEA,L 0-34,3,3,Sun,2,40,20.00,0,BattAr00
Drew Bennett,WR,26.031,2004-09-26,NFL,TEN,,JAX,L 12-15,3,3,Sun,1,-8,-8.00,0,BennDr00
Bernard Berrian,WR,23.274,2004-09-26,NFL,CHI,@,MIN,L 22-27,3,3,Sun,5,120,24.00,0,BerrBe00
Derrick Blaylock,RB,25.034,2004-09-26,NFL,KAN,,HOU,L 21-24,3,3,Sun,1,22,22.00,0,BlayDe00
Kelly Campbell,WR,24.065,2004-09-26,NFL,MIN,,CHI,W 27-22,3,3,Sun,3,66,22.00,0,CampKe00
Antonio Chatman,WR/K,25.227,2004-09-26,NFL,GNB,@,IND,L 31-45,3,3,Sun,3,89,29.67,0,ChatAn00
Torrie Cox,CB,23.333,2004-09-26,NFL,TAM,@,OAK,L 20-30,3,3,Sun,5,128,25.60,0,CoxxTo21
Reuben Droughns,FB,26.036,2004-09-26,NFL,DEN,,SDG,W 23-13,3,3,Sun,4,137,34.25,0,DrouRe00
Eddie Drummond,WR,24.167,2004-09-26,NFL,DET,,PHI,L 13-30,3,3,Sun,7,192,27.43,0,DrumEd00
Tim Dwight,WR,29.075,2004-09-26,NFL,SDG,@,DEN,L 13-23,3,3,Sun,6,156,26.00,0,DwigTi00
Robert Ferguson,WR,24.284,2004-09-26,NFL,GNB,@,IND,L 31-45,3,3,Sun,1,71,71.00,0,FergRo00
Troy Fleming,FB,23.361,2004-09-26,NFL,TEN,,JAX,L 12-15,3,3,Sun,1,12,12.00,0,FlemTr00
Mike Furrey,WR,27.137,2004-09-26,NFL,STL,,NOR,L 25-28,3,3,Sun,4,82,20.50,0,FurrMi00
Doug Gabriel,WR,24.030,2004-09-26,NFL,OAK,,TAM,W 30-20,3,3,Sun,4,145,36.25,0,GabrDo00
Dante Hall,WR,26.025,2004-09-26,NFL,KAN,,HOU,L 21-24,3,3,Sun,4,133,33.25,0,HallDa00
Arlen Harris,RB,24.157,2004-09-26,NFL,STL,,NOR,L 25-28,3,3,Sun,4,96,24.00,0,HarrAr00
William Henderson,FB,33.220,2004-09-26,NFL,GNB,@,IND,L 31-45,3,3,Sun,2,16,8.00,0,HendWi00
T.J. Houshmandzadeh,WR,27.000,2004-09-26,NFL,CIN,,BAL,L 9-23,3,3,Sun,2,39,19.50,0,HousTJ00
Keenan Howry,WR,23.101,2004-09-26,NFL,MIN,,CHI,W 27-22,3,3,Sun,2,45,22.50,0,HowrKe00
Terry Jackson,FB,28.260,2004-09-26,NFL,SFO,@,SEA,L 0-34,3,3,Sun,1,8,8.00,0,JackTe00
Andre King,WR,30.305,2004-09-26,NFL,CLE,@,NYG,L 10-27,3,3,Sun,1,14,14.00,0,KingAn00
Erron Kinney,TE,27.060,2004-09-26,NFL,TEN,,JAX,L 12-15,3,3,Sun,1,21,21.00,0,KinnEr00
Jermaine Lewis,WR,29.346,2004-09-26,NFL,JAX,@,TEN,W 15-12,3,3,Sun,1,26,26.00,0,LewiJe00
Michael Lewis,WR,32.317,2004-09-26,NFL,NOR,@,STL,W 28-25,3,3,Sun,3,65,21.67,0,LewiMi00
Reno Mahe,RB,24.115,2004-09-26,NFL,PHI,@,DET,W 30-13,3,3,Sun,1,22,22.00,0,MaheRe00
Jason McKie,FB,24.127,2004-09-26,NFL,CHI,@,MIN,L 22-27,3,3,Sun,1,19,19.00,0,McKiJa00
Maurice Morris,RB,24.300,2004-09-26,NFL,SEA,,SFO,W 34-0,3,3,Sun,1,17,17.00,0,MorrMa00
J.J. Moses,WR,25.014,2004-09-26,NFL,HOU,@,KAN,W 24-21,3,3,Sun,4,102,25.50,0,MoseJ.00
James Mungro,RB,26.226,2004-09-26,NFL,IND,,GNB,W 45-31,3,3,Sun,2,31,15.50,0,MungJa00
Willie Ponder,WR,24.225,2004-09-26,NFL,NYG,,CLE,W 27-10,3,3,Sun,2,56,28.00,0,PondWi00
Brad Pyatt,WR,24.163,2004-09-26,NFL,IND,,GNB,W 45-31,3,3,Sun,4,110,27.50,0,PyatBr00
Antwaan Randle El,WR,25.040,2004-09-26,NFL,PIT,@,MIA,W 13-3,3,3,Sun,2,74,37.00,0,RandAn00
J.R. Reed,S,22.228,2004-09-26,NFL,PHI,@,DET,W 30-13,3,3,Sun,2,42,21.00,0,ReedJ.20
Jamal Robertson,RB,27.260,2004-09-26,NFL,SFO,@,SEA,L 0-34,3,3,Sun,4,91,22.75,0,RobeJa00
Allen Rossum,CB,28.340,2004-09-26,NFL,ATL,,ARI,W 6-3,3,3,Sun,2,62,31.00,0,RossAl99
B.J. Sams,RB,23.333,2004-09-26,NFL,BAL,@,CIN,W 23-9,3,3,Sun,3,55,18.33,0,SamsB.00
Bill Schroeder,WR,33.261,2004-09-26,NFL,TAM,@,OAK,L 20-30,3,3,Sun,1,16,16.00,0,SchrBi00
Josh Scobey,RB,24.290,2004-09-26,NFL,ARI,@,ATL,L 3-6,3,3,Sun,3,56,18.67,0,ScobJo00
Will Smith,DE,23.084,2004-09-26,NFL,NOR,@,STL,W 28-25,3,3,Sun,1,17,17.00,0,SmitWi99
Gary Stills,DE,30.077,2004-09-26,NFL,KAN,,HOU,L 21-24,3,3,Sun,1,0,0.00,0,StilGa00
LaBrandon Toefield,RB,24.002,2004-09-26,NFL,JAX,@,TEN,W 15-12,3,3,Sun,2,24,12.00,0,ToefLa00
Kenny Watson,HB,26.197,2004-09-26,NFL,CIN,,BAL,L 9-23,3,3,Sun,1,6,6.00,0,WatsKe00
Wes Welker,WR,23.148,2004-09-26,NFL,MIA,,PIT,L 3-13,3,3,Sun,3,66,22.00,0,WelkWe00
James Whitley,S,25.136,2004-09-26,NFL,GNB,@,IND,L 31-45,3,3,Sun,2,33,16.50,0,WhitJa21
ReShard Lee,RB,23.351,2004-09-27,NFL,DAL,@,WAS,W 21-18,3,3,Mon,2,24,12.00,0,LeexRe00
Chad Morton,RB/K,27.176,2004-09-27,NFL,WAS,,DAL,L 18-21,3,3,Mon,3,70,23.33,0,MortCh00
Jacques Reeves,CB,21.355,2004-09-27,NFL,DAL,@,WAS,W 21-18,3,3,Mon,2,41,20.50,0,ReevJa20
Obafemi Ayanbadejo,FB,29.212,2004-10-03,NFL,ARI,,NOR,W 34-10,4,4,Sun,1,15,15.00,0,AyanOb00
Eugene Baker,WR,28.199,2004-10-03,NFL,CAR,,ATL,L 10-27,3,4,Sun,1,23,23.00,0,BakeEu00
Arnaz Battle,WR,24.224,2004-10-03,NFL,SFO,,STL,L 14-24,4,4,Sun,1,18,18.00,0,BattAr00
Bernard Berrian,WR,23.281,2004-10-03,NFL,CHI,,PHI,L 9-19,4,4,Sun,4,107,26.75,0,BerrBe00
Ladell Betts,RB,25.037,2004-10-03,NFL,WAS,@,CLE,L 13-17,4,4,Sun,1,24,24.00,0,BettLa00
Dee Brown,RB,26.144,2004-10-03,NFL,CLE,,WAS,W 17-13,4,4,Sun,2,55,27.50,0,BrowDe02
Antonio Chatman,WR/K,25.234,2004-10-03,NFL,GNB,,NYG,L 7-14,4,4,Sun,2,41,20.50,0,ChatAn00
Jesse Chatman,RB,25.011,2004-10-03,NFL,SDG,,TEN,W 38-17,4,4,Sun,1,19,19.00,0,ChatJe00
Mike Cloud,RB,29.094,2004-10-03,NFL,NYG,@,GNB,W 14-7,4,4,Sun,1,23,23.00,0,ClouMi00
Keary Colbert,WR,22.135,2004-10-03,NFL,CAR,,ATL,L 10-27,3,4,Sun,1,19,19.00,0,ColbKe00
Ricardo Colclough,CB,21.007,2004-10-03,NFL,PIT,,CIN,W 28-17,4,4,Sun,2,54,27.00,0,ColcRi20
Reuben Droughns,FB,26.043,2004-10-03,NFL,DEN,@,TAM,W 16-13,4,4,Sun,2,45,22.50,0,DrouRe00
Tim Dwight,WR,29.082,2004-10-03,NFL,SDG,,TEN,W 38-17,4,4,Sun,2,42,21.00,0,DwigTi00
Troy Edwards,WR,27.179,2004-10-03,NFL,JAX,,IND,L 17-24,4,4,Sun,1,12,12.00,0,EdwaTr00
Marshall Faulk*,RB,31.220,2004-10-03,NFL,STL,@,SFO,W 24-14,4,4,Sun,1,0,0.00,0,FaulMa00
Jim Finn,FB,27.299,2004-10-03,NFL,NYG,@,GNB,W 14-7,4,4,Sun,1,16,16.00,0,FinnJi00
Troy Fleming,FB,24.002,2004-10-03,NFL,TEN,@,SDG,L 17-38,4,4,Sun,6,101,16.83,0,FlemTr00
Mike Furrey,WR,27.144,2004-10-03,NFL,STL,@,SFO,W 24-14,4,4,Sun,2,44,22.00,0,FurrMi00
Doug Gabriel,WR,24.037,2004-10-03,NFL,OAK,@,HOU,L 17-30,4,4,Sun,7,199,28.43,0,GabrDo00
T.J. Houshmandzadeh,WR,27.007,2004-10-03,NFL,CIN,@,PIT,L 17-28,4,4,Sun,1,25,25.00,0,HousTJ00
Bethel Johnson,WR,25.235,2004-10-03,NFL,NWE,@,BUF,W 31-17,3,4,Sun,4,96,24.00,0,JohnBe00
LaMont Jordan,RB-K,25.327,2004-10-03,NFL,NYJ,@,MIA,W 17-9,3,4,Sun,2,52,26.00,0,JordLa00
Jermaine Lewis,WR,29.353,2004-10-03,NFL,JAX,,IND,L 17-24,4,4,Sun,1,10,10.00,0,LewiJe00
Michael Lewis,WR,32.324,2004-10-03,NFL,NOR,@,ARI,L 10-34,4,4,Sun,5,96,19.20,0,LewiMi00
Terrence McGee,CB,23.355,2004-10-03,NFL,BUF,,NWE,L 17-31,3,4,Sun,4,176,44.00,1,McGeTe99
J.J. Moses,WR,25.021,2004-10-03,NFL,HOU,,OAK,W 30-17,4,4,Sun,3,62,20.67,0,MoseJ.00
Frank Murphy,WR,27.235,2004-10-03,NFL,TAM,,DEN,L 13-16,4,4,Sun,1,20,20.00,0,MurpFr00
Moran Norris,FB,26.109,2004-10-03,NFL,HOU,,OAK,W 30-17,4,4,Sun,1,15,15.00,0,NorrMo00
Brad Pyatt,WR,24.170,2004-10-03,NFL,IND,@,JAX,W 24-17,4,4,Sun,3,69,23.00,0,PyatBr00
Antwaan Randle El,WR,25.047,2004-10-03,NFL,PIT,,CIN,W 28-17,4,4,Sun,2,65,32.50,0,RandAn00
J.R. Reed,S,22.235,2004-10-03,NFL,PHI,@,CHI,W 19-9,4,4,Sun,2,37,18.50,0,ReedJ.20
Jamal Robertson,RB,27.267,2004-10-03,NFL,SFO,,STL,L 14-24,4,4,Sun,4,78,19.50,0,RobeJa00
Allen Rossum,CB,28.347,2004-10-03,NFL,ATL,@,CAR,W 27-10,4,4,Sun,3,43,14.33,0,RossAl99
Cliff Russell,WR,25.238,2004-10-03,NFL,CIN,@,PIT,L 17-28,4,4,Sun,2,42,21.00,0,RussCl00
Lewis Sanders,DB,26.103,2004-10-03,NFL,CLE,,WAS,W 17-13,4,4,Sun,1,10,10.00,0,SandLe20
Josh Scobey,RB,24.297,2004-10-03,NFL,ARI,,NOR,W 34-10,4,4,Sun,2,52,26.00,0,ScobJo00
Mike Sellers,FB,29.074,2004-10-03,NFL,WAS,@,CLE,L 13-17,4,4,Sun,1,12,12.00,0,SellMi00
Daimon Shelton,FB,32.018,2004-10-03,NFL,BUF,,NWE,L 17-31,3,4,Sun,1,15,15.00,0,ShelDa00
Rod Smart,RB,27.268,2004-10-03,NFL,CAR,,ATL,L 10-27,3,4,Sun,3,34,11.33,0,SmarRo00
James Thrash,WR,29.158,2004-10-03,NFL,WAS,@,CLE,L 13-17,4,4,Sun,2,31,15.50,0,ThraJa00
Kenny Watson,HB,26.204,2004-10-03,NFL,CIN,@,PIT,L 17-28,4,4,Sun,1,20,20.00,0,WatsKe00
Wes Welker,WR,23.155,2004-10-03,NFL,MIA,,NYJ,L 9-17,4,4,Sun,4,90,22.50,0,WelkWe00
Jamel White,RB,27.235,2004-10-03,NFL,TAM,,DEN,L 13-16,4,4,Sun,4,99,24.75,0,WhitJa00
Dante Hall,WR,26.033,2004-10-04,NFL,KAN,@,BAL,W 27-24,4,4,Mon,2,44,22.00,0,HallDa00
B.J. Sams,RB,23.341,2004-10-04,NFL,BAL,,KAN,L 24-27,4,4,Mon,6,183,30.50,0,SamsB.00
Obafemi Ayanbadejo,FB,29.219,2004-10-10,NFL,ARI,@,SFO,L 28-31,5,5,Sun,1,21,21.00,0,AyanOb00
Eugene Baker,WR,28.206,2004-10-10,NFL,CAR,@,DEN,L 17-20,4,5,Sun,1,16,16.00,0,BakeEu00
Dee Brown,RB,26.151,2004-10-10,NFL,CLE,@,PIT,L 23-34,5,5,Sun,5,76,15.20,0,BrowDe02
Nate Burleson,WR,23.052,2004-10-10,NFL,MIN,@,HOU,W 34-28,4,5,Sun,2,51,25.50,0,BurlNa00
Kelly Campbell,WR,24.079,2004-10-10,NFL,MIN,@,HOU,W 34-28,4,5,Sun,2,41,20.50,0,CampKe00
Kerry Carter,RB,23.296,2004-10-10,NFL,SEA,,STL,L 27-33,4,5,Sun,1,18,18.00,0,CartKe01
Mike Cloud,RB,29.101,2004-10-10,NFL,NYG,@,DAL,W 26-10,5,5,Sun,3,68,22.67,0,ClouMi00
Ricardo Colclough,CB,21.014,2004-10-10,NFL,PIT,,CLE,W 34-23,5,5,Sun,4,99,24.75,0,ColcRi20
Torrie Cox,CB,23.347,2004-10-10,NFL,TAM,@,NOR,W 20-17,5,5,Sun,4,108,27.00,0,CoxxTo21
Larry Croom,RB,22.347,2004-10-10,NFL,ARI,@,SFO,L 28-31,5,5,Sun,3,60,20.00,0,CrooLa00
Ronald Curry,WR,25.135,2004-10-10,NFL,OAK,@,IND,L 14-35,5,5,Sun,1,25,25.00,0,CurrRo01
Reuben Droughns,RB,26.050,2004-10-10,NFL,DEN,,CAR,W 20-17,5,5,Sun,2,21,10.50,0,DrouRe00
Eddie Drummond,WR,24.181,2004-10-10,NFL,DET,@,ATL,W 17-10,4,5,Sun,2,34,17.00,0,DrumEd00
Tim Dwight,WR,29.089,2004-10-10,NFL,SDG,,JAX,W 34-21,5,5,Sun,4,93,23.25,0,DwigTi00
Eric Edwards,TE,24.067,2004-10-10,NFL,ARI,@,SFO,L 28-31,5,5,Sun,1,13,13.00,0,EdwaEr00
Carlos Francis,WR,23.281,2004-10-10,NFL,OAK,@,IND,L 14-35,5,5,Sun,1,17,17.00,0,FranCa20
Doug Gabriel,WR,24.044,2004-10-10,NFL,OAK,@,IND,L 14-35,5,5,Sun,4,78,19.50,0,GabrDo00
Lamont Hall,TE,29.329,2004-10-10,NFL,NOR,,TAM,L 17-20,5,5,Sun,1,6,6.00,0,HallLa00
Arlen Harris,RB,24.171,2004-10-10,NFL,STL,@,SEA,W 33-27,5,5,Sun,7,122,17.43,0,HarrAr00
Gerald Hayes,MLB,24.000,2004-10-10,NFL,ARI,@,SFO,L 28-31,5,5,Sun,1,6,6.00,0,HayeGe20
Terry Jackson,FB,28.274,2004-10-10,NFL,SFO,,ARI,W 31-28,5,5,Sun,1,14,14.00,0,JackTe00
Nate Jones,CB,22.117,2004-10-10,NFL,DAL,,NYG,L 10-26,4,5,Sun,2,43,21.50,0,JoneNa20
