Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Tiki Barber,RB,27.151,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,15,29,1.93,1,BarbTi00
Kevan Barlow,RB,23.241,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,8,33,4.13,0,BarlKe00
Fred Beasley,FB,27.352,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1,9,9.00,0,BeasFr00
Kerry Collins,QB,29.249,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,1,4,4.00,0,CollKe00
Ron Dayne,RB,24.175,2002-09-05,NFL,NYG,,SFO,L 13-16,1,1,Thu,6,10,1.67,0,DaynRo00
Jeff Garcia,QB,32.193,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,3,21,7.00,0,GarcJe00
Garrison Hearst,RB,31.244,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,12,40,3.33,0,HearGa00
Terrell Owens*,WR,28.272,2002-09-05,NFL,SFO,@,NYG,W 16-13,1,1,Thu,1,10,10.00,0,OwenTe00
Shaun Alexander,RB,25.009,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,13,36,2.77,0,AlexSh00
James Allen,RB,27.164,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,19,56,2.95,0,AlleJa00
Mike Alstott,FB,28.261,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,6,11,1.83,0,AlstMi00
Mike Anderson,FB,28.352,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,7,17,2.43,0,AndeMi00
Jarrod Baxter,FB,23.183,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,2,1,0.50,0,BaxtJa00
Brandon Bennett,HB,29.217,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,2,12,6.00,0,BennBr00
Michael Bennett,RB,24.026,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,16,53,3.31,0,BennMi00
Drew Brees,QB,23.236,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,5,13,2.60,0,BreeDr00
Aaron Brooks,QB,26.168,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,3,9,3.00,0,BrooAa00
Mark Brunell,QB,31.356,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,4,19,4.75,0,BrunMa00
Trung Canidate,RB,25.189,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,1,5,5.00,0,CaniTr00
David Carr,QB,23.049,2002-09-08,NFL,HOU,,DAL,W 19-10,1,1,Sun,4,7,1.75,0,CarrDa00
Quincy Carter,QB,24.330,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,1,5,5.00,0,CartQu00
Aveion Cason,FB,23.058,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,4,4,1.00,0,CasoAv00
Doug Chapman,RB,25.017,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,5,33,6.60,0,ChapDo00
Curtis Conway,WR,31.238,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,1,22,22.00,0,ConwCu00
Daunte Culpepper,QB,25.223,2002-09-08,NFL,MIN,@,CHI,L 23-27,1,1,Sun,5,6,1.20,1,CulpDa00
Najeh Davenport,FB,23.212,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,2,8,4.00,0,DaveNa00
Stephen Davis,RB,28.191,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,26,104,4.00,1,DaviSt00
Corey Dillon,HB,27.319,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,9,10,1.11,0,DillCo00
T.J. Duckett,RB,21.203,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,6,39,6.50,0,DuckT.00
Warrick Dunn,RB,27.246,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,15,69,4.60,2,DunnWa00
Tim Dwight,WR,27.057,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,1,20,20.00,0,DwigTi00
Kevin Dyson,WR,27.077,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,1,-9,-9.00,0,DysoKe00
Robert Edwards,RB,27.341,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,4,20,5.00,1,EdwaRo00
Marshall Faulk*,RB,29.194,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,10,19,1.90,1,FaulMa00
