Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Yeremiah Bell,S,28.188,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,,,,1,BellYe20
Ryan Clark,FS,26.330,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,,,,1,ClarRy20
Michael Lehan,CB,26.286,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,,,,1,LehaMi20
Bryant McFadden,CB,24.290,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,,,,2,McFaBr20
Troy Polamalu,SS,25.141,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,0,0,1,PolaTr99
Joey Porter,LOLB,29.169,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,42,1,1,PortJo00
Ike Taylor,LCB,26.125,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,0,0,0,1,TaylIk20
Zach Thomas,MLB,33.006,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,,,,1,ThomZa01
Deshea Townsend,RCB,30.364,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,,,,1,TownDe20
John Abraham,RDE,28.127,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,0,0,0,1,AbraJo00
Anthony Adams,NT,26.084,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,,,,1,AdamAn20
Dave Ball,DE,25.249,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,,,,1,BallDa20
Ronde Barber,RCB,31.156,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,,,,1,BarbRo00
Nick Barnett,MIKE,25.106,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,1,0,0,1,BarnNi20
Gary Baxter,RCB,27.290,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,,,,1,BaxtGa20
Antoine Bethea,SS,22.045,2006-09-10,NFL,IND,@,NYG,W 26-21,1,1,Sun,,,,1,BethAn20
Leigh Bodden,LCB,24.351,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,,,,3,BoddLe20
Michael Boulware,SS,24.358,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,,,,1,BoulMi20
Alex Brown,RDE,27.098,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,0,0,0,1,BrowAl20
Fakhir Brown,RCB,28.354,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,1,20,0,1,BrowFa20
Ralph Brown,CB,27.359,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,,,,1,BrowRa20
Fernando Bryant,LCB,29.168,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,,,,2,BryaFe20
Josh Bullocks,FS,23.194,2006-09-10,NFL,NOR,@,CLE,W 19-14,1,1,Sun,1,14,0,1,BullJo20
Kevin Burnett,LB,23.260,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,,,,1,BurnKe20
James Butler,S,24.003,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,,,,1,ButlJa20
Corey Chavous,SS,30.238,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,1,17,0,1,ChavCo00
Trent Cole,LB,23.340,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,0,0,0,1,ColeTr20
Kenyon Coleman,DE,27.153,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,,,,1,ColeKe20
Rosevelt Colvin,OLB,29.005,2006-09-10,NFL,NWE,,BUF,W 19-17,1,1,Sun,0,0,0,1,ColvRo20
Sean Considine,S,23.267,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,,,,1,ConsSe20
Jorge Cordova,LB/DE,24.350,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,,,,1,CordJo20
Chris Crocker,FS,26.185,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,,,,2,CrocCh20
Chauncey Davis,DE,23.226,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,,,,1,DaviCh22
Sammy Davis,CB,26.155,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,,,,2,DaviSa21
Andre Dyson,LCB,27.108,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,2,0,0,2,DysoAn20
Shaun Ellis,LDE,29.078,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,,,,2,ElliSh00
Jason Ferguson,NT,31.286,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,,,,1,FergJa21
Cortland Finnegan,CB,22.220,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,0,0,0,1,FinnCo20
Domonique Foxworth,CB,23.167,2006-09-10,NFL,DEN,@,STL,L 10-18,1,1,Sun,,,,1,FoxwDo20
Aaron Francisco,S,23.067,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,,,1,FranAa20
Scott Fujita,SLB,27.135,2006-09-10,NFL,NOR,@,CLE,W 19-14,1,1,Sun,1,19,0,1,FujiSc20
Ian Gold,WLB,28.018,2006-09-10,NFL,DEN,@,STL,L 10-18,1,1,Sun,,,,1,GoldIa00
Deon Grant,FS,27.180,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,,,,2,GranDe21
Eric Green,CB,24.178,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,,,1,GreeEr20
Kelly Gregg,NT,29.313,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,,,,1,GregKe20
Nick Greisen,OLB,27.031,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,1,6,0,1,GreiNi20
Bobby Hamilton,DE,35.071,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,,,,1,HamiBo20
Nick Harper,LCB,32.000,2006-09-10,NFL,IND,@,NYG,W 26-21,1,1,Sun,1,4,0,2,HarpNi20
Walt Harris,RCB,32.031,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,0,0,0,2,HarrWa21
Albert Haynesworth,RDT,25.085,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,,,,1,HaynAl20
Anthony Henry,RCB,29.311,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,,,,2,HenrAn20
Tye Hill,CB,24.099,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,1,14,0,1,HillTy20
Orlando Huff,WLB,28.027,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,,,1,HuffOr20
Cullen Jenkins,DT/DE,25.233,2006-09-10,NFL,GNB,,CHI,L 0-26,1,1,Sun,,,,1,JenkCu20
Jarret Johnson,DE,25.027,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,,,,1,JohnJa23
Landon Johnson,ROLB,25.181,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,,,,1,JohnLa20
Adam Jones,RCB,22.345,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,0,0,0,1,JonePa20
Sean Jones,SS,24.192,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,1,10,0,1,JoneSe20
Jevon Kearse,LDE,30.007,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,0,0,0,1,KearJe00
Michael Lewis,SS,26.134,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,0,0,0,1,LewiMi99
Ray Lewis*,MLB,31.118,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,0,0,0,3,LewiRa00
David Macklin,RCB,28.058,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,,,1,MackDa20
Danieal Manning,S,24.032,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,1,15,0,2,MannDa21
Kevin Mathis,S,32.134,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,,,,3,MathKe20
Rashean Mathis,LCB,26.014,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,1,16,0,2,MathRa99
Chris McAlister,LCB,29.088,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,1,60,1,2,McAlCh00
Terrence McGee,LCB,25.331,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,0,0,0,1,McGeTe99
R.W. McQuarters,CB,29.263,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,1,16,0,1,McQuR.20
Justin Miller,RCB,22.208,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,0,0,0,2,MillJu99
Kawika Mitchell,MLB,26.335,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,,,,1,MitcKa20
Dan Morgan,MLB,27.265,2006-09-10,NFL,CAR,,ATL,L 6-20,1,1,Sun,,,,1,MorgDa99
Terence Newman,LCB,28.006,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,,,,2,NewmTe20
Haloti Ngata,DT,22.232,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,1,60,0,1,NgatHa20
Deltha O'Neal,CB,29.223,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,,,,1,ONeaDe00
Mike Patterson,LDT,23.009,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,,,,1,PattMi20
Julius Peppers,LDE,26.235,2006-09-10,NFL,CAR,,ATL,L 6-20,1,1,Sun,,,,1,PeppJu99
Mike Peterson,MLB,30.085,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,1,15,0,1,PeteMi20
Jermaine Phillips,SS,27.167,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,,,,1,PhilJe20
Antonio Pierce,MLB,27.319,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,,,,1,PierAn20
Trevor Pryce,LDE,31.038,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,,,,1,PrycTr00
Montae Reagor,LDT,29.073,2006-09-10,NFL,IND,@,NYG,W 26-21,1,1,Sun,,,,1,ReagMo20
Ed Reed*,FS,27.364,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,1,3,0,1,ReedEd00
Kerry Rhodes,S,24.039,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,1,25,0,1,RhodKe20
Bryan Robinson,LDE,32.080,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,0,0,0,1,RobiBr20
Antrel Rolle,LCB,23.268,2006-09-10,NFL,ARI,,SFO,W 34-27,1,1,Sun,,,,2,RollAn20
Orpheus Roye,LDE,33.232,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,,,,1,RoyeOr20
Lewis Sanders,RCB,28.080,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,,,,2,SandLe20
Aaron Schobel,RDE,29.009,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,0,0,0,2,SchoAa99
Bart Scott,RLB,26.023,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,0,0,0,2,ScotBa20
Jason Simmons,FS,30.164,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,1,11,0,1,SimmJa20
Isaac Sopoaga,DT,25.006,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,,,,1,SopoIs20
Shawntae Spencer,LCB,24.200,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,,,,1,SpenSh20
Greg Spires,DE,32.029,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,,,,1,SpirGr20
Terrell Suggs,RDE,23.334,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,,,,1,SuggTe99
Patrick Surtain,RCB,30.083,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,,,,2,SurtPa00
Lofa Tatupu,MLB,23.299,2006-09-10,NFL,SEA,@,DET,W 9-6,1,1,Sun,,,,1,TatuLo99
David Thornton,LLB,27.313,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,,,,1,ThorDa20
John Thornton,RDT,29.343,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,0,0,0,1,ThorJo21
Charles Tillman,LCB,25.199,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,1,13,0,2,TillCh20
Larry Tripplett,LDT,27.235,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,,,,1,TripLa20
Jeremiah Trotter,MLB,29.233,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,,,,1,TrotJe00
Osi Umenyiora,RDE,24.298,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,,,,1,UmenOs99
Corey Webster,LCB,24.192,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,,,,1,WebsCo20
Jason Webster,RCB,29.002,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,1,-5,0,1,WebsJa20
Donte Whitner,S,21.048,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,1,10,0,1,WhitDo20
Brian Williams,RCB,27.070,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,,,,1,WillBr22
Madieu Williams,FS,24.327,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,1,-1,0,1,WillMa20
Roy Williams,SS,26.027,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,1,0,0,2,WillRo03
Will Witherspoon,MLB,26.022,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,,,,1,WithWi20
Tyler Brayton,DE,26.295,2006-09-11,NFL,OAK,,SDG,L 0-27,1,1,Mon,,,,1,BrayTy20
Donnie Edwards,ILB,33.158,2006-09-11,NFL,SDG,@,OAK,W 27-0,1,1,Mon,0,0,0,1,EdwaDo20
Ray Edwards,DE,21.253,2006-09-11,NFL,MIN,@,WAS,W 19-16,1,1,Mon,,,,1,EdwaRa21
Demetric Evans,DL,27.008,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,0,0,0,1,EvanDe20
Drayton Florence,RCB,25.266,2006-09-11,NFL,SDG,@,OAK,W 27-0,1,1,Mon,,,,1,FlorDr20
Marlon McCree,FS,29.178,2006-09-11,NFL,SDG,@,OAK,W 27-0,1,1,Mon,,,,2,McCrMa20
Shaun Phillips,OLB,25.121,2006-09-11,NFL,SDG,@,OAK,W 27-0,1,1,Mon,0,0,0,2,PhilSh20
Carlos Rogers,RCB,25.071,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,,,,2,RogeCa20
Mike Rumph,CB,26.307,2006-09-11,NFL,WAS,,MIN,L 16-19,1,1,Mon,,,,1,RumpMi20
Darren Sharper,SS,30.312,2006-09-11,NFL,MIN,@,WAS,W 19-16,1,1,Mon,,,,1,SharDa00
Fabian Washington,CB,23.094,2006-09-11,NFL,OAK,,SDG,L 0-27,1,1,Mon,,,,1,WashFa20
Matt Wilhelm,LB,25.221,2006-09-11,NFL,SDG,@,OAK,W 27-0,1,1,Mon,,,,1,WilhMa20
Mike Adams,FS,25.177,2006-09-17,NFL,SFO,,STL,W 20-13,2,2,Sun,,,,1,AdamMi21
Jared Allen,RDE,24.167,2006-09-17,NFL,KAN,@,DEN,L 6-9,2,2,Sun,,,,2,AlleJa22
LaVar Arrington,SLB,28.089,2006-09-17,NFL,NYG,@,PHI,W 30-24,2,2,Sun,,,,1,ArriLa00
O.J. Atogwe,FS,25.086,2006-09-17,NFL,STL,@,SFO,L 13-20,2,2,Sun,,,,1,AtogO.20
Boss Bailey,LB,26.338,2006-09-17,NFL,DET,@,CHI,L 7-34,2,2,Sun,,,,1,BailBo20
Ronde Barber,RCB,31.163,2006-09-17,NFL,TAM,@,ATL,L 3-14,2,2,Sun,,,,1,BarbRo00
David Barrett,CB,28.269,2006-09-17,NFL,NYJ,,NWE,L 17-24,2,2,Sun,1,0,0,1,BarrDa22
Gary Baxter,RCB,27.297,2006-09-17,NFL,CLE,@,CIN,L 17-34,2,2,Sun,,,,1,BaxtGa20
Jason Bell,CB,28.169,2006-09-17,NFL,NYG,@,PHI,W 30-24,2,2,Sun,,,,1,BellJa21
Yeremiah Bell,S,28.198,2006-09-17,NFL,MIA,,BUF,L 6-16,2,2,Sun,0,0,0,1,BellYe20
Dre' Bly,RCB,29.118,2006-09-17,NFL,DET,@,CHI,L 7-34,2,2,Sun,,,,2,BlyxDr00
Leigh Bodden,LCB,24.358,2006-09-17,NFL,CLE,@,CIN,L 17-34,2,2,Sun,1,35,0,3,BoddLe20
Michael Boley,BLB,24.024,2006-09-17,NFL,ATL,,TAM,W 14-3,2,2,Sun,,,,1,BoleMi20
Michael Boulware,SS,25.000,2006-09-17,NFL,SEA,,ARI,W 21-10,2,2,Sun,1,1,0,2,BoulMi20
Derrick Brooks*,OLB,33.152,2006-09-17,NFL,TAM,@,ATL,L 3-14,2,2,Sun,1,21,0,1,BrooDe00
Fakhir Brown,RCB,28.361,2006-09-17,NFL,STL,@,SFO,L 13-20,2,2,Sun,,,,1,BrowFa20
Tedy Bruschi,LB,33.100,2006-09-17,NFL,NWE,@,NYJ,W 24-17,2,2,Sun,1,8,0,2,BrusTe99
Brandon Chillar,SLB,23.331,2006-09-17,NFL,STL,@,SFO,L 13-20,2,2,Sun,,,,1,ChilBr20
Patrick Chukwurah,LB,27.200,2006-09-17,NFL,DEN,,KAN,W 9-6,2,2,Sun,0,0,0,1,ChukPa20
