Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Chris Jones,CB,24.036,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,3,0,3,0,0,JoneCh06
Christian Jones,LB,28.202,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,1.0,5,0,5,1,1,JoneCh05
D.J. Jones,DT,24.232,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,1,0,1,0,0,JoneD.01
DaQuan Jones,DL,27.265,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,0.0,1,2,3,0,0,JoneDa04
Deion Jones,LB,24.308,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,4,0,4,0,0,JoneDe01
Jonathan Jones,DB,25.353,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0.0,2,1,3,0,0,JoneJo03
Justin Jones,DT,24.022,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,2,1,3,1,0,JoneJu03
Reshad Jones,S,31.195,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,4,1,5,0,0,JoneRe99
Sidney Jones,CB,23.110,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0.0,2,1,3,0,0,JoneSi00
Linval Joseph,DT,30.333,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,1.0,3,1,4,2,1,JoseLi99
Matt Judon,OLB,27.024,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1.0,3,0,3,2,2,JudoMa00
Damontae Kazee,S,26.095,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,1,0,1,0,0,KazeDa00
Jayron Kearse,S,25.209,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0.0,6,2,8,0,0,KearJa00
Kameron Kelly,DB,23.020,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,0.0,5,2,7,0,0,KellKa02
Eric Kendricks,LB,27.191,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0.0,6,0,6,0,1,KendEr00
Mychal Kendricks,LB,28.345,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0.0,5,2,7,1,0,KendMy00
Devon Kennard,LB,28.076,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,3.0,4,0,4,3,3,KennDe00
Ryan Kerrigan,LB,31.023,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,0,1,1,0,2,KerrRy00
Desmond King,DB,24.268,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,2,1,3,1,0,KingDe01
Dre Kirkpatrick,CB,29.317,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,1.0,5,0,5,1,1,KirkDr00
Christian Kirksey,LB,27.008,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0.0,5,1,6,2,0,KirkCh00
Luke Kuechly,LB,28.141,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,4,4,8,0,0,KuecLu00
Harold Landry,OLB,23.095,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,0.0,3,0,3,0,0,LandHa00
DeMarcus Lawrence,DE,27.133,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0.5,1,1,2,0,2,LawrDe00
Dexter Lawrence,DL,21.300,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,0,1,1,0,0,LawrDe03
Carl Lawson,DE,24.071,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,0.0,0,1,1,0,1,LawsCa00
Shaq Lawson,DE,25.083,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,1.0,1,3,4,1,1,LawsSh00
Jonathan Ledbetter,DE,21.361,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.5,1,3,4,0,1,LedbJo01
Darron Lee,LB,24.325,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0.0,0,1,1,0,0,LeexDa00
Sean Lee,LB,33.048,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0.0,1,0,1,0,0,LeexSe99
Darius Leonard,LB,24.043,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0.0,3,4,7,0,0,LeonDa00
Jourdan Lewis,DB,24.008,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0.0,2,0,2,0,0,LewiJo01
Cory Littleton,LB,25.294,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0.0,8,6,14,0,0,LittCo01
Star Lotulelei,DT,29.262,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,0,1,1,0,0,LotuSt00
Frankie Luvu,LB,22.354,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,1,1,2,0,1,LuvuFr00
Isaiah Mack,DT,23.173,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,0.0,0,1,1,0,0,MackIs00
Avonte Maddox,DB,23.161,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0.0,2,2,4,0,0,MaddAv00
Cassius Marsh,LB,27.063,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,0,1,1,0,0,MarsCa00
Kareem Martin,LB,27.201,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,1,1,2,0,0,MartKa00
Tyrann Mathieu,S,27.118,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0.0,2,1,3,0,0,MathTy00
Clay Matthews,LB,33.117,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,1.0,2,1,3,1,1,MattCl99
Marcus Maye,S,26.183,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,4,1,5,0,0,MayeMa00
Bobby McCain,S,26.021,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,3,1,4,0,0,McCaBo01
Devin McCourty,DB,32.026,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0.0,5,1,6,0,0,McCoDe99
Jason McCourty,CB,32.026,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0.0,6,1,7,0,0,McCoJa99
Gerald McCoy,DT,31.195,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,1,0,1,0,0,McCoGe99
Bradley McDougald,SS,28.297,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0.0,4,0,4,0,0,McDoBr01
R.J. McIntosh,DL,23.098,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,1,0,1,0,0,McInR.00
Takkarist McKinley,DE,23.310,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,2,1,3,1,0,McKiTa00
Cassanova McKinzy,LB,26.295,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,1.0,1,0,1,0,1,McKiCa01
