Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
C.J. Anderson,RB,25.211,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,5,4,47,11.75,1,80.0%,9.40,AndeC.00
Kelvin Benjamin,WR,25.216,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,12,6,91,15.17,1,50.0%,7.58,BenjKe00
Kapri Bibbs,RB,23.242,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,1,1,6,6.00,0,100.0%,6.00,BibbKa00
Corey Brown,WR,24.267,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,2,1,11,11.00,0,50.0%,5.50,BrowPh00
Devin Funchess,WR,22.110,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,4,1,9,9.00,0,25.0%,2.25,FuncDe00
Ted Ginn,WR,31.149,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,1,1,5,5.00,0,100.0%,5.00,GinnTe00
Virgil Green,TE,28.036,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,5,4,28,7.00,0,80.0%,5.60,GreeVi00
Greg Olsen,TE,31.181,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,9,7,73,10.43,0,77.8%,8.11,OlseGr00
Emmanuel Sanders,WR,29.175,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,8,5,49,9.80,0,62.5%,6.13,SandEm00
Demaryius Thomas,WR,28.258,2016-09-08,NFL,DEN,,CAR,W 21-20,1,1,Thu,6,4,48,12.00,0,66.7%,8.00,ThomDe03
Mike Tolbert,FB,30.290,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,1,1,1,1.00,0,100.0%,1.00,TolbMi00
Fozzy Whittaker,RB,27.219,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,1,1,4,4.00,0,100.0%,4.00,WhitFo00
