Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Avion Black,WR,24.138,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,1,34,34.00,0,BlacAv00
Na Brown,WR,24.199,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,1,11,11.00,0,BrowNa00
Lamar Chapman,DB,24.307,2001-09-09,NFL,CLE,,SEA,L 6-9,1,1,Sun,1,1,1.00,0,ChapLa20
David Dunn,WR,29.091,2001-09-09,NFL,OAK,@,KAN,W 27-24,1,1,Sun,1,8,8.00,0,DunnDa00
Tim Dwight,WR/K,26.058,2001-09-09,NFL,SDG,,WAS,W 30-3,1,1,Sun,4,102,25.50,1,DwigTi00
Damon Gibson,WR/K,26.196,2001-09-09,NFL,JAX,,PIT,W 21-3,1,1,Sun,3,41,13.67,0,GibsDa00
Darrien Gordon,CB,30.299,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,1,9,9.00,0,GordDa20
Az-Zahir Hakim,WR,24.098,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,3,16,5.33,0,HakiAz00
Desmond Howard,WR,31.117,2001-09-09,NFL,DET,@,GNB,L 6-28,1,1,Sun,2,43,21.50,0,HowaDe00
Nate Jacquet,WR,26.007,2001-09-09,NFL,MIN,,CAR,L 13-24,1,1,Sun,5,37,7.40,0,JacqNa00
Jermaine Lewis,WR,26.328,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,2,32,16.00,0,LewiJe00
Michael Lewis,WR,29.299,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,2,9,4.50,0,LewiMi00
Sam Madison,RCB,27.139,2001-09-09,NFL,MIA,@,TEN,W 31-23,1,1,Sun,1,6,6.00,0,MadiSa00
Derrick Mason,WR,27.235,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,4,26,6.50,0,MasoDe00
Deuce McAllister,RB,22.256,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,1,10,10.00,0,McAlDe00
