Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Cortland Finnegan,RCB,25.220,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,4,14,3.50,0,FinnCo20
Stefan Logan,RB,28.100,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,1,11,11.00,0,LogaSt00
Davone Bess,WR,24.000,2009-09-13,NFL,MIA,@,ATL,L 7-19,1,1,Sun,2,11,5.50,0,BessDa00
Nate Burleson,WR,28.025,2009-09-13,NFL,SEA,,STL,W 28-0,1,1,Sun,2,14,7.00,0,BurlNa00
Reggie Bush,RB,24.195,2009-09-13,NFL,NOR,,DET,W 45-27,1,1,Sun,3,11,3.67,0,BushRe00
Chris Carr,S,26.136,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,2,7,3.50,0,CarrCh22
Quan Cosby,WR,26.264,2009-09-13,NFL,CIN,,DEN,L 7-12,1,1,Sun,5,49,9.80,0,CosbQu00
Patrick Crayton,WR,30.159,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,1,3,3.00,0,CrayPa00
Josh Cribbs,WR,26.096,2009-09-13,NFL,CLE,,MIN,L 20-34,1,1,Sun,3,67,22.33,1,CribJo01
Justin Forsett,RB,23.334,2009-09-13,NFL,SEA,,STL,W 28-0,1,1,Sun,2,14,7.00,0,ForsJu00
Devin Hester,WR,26.313,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,2,15,7.50,0,HestDe99
Domenik Hixon,WR,24.340,2009-09-13,NFL,NYG,,WAS,W 23-17,1,1,Sun,1,0,0.00,0,HixoDo00
DeSean Jackson,WR,22.286,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,2,106,53.00,1,JackDe00
Maurice Leggett,LCB,22.346,2009-09-13,NFL,KAN,@,BAL,L 24-38,1,1,Sun,1,0,0.00,0,LeggMa99
Jim Leonhard,S,26.321,2009-09-13,NFL,NYJ,@,HOU,W 24-7,1,1,Sun,1,18,18.00,0,LeonJi23
Santana Moss,WR,30.104,2009-09-13,NFL,WAS,@,NYG,L 17-23,1,1,Sun,1,1,1.00,0,MossSa00
Captain Munnerlyn,CB,21.156,2009-09-13,NFL,CAR,,PHI,L 10-38,1,1,Sun,2,33,16.50,0,MunnCa99
Jordy Nelson,WR,24.105,2009-09-13,NFL,GNB,,CHI,W 21-15,1,1,Sun,2,14,7.00,0,NelsJo00
Terence Newman,LCB,31.009,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,1,0,0.00,0,NewmTe20
Dennis Northcutt,WR,31.265,2009-09-13,NFL,DET,@,NOR,L 27-45,1,1,Sun,2,55,27.50,0,NortDe00
Ed Reed*,FS,31.002,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,1,2,2.00,0,ReedEd00
Darius Reynaud,WR,24.258,2009-09-13,NFL,MIN,@,CLE,W 34-20,1,1,Sun,2,54,27.00,0,ReynDa00
Antrel Rolle,FS,26.271,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,5,55,11.00,0,RollAn20
Allen Rossum,KR,33.326,2009-09-13,NFL,SFO,@,ARI,W 20-16,1,1,Sun,4,30,7.50,0,RossAl99
Eddie Royal,WR,23.115,2009-09-13,NFL,DEN,@,CIN,W 12-7,1,1,Sun,3,17,5.67,0,RoyaEd00
T.J. Rushing,DB,26.097,2009-09-13,NFL,IND,,JAX,W 14-12,1,1,Sun,1,5,5.00,0,RushT.20
Clifton Smith,RB,24.071,2009-09-13,NFL,TAM,,DAL,L 21-34,1,1,Sun,3,27,9.00,0,SmitCl22
Derek Stanley,WR,24.017,2009-09-13,NFL,STL,@,SEA,L 0-28,1,1,Sun,1,24,24.00,0,StanDe00
Leon Washington,RB-K,27.015,2009-09-13,NFL,NYJ,@,HOU,W 24-7,1,1,Sun,2,16,8.00,0,WashLe00
Eric Weems,WR,24.071,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,3,31,10.33,0,WeemEr00
Johnnie Lee Higgins,WR,26.006,2009-09-14,NFL,OAK,,SDG,L 20-24,1,1,Mon,3,36,12.00,0,HiggJo00
Roscoe Parrish,WR,27.060,2009-09-14,NFL,BUF,@,NWE,L 24-25,1,1,Mon,1,5,5.00,0,ParrRo00
Darren Sproles,RB-K,26.086,2009-09-14,NFL,SDG,@,OAK,W 24-20,1,1,Mon,3,10,3.33,0,SproDa00
Wes Welker,WR,28.136,2009-09-14,NFL,NWE,,BUF,W 25-24,1,1,Mon,2,21,10.50,0,WelkWe00
Ahmad Bradshaw,RB,23.185,2009-09-20,NFL,NYG,@,DAL,W 33-31,2,2,Sun,2,16,8.00,0,BradAh00
Nate Burleson,WR,28.032,2009-09-20,NFL,SEA,@,SFO,L 10-23,2,2,Sun,2,30,15.00,0,BurlNa00
Reggie Bush,RB,24.202,2009-09-20,NFL,NOR,@,PHI,W 48-22,2,2,Sun,2,-3,-1.50,0,BushRe00
