Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Jarrett Bush,CB/S,27.110,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,1,BushJa20
Jabari Greer,LCB,29.209,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0,0,0,1,GreeJa22
Malcolm Jenkins,FS,23.262,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0,0,0,1,JenkMa99
B.J. Raji,NT,25.059,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,1,RajiBJ99
Sam Shields,CB,23.274,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,2,ShieSa00
Erik Walden,ROLB,26.018,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,1,WaldEr99
Tramon Williams,RCB,28.176,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,1,WillTr99
Charles Woodson,LCB,34.336,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0,0,0,1,WoodCh00
Husain Abdullah,FS,26.046,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,0,0,0,1,AbduHu99
John Abraham,RDE,33.128,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,0,0,0,1,AbraJo00
Jared Allen,RDE,29.161,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,1,14,0,1,AlleJa22
Tyson Alualu,DT,24.122,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,0,0,0,1,AluaTy99
Geno Atkins,DT,23.167,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,0,0,0,1,AtkiGe99
Alan Ball,CB,26.166,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,0,0,0,1,BallAl99
Nick Barnett,WLB,30.107,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,0,0,0,1,BarnNi20
Aaron Berry,CB,23.078,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,0,0,0,1,BerrAa00
Kroy Biermann,DE,25.364,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,1,50,1,1,BierKr99
Gary Brackett,MLB,31.111,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,1,27,0,1,BracGa20
Tramaine Brock,CB,23.022,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,1,0,0,1,BrocTr00
Keith Brooking,LB,35.316,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,0,0,0,1,BrooKe00
Ahmad Brooks,OLB,27.181,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,0,0,0,1,BrooAh21
Tarell Brown,RCB,26.248,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,0,0,0,1,BrowTa99
Melvin Bullitt,SS,26.302,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,1,15,0,1,BullMe99
Calais Campbell,DE,25.010,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,0,0,0,1,CampCa99
Antoine Cason,RCB,25.064,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,0,0,0,3,CasoAn99
