Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Danny Amendola,WR,31.309,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,1,8,8.00,0,AmenDa00
Tyreek Hill,WR,23.190,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,2,7,3.50,0,HillTy00
De'Anthony Thomas,WR,24.245,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,2,3,1.50,0,ThomDe05
Jamal Agnew,CB,22.160,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,3,48,16.00,0,AgneJa00
Tavon Austin,WR,27.179,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,3,15,5.00,0,AustTa00
Quan Bray,WR,24.135,2017-09-10,NFL,IND,@,LAR,L 9-46,1,1,Sun,3,0,0.00,0,BrayQu00
Michael Campanaro,WR,26.228,2017-09-10,NFL,BAL,@,CIN,W 20-0,1,1,Sun,3,23,7.67,0,CampMi02
Tarik Cohen,RB,22.046,2017-09-10,NFL,CHI,,ATL,L 17-23,1,1,Sun,3,45,15.00,0,CoheTa00
Jamison Crowder,WR,24.085,2017-09-10,NFL,WAS,,PHI,L 17-30,1,1,Sun,2,3,1.50,0,CrowJa00
Trevor Davis,WR,24.068,2017-09-10,NFL,GNB,,SEA,W 17-9,1,1,Sun,2,0,0.00,0,DaviTr03
Alex Erickson,WR,24.308,2017-09-10,NFL,CIN,,BAL,L 0-20,1,1,Sun,3,14,4.67,0,EricAl01
Tyler Ervin,RB,23.338,2017-09-10,NFL,HOU,,JAX,L 7-29,1,1,Sun,1,21,21.00,0,ErviTy00
Dwayne Harris,WR,29.359,2017-09-10,NFL,NYG,@,DAL,L 3-19,1,1,Sun,1,1,1.00,0,HarrDw00
Adoree' Jackson,CB,21.357,2017-09-10,NFL,TEN,,OAK,L 16-26,1,1,Sun,1,5,5.00,0,JackAd00
Marqise Lee,WR,25.289,2017-09-10,NFL,JAX,@,HOU,W 29-7,1,1,Sun,1,7,7.00,0,LeexMa00
Tyler Lockett,WR,24.347,2017-09-10,NFL,SEA,@,GNB,L 9-17,1,1,Sun,1,7,7.00,0,LockTy00
Christian McCaffrey,RB,21.095,2017-09-10,NFL,CAR,@,SFO,W 23-3,1,1,Sun,3,7,2.33,0,McCaCh01
Jabrill Peppers,S,21.341,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,3,34,11.33,0,PeppJa00
Kalif Raymond,WR,23.033,2017-09-10,NFL,NYJ,@,BUF,L 12-21,1,1,Sun,3,27,9.00,0,RaymKa00
Jalen Richard,RB,23.330,2017-09-10,NFL,OAK,@,TEN,W 26-16,1,1,Sun,2,5,2.50,0,RichJa01
Andre Roberts,WR,29.244,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,2,24,12.00,0,RobeAn00
Eli Rogers,WR,24.261,2017-09-10,NFL,PIT,@,CLE,W 21-18,1,1,Sun,3,32,10.67,0,RogeEl00
Ryan Switzer,WR,22.310,2017-09-10,NFL,DAL,,NYG,W 19-3,1,1,Sun,1,0,0.00,0,SwitRy00
Brandon Tate,WR,29.340,2017-09-10,NFL,BUF,,NYJ,W 21-12,1,1,Sun,4,35,8.75,0,TateBr00
Trent Taylor,WR,23.133,2017-09-10,NFL,SFO,,CAR,L 3-23,1,1,Sun,1,9,9.00,0,TaylTr02
Kerwynn Williams,RB,26.093,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,1,0,0.00,0,WillKe05
Travis Benjamin,WR,27.256,2017-09-11,NFL,LAC,@,DEN,L 21-24,1,1,Mon,1,-3,-3.00,0,BenjTr00
Ted Ginn,WR,32.152,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,1,0,0.00,0,GinnTe00
Isaiah McKenzie,WR,22.155,2017-09-11,NFL,DEN,,LAC,W 24-21,1,1,Mon,3,48,16.00,0,McKeIs00
Marcus Sherels,CB,29.346,2017-09-11,NFL,MIN,,NOR,W 29-19,1,1,Mon,2,11,5.50,0,SherMa20
Alex Erickson,WR,24.312,2017-09-14,NFL,CIN,,HOU,L 9-13,2,2,Thu,4,57,14.25,0,EricAl01
Tyler Ervin,RB,23.342,2017-09-14,NFL,HOU,@,CIN,W 13-9,2,2,Thu,3,15,5.00,0,ErviTy00
Adam Jones,RCB,33.349,2017-09-14,NFL,CIN,,HOU,L 9-13,2,2,Thu,2,41,20.50,0,JonePa20
Tavon Austin,WR,27.186,2017-09-17,NFL,LAR,,WAS,L 20-27,2,2,Sun,3,18,6.00,0,AustTa00
Travis Benjamin,WR,27.262,2017-09-17,NFL,LAC,,MIA,L 17-19,2,2,Sun,1,23,23.00,0,BenjTr00
Quan Bray,WR,24.142,2017-09-17,NFL,IND,,ARI,L 13-16,2,2,Sun,4,23,5.75,0,BrayQu00
Michael Campanaro,WR,26.235,2017-09-17,NFL,BAL,,CLE,W 24-10,2,2,Sun,3,19,6.33,0,CampMi02
Patrick Chung,S,30.029,2017-09-17,NFL,NWE,@,NOR,W 36-20,2,2,Sun,1,0,0.00,0,ChunPa99
Kaelin Clay,WR,25.257,2017-09-17,NFL,BUF,@,CAR,L 3-9,2,2,Sun,2,2,1.00,0,ClayKa00
