Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Ed Jasper,DT,32.233,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,,,,1,JaspEd20
Richard Seymour,RDE,25.337,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,,,,1,SeymRi00
Eugene Wilson,FS,25.022,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,,,,1,WilsEu20
Mike Adams,WR,24.171,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,1,0,0,2,AdamMi21
Will Allen,LCB,27.037,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,,,,1,AlleWi20
Champ Bailey*,LCB,27.081,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,1,11,0,1,BailCh00
Ronde Barber,RCB,30.157,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,,,,1,BarbRo00
Eric Barton,ROLB,27.347,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,,,,1,BartEr20
Dre' Bly,RCB,28.112,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,,,,2,BlyxDr00
Leigh Bodden,RCB,23.352,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,1,0,0,1,BoddLe20
Matt Bowen,S,28.303,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,,,,1,BoweMa20
David Bowens,DE,28.070,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,,,,1,BoweDa20
Gary Brackett,MLB,25.111,2005-09-11,NFL,IND,@,BAL,W 24-7,1,1,Sun,2,31,0,2,BracGa20
Derrick Brooks*,WLB,32.146,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,1,0,0,1,BrooDe00
Fakhir Brown,RCB,27.355,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,,,,1,BrowFa20
Mike Brown,SS,27.210,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,,,,1,BrowMi99
John Browning,RDE,31.346,2005-09-11,NFL,KAN,,NYJ,W 27-7,1,1,Sun,,,,1,BrowJo24
Fernando Bryant,LCB,28.169,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,,,,1,BryaFe20
James Butler,S,23.004,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,,,,1,ButlJa20
Nate Clements,RCB,25.273,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,0,0,0,1,ClemNa99
Ricardo Colclough,CB,21.350,2005-09-11,NFL,PIT,,TEN,W 34-7,1,1,Sun,1,14,0,1,ColcRi20
Marcus Coleman,FS,31.110,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,,,,1,ColeMa20
Jason Craft,CB,29.210,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,1,5,0,1,CrafJa20
Channing Crowder,WLB,21.283,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,,,,1,CrowCh20
Phillip Daniels,RDE,32.191,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,,,,2,DaniPh20
Travis Daniels,CB,23.003,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,1,4,0,2,DaniTr20
Karlos Dansby,SLB,23.312,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,2,20,1,2,DansKa20
Curtis DeLoatch,RCB,23.342,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,,,,1,DeLoCu20
Will Demps,FS,25.308,2005-09-11,NFL,BAL,,IND,L 7-24,1,1,Sun,,,,1,DempWi20
Carlos Emmons,WLB,32.008,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,,,,2,EmmoCa20
Nick Ferguson,SS,30.288,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,,,,1,FergNi20
Steve Foley,OLB,30.000,2005-09-11,NFL,SDG,,DAL,L 24-28,1,1,Sun,0,0,0,1,FoleSt21
Domonique Foxworth,CB,22.168,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,,,,1,FoxwDo20
Aaron Glenn,CB,33.057,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,1,0,0,1,GlenAa00
Deon Grant,FS,26.181,2005-09-11,NFL,JAX,,SEA,W 26-14,1,1,Sun,1,29,0,1,GranDe21
Nick Harper,LCB,31.001,2005-09-11,NFL,IND,@,BAL,W 24-7,1,1,Sun,,,,2,HarpNi20
Al Harris,RCB,30.278,2005-09-11,NFL,GNB,@,DET,L 3-17,1,1,Sun,,,,2,HarrAl21
Napoleon Harris,SLB,26.198,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,,,,1,HarrNa20
Walt Harris,LCB,31.032,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,,,,3,HarrWa21
Anthony Henry,RCB,28.312,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,1,1,0,5,HenrAn20
Warrick Holdman,WLB,29.293,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,,,,1,HoldWa20
Terrence Holt,FS,25.190,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,1,0,0,1,HoltTe20
Chris Hope,FS,24.347,2005-09-11,NFL,PIT,,TEN,W 34-7,1,1,Sun,,,,1,HopeCh21
Dexter Jackson,FS,28.045,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,,,,1,JackDe20
Grady Jackson,LDT,32.233,2005-09-11,NFL,GNB,@,DET,L 3-17,1,1,Sun,,,,1,JackGr20
Tory James,RCB,32.116,2005-09-11,NFL,CIN,@,CLE,W 27-13,1,1,Sun,,,,2,JameTo99
William Joseph,RDT,26.008,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,0,0,0,1,JoseWi20
Cato June,WLB,25.297,2005-09-11,NFL,IND,@,BAL,W 24-7,1,1,Sun,1,30,1,2,JuneCa99
Brian Kelly,LCB,29.240,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,2,16,0,2,KellBr21
Kenoy Kennedy,SS,27.300,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,1,0,0,2,KennKe21
Sammy Knight,SS,30.001,2005-09-11,NFL,KAN,,NYJ,W 27-7,1,1,Sun,0,0,0,1,KnigSa00
Ty Law*,LCB,31.213,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,1,0,0,1,LawxTy00
Damione Lewis,DT,27.194,2005-09-11,NFL,STL,@,SFO,L 25-28,1,1,Sun,,,,1,LewiDa20
Ken Lucas,LCB,26.231,2005-09-11,NFL,CAR,,NOR,L 20-23,1,1,Sun,,,,1,LucaKe20
David Macklin,RCB,27.059,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,,,,1,MackDa20
Sam Madison,RCB,31.141,2005-09-11,NFL,MIA,,DEN,W 34-10,1,1,Sun,,,,2,MadiSa00
Lemar Marshall,MLB,28.268,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,1,7,0,1,MarsLe20
Rashean Mathis,LCB,25.015,2005-09-11,NFL,JAX,,SEA,W 26-14,1,1,Sun,,,,1,MathRa99
Chris McAlister,LCB,28.089,2005-09-11,NFL,BAL,,IND,L 7-24,1,1,Sun,,,,1,McAlCh00
Terrence McGee,LCB,24.332,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,0,0,0,1,McGeTe99
Mike McKenzie,LCB,29.138,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,1,11,0,1,McKeMi20
Ray Mickens,CB,32.250,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,,,,1,MickRa20
Lawyer Milloy,SS,31.301,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,1,0,0,1,MillLa00
Kawika Mitchell,MLB,25.336,2005-09-11,NFL,KAN,,NYJ,W 27-7,1,1,Sun,,,,1,MitcKa20
Terence Newman,LCB,27.007,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,,,,2,NewmTe20
Dat Nguyen,JLB,29.351,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,,,,1,NguyDa20
Adewale Ogunleye,LDE,28.033,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,0,0,0,1,OgunAd00
Chike Okeafor,LDE,29.168,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,,,,1,OkeaCh20
Tony Parrish,SS,29.292,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,,,,1,ParrTo20
Antwan Peek,ROLB,25.317,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,,,,1,PeekAn20
Julius Peppers,LDE,25.236,2005-09-11,NFL,CAR,,NOR,L 20-23,1,1,Sun,,,,1,PeppJu99
Julian Peterson,LOLB,27.045,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,0,0,0,1,PeteJu00
Antonio Pierce,MLB,26.320,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,0,0,0,1,PierAn20
Ahmed Plummer,LCB,29.169,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,,,,1,PlumAh20
Troy Polamalu,SS,24.145,2005-09-11,NFL,PIT,,TEN,W 34-7,1,1,Sun,1,6,0,1,PolaTr99
Brodney Pool,DB,21.110,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,,,,1,PoolBr20
Keiwan Ratliff,CB,24.145,2005-09-11,NFL,CIN,@,CLE,W 27-13,1,1,Sun,1,16,0,1,RatlKe20
Ed Reed*,SS,27.000,2005-09-11,NFL,BAL,,IND,L 7-24,1,1,Sun,,,,1,ReedEd00
Samari Rolle,RCB,29.032,2005-09-11,NFL,BAL,,IND,L 7-24,1,1,Sun,,,,1,RollSa00
Mark Roman,SS,28.169,2005-09-11,NFL,GNB,@,DET,L 3-17,1,1,Sun,,,,1,RomaMa20
Brian Russell,FS,27.218,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,,,,1,RussBr20
