Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Keith Bulluck,RLB,30.165,2007-09-16,NFL,TEN,,IND,L 20-22,2,2,Sun,,1,0,,,BullKe00
Nate Clements,CB,27.278,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,0,1,0,0,0,ClemNa99
Rosevelt Colvin,OLB,30.011,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,0,2,0,0,0,ColvRo20
Will Demps,FS,27.313,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,,1,0,,,DempWi20
Demarcus Faggins,RCB,28.095,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,,1,0,,,FaggDe20
Larry Foote,RILB,27.096,2007-09-16,NFL,PIT,,BUF,W 26-3,2,2,Sun,0,1,0,0,0,FootLa20
Cedric Griffin,RCB,24.309,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,,1,0,,,GrifCe20
Tyjuan Hagler,WLB,25.287,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,,1,1,,,HaglTy20
Leon Hall,CB,22.281,2007-09-16,NFL,CIN,@,CLE,L 45-51,2,2,Sun,,1,0,,,HallLe98
Chris Harris,SS,25.041,2007-09-16,NFL,CAR,,HOU,L 21-34,2,2,Sun,,1,0,,,HarrCh20
Napoleon Harris,LB,28.203,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,0,1,0,0,0,HarrNa20
Kelvin Hayden,LCB,24.055,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,,1,0,,,HaydKe20
Gerald Hayes,MLB,26.341,2007-09-16,NFL,ARI,,SEA,W 23-20,2,2,Sun,,1,0,,,HayeGe20
Jarret Johnson,LOLB,26.033,2007-09-16,NFL,BAL,,NYJ,W 20-13,2,2,Sun,,1,0,,,JohnJa23
Aaron Kampman,LDE,27.290,2007-09-16,NFL,GNB,@,NYG,W 35-13,2,2,Sun,0,1,0,0,0,KampAa99
Shawne Merriman,OLB,23.114,2007-09-16,NFL,SDG,@,NWE,L 14-38,2,2,Sun,0,1,0,0,0,MerrSh99
Jarvis Moss,DE,23.044,2007-09-16,NFL,DEN,,OAK,W 23-20,2,2,Sun,0,1,0,0,0,MossJa99
Amobi Okoye,RDT,20.098,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,0,1,0,0,0,OkoyAm99
Kassim Osgood,WR,27.119,2007-09-16,NFL,SDG,@,NWE,L 14-38,2,2,Sun,0,1,0,0,0,OsgoKa00
Antwan Peek,LOLB,27.322,2007-09-16,NFL,CLE,,CIN,W 51-45,2,2,Sun,,1,0,,,PeekAn20
Charlie Peprah,S,24.204,2007-09-16,NFL,GNB,@,NYG,W 35-13,2,2,Sun,,1,0,,,PeprCh20
Bernard Pollard,SS,22.267,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,,1,0,,,PollBe20
Barrett Ruud,MLB,24.119,2007-09-16,NFL,TAM,,NOR,W 31-14,2,2,Sun,,2,1,,,RuudBa20
Clifton Ryan,DT,23.210,2007-09-16,NFL,STL,,SFO,L 16-17,2,2,Sun,0,1,1,0,0,RyanCl99
Darren Sharper,SS,31.317,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,0,1,0,0,0,SharDa00
Charles Tillman,LCB,26.205,2007-09-16,NFL,CHI,,KAN,W 20-10,2,2,Sun,,1,0,,,TillCh20
Kevin Williams,UT,27.031,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,,1,0,,,WillKe98
Bryant Young,LDE,35.232,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,0,1,0,0,0,YounBr00
Jared Allen,RDE,25.173,2007-09-23,NFL,KAN,,MIN,W 13-10,3,3,Sun,0,1,0,0,0,AlleJa22
Remi Ayodele,NT,24.154,2007-09-23,NFL,DAL,@,CHI,W 34-10,3,3,Sun,,1,0,,,AyodRe99
Gary Brackett,MLB,27.123,2007-09-23,NFL,IND,@,HOU,W 30-24,3,3,Sun,0,1,0,0,0,BracGa20
Derrick Brooks*,WLB,34.158,2007-09-23,NFL,TAM,,STL,W 24-3,3,3,Sun,,1,0,,,BrooDe00
Andre Carter,RDE,28.134,2007-09-23,NFL,WAS,,NYG,L 17-24,3,3,Sun,0,1,0,0,0,CartAn20
Brandon Chillar,SLB,24.337,2007-09-23,NFL,STL,@,TAM,L 3-24,3,3,Sun,,1,0,,,ChilBr20
Trent Cole,RDE,24.353,2007-09-23,NFL,PHI,,DET,W 56-21,3,3,Sun,0,1,0,0,0,ColeTr20
Keith Davis,S,28.267,2007-09-23,NFL,DAL,@,CHI,W 34-10,3,3,Sun,,1,0,,,DaviKe21
Keyunta Dawson,DE,22.010,2007-09-23,NFL,IND,@,HOU,W 30-24,3,3,Sun,0,1,0,0,0,DawsKe99
Darnell Dockett,DT,26.119,2007-09-23,NFL,ARI,@,BAL,L 23-26,3,3,Sun,0,1,0,0,0,DockDa20
Elvis Dumervil,RDE,23.247,2007-09-23,NFL,DEN,,JAX,L 14-23,3,3,Sun,0,1,1,0,0,DumeEl20
Nick Ferguson,SS,32.300,2007-09-23,NFL,DEN,,JAX,L 14-23,3,3,Sun,,1,0,,,FergNi20
Kabeer Gbaja-Biamila,DE,29.364,2007-09-23,NFL,GNB,,SDG,W 31-24,3,3,Sun,0,1,0,0,0,GbajKa20
Morlon Greenwood,WLB,29.068,2007-09-23,NFL,HOU,,IND,L 24-30,3,3,Sun,,1,0,,,GreeMo20
Chris Harris,SS,25.048,2007-09-23,NFL,CAR,@,ATL,W 27-20,3,3,Sun,,1,1,,,HarrCh20
LeRoy Hill,OLB,25.009,2007-09-23,NFL,SEA,,CIN,W 24-21,3,3,Sun,,1,0,,,HillLe20
Ellis Hobbs,RCB,24.130,2007-09-23,NFL,NWE,,BUF,W 38-7,3,3,Sun,0,1,0,0,0,HobbEl20
Corey Ivy,RCB,30.178,2007-09-23,NFL,BAL,,ARI,W 26-23,3,3,Sun,0,1,1,0,0,IvyxCo20
Spencer Johnson,DT,25.285,2007-09-23,NFL,MIN,@,KAN,L 10-13,3,3,Sun,0,1,0,0,0,JohnSp20
Sean Jones,SS,25.205,2007-09-23,NFL,CLE,@,OAK,L 24-26,3,3,Sun,,1,0,,,JoneSe20
Lance Laury,LB,25.249,2007-09-23,NFL,SEA,,CIN,W 24-21,3,3,Sun,,1,0,,,LaurLa20
Paris Lenon,MLB,29.301,2007-09-23,NFL,DET,@,PHI,L 21-56,3,3,Sun,0,1,0,0,0,LenoPa20
