Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
David Akers,K,25.269,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,5,5,100.0,2,2,100.0,,,0,11,akersdav01
Morten Andersen*,K,40.015,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,3,3,100.0,5,5,100.0,,,0,18,andermor01
Gary Anderson,P,41.049,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,andergar02
Cary Blanchard,K,31.303,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,blanccar01
Doug Brien,K,29.284,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,briendou01
Kris Brown,K,23.255,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,,,,,1,0.0,,,0,0,brownkri01
Steve Christie,K,32.295,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,1,1,100.0,3,4,75.0,,,0,10,chrisste01
Brett Conway,K,25.179,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,conwabre01
Richie Cunningham,K,30.016,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,2,2,100.0,1,2,50.0,,,0,5,cunniric01
Al Del Greco,K,38.185,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,delgralx01
Paul Edinger,K,22.230,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,edingpau01
John Hall,K,26.170,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,2,2,100.0,2,4,50.0,,,0,8,hallxjoh01
Jason Hanson,K,30.078,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,,,,2,2,100.0,,,0,6,hansojas01
Craig Hentrich,P/K,29.108,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,,,,,1,0.0,,,0,0,hentrcra01
Kris Heppner,K,23.229,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,,,,,1,0.0,,,0,0,heppnkri01
Mike Hollis,PK,28.104,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,hollimik01
Sebastian Janikowski,K,22.185,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,janikseb01
Ryan Longwell,K,26.018,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,longwrya01
Olindo Mare,K,27.089,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,marexoli01
Tim Seder,K,25.352,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,,,,2,2,100.0,,,0,6,sedertim01
