Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Rahim Abdullah,LB,23.174,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,,,,1,AbduRa20
Donnie Abraham,LCB,25.339,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,,,,1,AbraDo00
Brent Alexander,SS,28.064,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,AlexBr20
Eric Allen,RCB,33.294,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,,,,1,AlleEr00
Ashley Ambrose,LCB,28.360,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,,,,3,AmbrAs00
Champ Bailey*,CB,21.082,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1,4,0,1,BailCh00
Robert Bailey,CB,31.009,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,,,,2,BailRo20
Ronde Barber,RCB,24.158,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,,,,2,BarbRo00
Micheal Barrow,WLB,29.146,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,BarrMi20
Aaron Beasley,RCB,26.067,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,2,93,1,6,BeasAa20
Myron Bell,SS,27.362,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,,,,1,BellMy20
Jason Belser,FS,29.107,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,,,,2,BelsJa20
Greg Biekert,MLB,30.182,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,1,21,0,1,BiekGr20
Roosevelt Blackmon,CB,25.002,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,,,,1,BlacRo21
Tony Blevins,DB,24.226,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,1,74,1,1,BlevTo20
Stephen Boyd,MLB,27.021,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,,,,1,BoydSt00
Chad Bratzke,RDE,27.362,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0,0,0,1,BratCh20
Tedy Bruschi,WLB,26.095,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0,0,0,1,BrusTe99
Ray Buchanan,CB,27.348,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,,,,2,BuchRa00
Rob Burnett,LDE,32.016,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,,,,1,BurnRo00
Jeff Burris,LCB,27.097,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,1,28,0,4,BurrJe20
LeRoy Butler,SS,31.055,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,,,,1,ButlLe00
Mark Carrier,FS,31.137,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,,,,1,CarrMa01
Marty Carter,S,29.269,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,,,,1,CartMa20
Tom Carter,RCB,27.007,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,,,,1,CartTo20
Je'Rod Cherry,S,26.105,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,,,,1,CherJe20
Bryan Cox,LILB,31.207,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,1,27,1,1,CoxxBr00
Phillip Daniels,RDE,26.192,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0,0,0,1,DaniPh20
Donovin Darius,SS,24.031,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,1,0,0,1,DariDo20
James Darling,LLB,24.257,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,1,33,0,1,DarlJa20
Eric Davis,LCB,31.229,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,DaviEr00
Brian Dawkins*,FS,25.334,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,1,23,0,1,DawkBr00
Cris Dishman,LCB,34.030,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,,,,2,DishCr00
Tyronne Drakeford,RCB,28.083,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,,,,1,DrakTy20
Percy Ellsworth,FS,24.328,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,2,26,0,4,EllsPe20
Doug Evans,RCB,29.122,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,EvanDo21
Leomont Evans,S,25.062,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,,,,1,EvanLe20
London Fletcher,MLB,24.116,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,,,,1,FletLo20
Rob Fredrickson,LLB,28.122,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,,,,1,FredRo20
Sam Garnes,SS,25.062,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,,,,1,GarnSa20
La'Roi Glover,RDT,25.070,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0,0,0,1,GlovLa00
Darrien Gordon,CB,28.302,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,1,9,0,1,GordDa20
Darrell Green*,CB,39.209,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,,,,2,GreeDa00
Robert Griffith,S,28.286,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,,,,1,GrifRo00
Travis Hall,DT,27.040,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,,,,1,HallTr20
Phil Hansen,LDE,31.115,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,,,,1,HansPh20
Al Harris,RCB,24.279,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,1,33,0,2,HarrAl21
Walt Harris,LCB,25.033,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,,,,1,HarrWa21
Richard Harvey,ROLB,33.001,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0,0,0,2,HarvRi21
Rodney Heath,CB,24.318,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,1,5,0,2,HeatRo20
Vonnie Holliday,RDE,23.275,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,,,,1,HollVo20
Bernard Holsey,DT,25.276,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,,,,1,HolsBe20
Ken Irvin,LCB,27.063,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,,,,1,IrviKe20
Steve Israel,RCB,30.180,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,1,0,0,1,IsraSt20
Ellis Johnson,RDT,25.317,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,,,,1,JohnEl20
Lance Johnstone,RDE,26.093,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,,,,1,JohnLa23
Cedric Jones,RDE,25.135,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,,,,2,JoneCe20
Mike Jones,LLB,30.150,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,,,,1,JoneMi21
Brian Kelly,CB,23.241,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,,,,1,KellBr21
Carnell Lake,FS,32.059,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,,,,2,LakeCa00
Kwamie Lassiter,FS,29.283,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,1,32,0,1,LassKw20
Ty Law*,LCB,25.214,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,,,,1,LawxTy00
Ray Lewis*,RLB,24.120,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,1,60,0,1,LewiRa00
Mike Logan,S,24.362,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0,0,0,1,LogaMi20
Todd Lyght,LCB,30.215,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,1,0,0,3,LyghTo00
Keith Lyle,FS,27.148,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,1,0,0,1,LyleKe20
Emanuel Martin,S,30.043,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,1,0,0,1,MartEm20
Wayne Martin,LDT,33.321,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0,0,0,1,MartWa00
Chris McAlister,CB,22.090,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,1,21,0,1,McAlCh00
Tim McDonald,SS,34.249,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,,,,1,McDoTi00
Mike McKenzie,LCB,23.139,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,1,0,0,1,McKeMi20
Ronald McKinnon,MLB,25.357,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,,,,1,McKiRo21
R.W. McQuarters,CB,22.265,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,0,0,0,1,McQuR.20
Lawyer Milloy,SS,25.302,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,1,0,0,2,MillLa00
Mike Minter,FS,25.240,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,MintMi21
Keith Mitchell,SLB,25.050,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,1,18,0,2,MitcKe00
Damon Moore,S,22.362,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,,,,1,MoorDa20
Chris Oldham,S,30.321,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,1,9,0,1,OldhCh20
Chuck Osborne,DT,25.314,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0,0,0,1,OsboCh20
Tony Parrish,SS,23.293,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,1,41,0,1,ParrTo20
Ty Parten,DT,29.334,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,,,,1,PartTy20
Christian Peter,LDT,26.342,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,,,,1,PeteCh20
Tyrone Poole,RCB,27.221,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,,,,2,PoolTy20
Jeff Posey,DE,24.029,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,0,0,0,1,PoseJe20
Darryl Pounds,CB,27.053,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1,0,0,1,PounDa20
Samari Rolle,RCB,23.033,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,0,0,0,1,RollSa00
Andre Royal,RLB,26.285,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0,0,0,2,RoyaAn20
Mike Rucker,DE,24.196,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,,,,1,RuckMi20
