Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Stephen Gostkowski,K,31.225,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,4,4,100.0,,,,,,0,4,GostSt20
Josh Scobee,K,33.079,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,1,1,100.0,2,4,50.0,,,0,7,scobejos01
Dan Bailey,K,27.230,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,BailDa00
Kyle Brindza,K,22.243,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,2,2,100.0,,,,,,0,2,BrinKy00
Josh Brown,K,36.137,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,2,2,100.0,4,4,100.0,,,0,14,brownjos01
Randy Bullock,K,25.271,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,,1,0.0,2,2,100.0,,,0,6,BullRa00
Dan Carpenter,K,29.292,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,CarpDa44
Chandler Catanzaro,K,24.199,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,CataCh00
Travis Coons,K,23.219,2015-09-13,NFL,CLE,@,NYJ,L 10-31,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,CoonTr00
Mason Crosby,K,31.010,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,CrosMa20
Nick Folk,K,30.312,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,FolkNi20
Kai Forbath,K,28.011,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,ForbKa00
Andrew Franks,K,22.245,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,FranAn01
Graham Gano,K,28.157,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,2,2,100.0,2,4,50.0,,,0,8,GanoGr44
Robbie Gould,K,32.281,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,gouldrob01
Stephen Hauschka,K,30.076,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,HausSt00
Zach Hocker,K,24.021,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,HockZa00
Sebastian Janikowski,K,37.195,2015-09-13,NFL,OAK,,CIN,L 13-33,1,1,Sun,1,1,100.0,,,,,,0,1,janikseb01
Josh Lambo,K,24.298,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,3,4,75.0,2,2,100.0,,,0,9,LambJo00
Brandon McManus,K,24.050,2015-09-13,NFL,DEN,,BAL,W 19-13,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,McMaBr01
Jason Myers,K,24.124,2015-09-13,NFL,JAX,,CAR,L 9-20,1,1,Sun,,1,0.0,1,2,50.0,,,0,3,MyerJa00
Mike Nugent,K,33.195,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,3,4,75.0,2,2,100.0,,,0,9,nugenmik01
Matt Prater,K,31.034,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,4,4,100.0,,,,,,0,4,PratMa20
Cairo Santos,K,23.305,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,3,3,100.0,2,3,66.7,,,0,9,SantCa01
