Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Rabih Abdullah,RB,26.135,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,0.0,1,0,1,0,,AbduRa00
Donnie Abraham,LCB,27.336,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,0.0,3,0,3,1,,AbraDo00
John Abraham,LDE,23.126,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,1.0,5,0,5,2,,AbraJo00
Sam Adams,LDT,28.088,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,0.0,3,0,3,0,,AdamSa00
Chidi Ahanotu,LDE,30.333,2001-09-09,,STL,@,PHI,W 20-17,1,1,Sun,0.0,2,0,2,0,,AhanCh20
Chris Akins,S,24.284,2001-09-09,NFL,GNB,,DET,W 28-6,1,1,Sun,0.0,1,0,1,0,,AkinCh20
Allen Aldridge,LOLB,29.102,2001-09-09,,DET,@,GNB,L 6-28,1,1,Sun,0.0,3,0,3,0,,AldrAl21
Brent Alexander,FS,30.061,2001-09-09,,PIT,@,JAX,L 3-21,1,1,Sun,0.0,6,0,6,0,,AlexBr20
Elijah Alexander,ROLB,31.038,2001-09-09,,OAK,@,KAN,W 27-24,1,1,Sun,0.0,3,0,3,2,,AlexEl20
Eric Allen,RCB,35.291,2001-09-09,,OAK,@,KAN,W 27-24,1,1,Sun,0.0,2,1,3,0,,AlleEr00
Ashley Ambrose,RCB,30.357,2001-09-09,,ATL,@,SFO,L 13-16,1,1,Sun,0.0,4,0,4,0,,AmbrAs00
Rashard Anderson,LCB,24.087,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,0.0,5,1,6,0,,AndeRa21
Adam Archuleta,SS,23.286,2001-09-09,,STL,@,PHI,W 20-17,1,1,Sun,0.0,2,1,3,1,,ArchAd20
LaVar Arrington,SLB,23.081,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,0.0,7,3,10,0,,ArriLa00
Kole Ayi,LB,22.347,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,0.0,3,0,3,0,,AyixKo20
Jerry Azumah,DB,24.008,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,0.0,2,1,3,0,,AzumJe00
Champ Bailey*,LCB,23.079,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,0.0,4,0,4,0,,BailCh00
Rodney Bailey,DE,21.337,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,0.0,1,0,1,0,,BailRo21
