Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
Doug Brien,briendou01,K,32.284,2003-09-04,NFL,NYJ,18,@,WAS,26,L 13-16,1,1,Thu,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,7.0,7.0,,8.0
John Hall,hallxjoh01,K,29.171,2003-09-04,NFL,WAS,26,,NYJ,18,W 16-13,1,1,Thu,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,12.0,12.0,,12.0
Morten Andersen,andermor01,K,43.019,2003-09-07,NFL,KAN,12,,LAC,23,W 27-14,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,9.0,9.0,,11.0
Josh Brown,brownjos01,K,24.131,2003-09-07,NFL,SEA,24,,NOR,15,W 27-10,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,9.0,9.0,,9.0
Matt Bryant,bryanmat01,K,28.101,2003-09-07,NFL,NYG,17,,LAR,22,W 23-13,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,11.0,11.0,,13.0
John Carney,carnejoh01,K,39.14,2003-09-07,NFL,NOR,15,@,SEA,24,L 10-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,4.0
Jeff Chandler,chandjef01,K,24.081,2003-09-07,NFL,SFO,28,,CHI,3,W 49-7,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,5.0,19.0,19.0,,19.0
Steve Christie,chrisste01,K,35.298,2003-09-07,NFL,LAC,23,@,KAN,12,L 14-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Cundiff,cundibil01,K,23.160999999999998,2003-09-07,NFL,DAL,8,,ATL,1,L 13-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0
Paul Edinger,edingpau01,K,25.233,2003-09-07,NFL,CHI,3,@,SFO,28,L 7-49,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Elam,elamxjas01,K,33.183,2003-09-07,NFL,DEN,9,@,CIN,4,W 30-10,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,14.0,14.0,,14.0
Aaron Elling,ellinaar01,K,25.099,2003-09-07,NFL,MIN,14,@,GNB,11,W 30-25,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,12.0,12.0,,13.0
Jay Feely,feelyjay01,K,27.107,2003-09-07,NFL,ATL,1,@,DAL,8,W 27-13,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,9.0,9.0,,9.0
Shayne Graham,grahasha01,K,25.272,2003-09-07,NFL,CIN,4,,DEN,9,L 10-30,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,4.0
Bill Gramatica,gramabil01,K,25.059,2003-09-07,NFL,ARI,7,@,DET,10,L 24-42,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,6.0,6.0,,6.0
Jason Hanson,hansojas01,K,33.082,2003-09-07,NFL,DET,10,,ARI,7,W 42-24,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Hentrich,hentrcra01,P/K,32.111999999999995,2003-09-07,NFL,TEN,19,,OAK,27,W 25-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,10.0,10.0,,11.0
Sebastian Janikowski,janikseb01,K,25.189,2003-09-07,NFL,OAK,27,@,TEN,19,L 20-25,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,8.0,8.0,,10.0
John Kasay,kasayjoh01,K,33.315,2003-09-07,NFL,CAR,29,,JAX,30,W 24-23,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,5.0
Rian Lindell,linderia01,K,26.23,2003-09-07,NFL,BUF,2,,NEW,16,W 31-0,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,4.0,7.0,7.0,,8.0
Ryan Longwell,longwrya01,K,29.022,2003-09-07,NFL,GNB,11,,MIN,14,L 25-30,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,5.0,5.0,,5.0
Olindo Mare,marexoli01,K,30.093000000000004,2003-09-07,NFL,MIA,13,,HOU,32,L 20-21,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Marler,marleset01,K,22.164,2003-09-07,NFL,JAX,30,@,CAR,29,L 23-24,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,5.0,5.0,,6.0
Joe Nedney,nednejoe01,K,30.169,2003-09-07,NFL,TEN,19,,OAK,27,W 25-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,5.0,5.0,,5.0
Jeff Reed,reedxjef01,K,24.151,2003-09-07,NFL,PIT,21,,BAL,31,W 34-15,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,10.0,10.0,,10.0
Matt Stover,stovemat01,K,35.223,2003-09-07,NFL,BAL,31,@,PIT,21,L 15-34,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilkins,wilkijef01,K,31.141,2003-09-07,NFL,LAR,22,@,NYG,17,L 13-23,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,7.0,7.0,,7.0
Martin Gramatica,gramamar01,K,27.285,2003-09-08,NFL,TAM,25,@,PHI,20,W 17-0,1,1,Mon,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,5.0,5.0,,5.0
David Akers,akersdav01,K,28.279,2003-09-14,NFL,PHI,20,,NEW,16,L 10-31,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,6.0,6.0,,6.0
Morten Andersen,andermor01,K,43.026,2003-09-14,NFL,KAN,12,,PIT,21,W 41-20,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Anderson,andergar02,K,44.06,2003-09-14,NFL,TEN,19,@,IND,6,L 7-33,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Brien,briendou01,K,32.294000000000004,2003-09-14,NFL,NYJ,18,,MIA,13,L 10-21,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,4.0
Josh Brown,brownjos01,K,24.138,2003-09-14,NFL,SEA,24,@,ARI,7,W 38-0,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0,8.0,8.0,,8.0
Kris Brown,brownkri01,K,26.265,2003-09-14,NFL,HOU,32,@,NOR,15,L 10-31,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,4.0
John Carney,carnejoh01,K,39.147,2003-09-14,NFL,NOR,15,,HOU,32,W 31-10,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,4.0,7.0,7.0,,7.0
Jeff Chandler,chandjef01,K,24.088,2003-09-14,NFL,SFO,28,@,LAR,22,L 24-27,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,3.0,6.0,6.0,,6.0
Steve Christie,chrisste01,K,35.305,2003-09-14,NFL,LAC,23,,DEN,9,L 13-37,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,7.0,7.0,,7.0
Phil Dawson,dawsophi01,K,28.234,2003-09-14,NFL,CLE,5,@,BAL,31,L 13-33,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,7.0,7.0,,8.0
