Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
Olindo Mare,marexoli01,K,33.093,2006-09-07,NFL,MIA,13,@,PIT,21,L 17-28,1,1,Thu,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,5.0,5.0,,5.0
Jeff Reed,reedxjef01,K,27.151,2006-09-07,NFL,PIT,21,,MIA,13,W 28-17,1,1,Thu,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,4.0,4.0,,4.0
David Akers,akersdav01,K,31.275,2006-09-10,NFL,PHI,20,@,HOU,32,W 24-10,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,6.0,6.0,,7.0
Kris Brown,brownkri01,K,29.261,2006-09-10,NFL,HOU,32,,PHI,20,L 10-24,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,4.0
John Carney,carnejoh01,K,42.143,2006-09-10,NFL,NOR,15,@,CLE,5,W 19-14,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,1.0,13.0,13.0,,14.0
Phil Dawson,dawsophi01,K,31.23,2006-09-10,NFL,CLE,5,,NOR,15,L 14-19,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Elam,elamxjas01,K,36.186,2006-09-10,NFL,DEN,9,@,LAR,22,L 10-18,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,4.0,,5.0
Jay Feely,feelyjay01,K,30.11,2006-09-10,NFL,NYG,17,,IND,6,L 21-26,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,,3.0
Stephen Gostkowski,GostSt20,K,22.225,2006-09-10,NFL,NEW,16,,BUF,2,W 19-17,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,5.0,5.0,,5.0
Robbie Gould,gouldrob01,K,23.278000000000002,2006-09-10,NFL,CHI,3,@,GNB,11,W 26-0,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,2.0,14.0,14.0,,15.0
Shayne Graham,grahasha01,K,28.275,2006-09-10,NFL,CIN,4,@,KAN,12,W 23-10,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,11.0,11.0,,12.0
