Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
Chris Carr,CarrCh22,DB,22.131,2005-09-08,NFL,OAK,27,@,NEW,16,L 20-30,1,1,Thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,151.0,25.17,0.0,3.0,15.0,5.0,0.0,,,,,,,,
Tim Dwight,DwigTi00,WR,30.057,2005-09-08,NFL,NEW,16,,OAK,27,W 30-20,1,1,Thu,,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0,1.0,100.0%,5.0,0.0,,,,,,,,,,,,,,,,,,,4.0,44.0,11.0,0.0,,,,,6.5,7.5,7.5,7.0
Otis Amey,AmeyFr00,WR,23.281,2005-09-11,NFL,SFO,28,,LAR,22,W 28-25,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,17.0,0.0,1.0,75.0,75.0,1.0,,,,,,,,
Bernard Berrian,BerrBe00,WR,24.258000000000003,2005-09-11,NFL,CHI,3,@,WAS,26,L 7-9,1,1,Sun,,,,,,,,,,,,,,,,1.0,1.0,9.0,9.0,0.0,100.0%,9.0,,,,,,,,,,,,,,,,,,,,2.0,-3.0,-1.5,0.0,,,,,,,,
Antonio Brown,BrowAn01,WR,27.191999999999997,2005-09-11,NFL,WAS,26,,CHI,3,W 9-7,1,1,Sun,,,,,,,,,,,,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,16.0,0.0,2.0,5.0,2.5,0.0,,,,,,,,
Phillip Buchanon,BuchPh20,DB,24.357,2005-09-11,NFL,HOU,32,@,BUF,2,L 7-22,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.0,0.0,,0.0,,,,,,,,,,,,,1.0,6.0,6.0,0.0,,,,,,,,
Antonio Chatman,ChatAn00,WR,26.211,2005-09-11,NFL,GNB,11,@,DET,10,L 3-17,1,1,Sun,,,,,,,,,,,,,,,,4.0,1.0,11.0,11.0,0.0,25.0%,2.75,0.0,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,3.0,19.0,6.33,0.0,,,,,1.1,2.1,2.1,1.6
Nate Clements,ClemNa99,DB,25.273000000000003,2005-09-11,NFL,BUF,2,,HOU,32,W 22-7,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,2.0,19.0,9.5,0.0,,,,,,,,
Jerricho Cotchery,CotcJe00,WR,23.087,2005-09-11,NFL,NYJ,18,@,KAN,12,L 7-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,,,,,,,,
Patrick Crayton,CrayPa00,WR,26.156999999999996,2005-09-11,NFL,DAL,8,@,LAC,23,W 28-24,1,1,Sun,,,,,,,,,,,,,,,,6.0,6.0,89.0,14.83,1.0,100.0%,14.83,0.0,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,,,,,14.9,20.9,20.9,17.9
