Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
David Akers,akersdav01,K,26.274,2001-09-09,NFL,PHI,20,,LAR,22,L 17-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,7.0,7.0,,7.0
Stephen Alexander,AlexSt00,TE,25.305999999999997,2001-09-09,NFL,WAS,26,@,LAC,23,L 3-30,1,1,Sun,,,,,,,,,,,,,,,,6.0,2.0,23.0,11.5,0.0,33.3%,3.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.3,4.3,3.3
James Allen,AlleJa00,RB,26.165,2001-09-09,NFL,CHI,3,@,BAL,31,L 6-17,1,1,Sun,,,,,,,,,,,,21.0,43.0,2.05,0.0,9.0,8.0,32.0,4.0,0.0,88.9%,3.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,15.5,15.5,11.5
Terry Allen,AlleTe00,RB,33.2,2001-09-09,NFL,BAL,31,,CHI,3,W 17-6,1,1,Sun,,,,,,,,,,,,20.0,37.0,1.85,1.0,1.0,1.0,6.0,6.0,0.0,100.0%,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,9.3,10.3,8.8
Mike Alstott,AlstMi00,RB,27.261999999999997,2001-09-09,NFL,TAM,25,@,DAL,8,W 10-6,1,1,Sun,,,,,,,,,,,,5.0,12.0,2.4,0.0,6.0,4.0,15.0,3.75,0.0,66.7%,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,6.7,6.7,4.7
Gary Anderson,andergar02,K,42.055,2001-09-09,NFL,MIN,14,,CAR,29,L 13-24,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0
Jamal Anderson,AndeJa00,RB,28.344,2001-09-09,NFL,ATL,1,@,SFO,28,L 13-16,1,1,Sun,,,,,,,,,,,,26.0,86.0,3.31,1.0,2.0,1.0,8.0,8.0,0.0,50.0%,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,16.4,16.4,15.9
Richie Anderson,AndeRi00,RB,29.361,2001-09-09,NFL,NYJ,18,,IND,6,L 24-45,1,1,Sun,,,,,,,,,,,,2.0,21.0,10.5,0.0,6.0,6.0,53.0,8.83,1.0,100.0%,8.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,19.4,19.4,16.4
Jake Arians,arianjak01,K,23.226,2001-09-09,NFL,BUF,2,,NOR,15,L 6-24,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,6.0,6.0,,6.0
Obafemi Ayanbadejo,AyanOb00,RB,26.188000000000002,2001-09-09,NFL,BAL,31,,CHI,3,W 17-6,1,1,Sun,,,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,2.0,13.0,6.5,0.0,100.0%,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.5,3.5,2.5
