Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
Reggie Barlow,BarlRe00,WR,27.225,2000-09-03,NFL,JAX,30,@,CLE,5,W 27-7,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,24.0,0.0,3.0,17.0,5.67,0.0,,,,,,,,
Michael Bates,BateMi00,RB,30.259,2000-09-03,NFL,CAR,29,@,WAS,26,L 17-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,164.0,41.0,1.0,,,,,,,,,,,,
Dialleo Burks,BurkDi20,WR,26.058000000000003,2000-09-03,NFL,CAR,29,@,WAS,26,L 17-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,25.0,0.0,,,,,,,,,,,,
Tyrone Carter,CartTy20,DB,24.156,2000-09-03,NFL,MIN,14,,CHI,3,W 30-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,124.0,24.8,0.0,,,,,,,,,,,,
Mike Cloud,ClouMi00,RB,25.064,2000-09-03,NFL,KAN,12,,IND,6,L 14-27,1,1,Sun,,,,,,,,,,,,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,5.0,111.0,22.2,0.0,,,,,,,,,,,,
Laveranues Coles,ColeLa00,WR,22.249000000000002,2000-09-03,NFL,NYJ,18,@,GNB,11,W 20-16,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,41.0,20.5,0.0,,,,,,,,,,,,
Ron Dixon,DixoRo00,WR,24.098000000000003,2000-09-03,NFL,NYG,17,,ARI,7,W 21-16,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,2.0,27.0,13.5,0.0,,,,,,,,,,,,
Tim Dwight,DwigTi00,WR,25.052,2000-09-03,NFL,ATL,1,,SFO,28,W 36-28,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,74.0,24.67,0.0,2.0,21.0,10.5,0.0,,,,,,,,
Kevin Faulk,FaulKe00,RB,24.09,2000-09-03,NFL,NEW,16,,TAM,25,L 16-21,1,1,Sun,,,,,,,,,,,,10.0,21.0,2.1,0.0,14.0,11.0,62.0,5.64,0.0,78.6%,4.43,0.0,,,,,,,,,,,,,,,3.0,85.0,28.33,0.0,,,,,,,,,6.3,17.3,18.3,11.8
Aaron Glenn,GlenAa00,DB,28.049,2000-09-03,NFL,NYJ,18,@,GNB,11,W 20-16,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,,0.0,,,,,,,,,3.0,51.0,17.0,0.0,,,,,,,,,,,,
