"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Oregon",99,9,"True","True","Pac 12","Pac-12","Ducks","ORE","UO",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","https://cdn.usteamcolors.com/images/ncaa/division-1/oregon-ducks-logo.png","#004F39","#FBE021",
"Oregon St.",100,9,"True","True","Pac 12","Pac-12","Beavers","ORST","Oregon St","Oregon State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/204.png","https://cdn.usteamcolors.com/images/ncaa/division-1/oregon-state-beavers-logo.png","#DC4405","#000000",
"Stanford",101,9,"True","True","Pac 12","Pac-12","Cardinal","STAN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/24.png","https://cdn.usteamcolors.com/images/ncaa/division-1/stanford-cardinal-logo.png","#8C1515",,
"UCLA",102,9,"True","True","Pac 12","Pac-12","Bruins","UCLA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/26.png","https://cdn.usteamcolors.com/images/ncaa/division-1/ucla-bruins-logo.png","#2D68C4","#F2A900",
"USC",103,9,"True","True","Pac 12","Pac-12","Trojans","USC","Southern Cal","Southern California",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/30.png","https://cdn.usteamcolors.com/images/ncaa/division-1/usc-trojans-logo.png","#9D2235","#FFC72C",
"Utah",104,9,"True","True","Pac 12","Pac-12","Utes","UTAH",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/254.png","https://cdn.usteamcolors.com/images/ncaa/division-1/utah-utes-logo.png","#CC0000",,
"Washington",105,9,"True","True","Pac 12","Pac-12","Huskies","WASH","UW",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/264.png","https://cdn.usteamcolors.com/images/ncaa/division-1/washington-huskies-logo.png","#363C74","#E8D3A2",
"Washington St.",106,9,"True","True","Pac 12","Pac-12","Cougars","WSU","Washington St","Washington State","Wash. St.",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/265.png","https://cdn.usteamcolors.com/images/ncaa/division-1/washington-state-cougars-logo.png","#981E32","#53565A",
"Alabama",107,10,"True","True","Southeastern","SEC","Crimson Tide","ALA","BAMA",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png","https://cdn.usteamcolors.com/images/ncaa/division-1/alabama-crimson-tide-logo.png","#A60C31",,
"Arkansas",108,10,"True","True","Southeastern","SEC","Razorbacks","ARK",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/8.png","https://cdn.usteamcolors.com/images/ncaa/division-1/arkansas-razorbacks-logo.png","#9D2235",,
"Auburn",109,10,"True","True","Southeastern","SEC","Tigers","AUB",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2.png","https://cdn.usteamcolors.com/images/ncaa/division-1/auburn-tigers-logo.png","#F26522","#0C2340",
"Florida",110,10,"True","True","Southeastern","SEC","Gators","FLA","UF",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/57.png","https://cdn.usteamcolors.com/images/ncaa/division-1/florida-gators-logo.png","#FA4616","#003087",
"Georgia",111,10,"True","True","Southeastern","SEC","Bulldogs","UGA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/61.png","https://cdn.usteamcolors.com/images/ncaa/division-1/georgia-bulldogs-logo.png","#BA0C2F","#000000",
"Kentucky",112,10,"True","True","Southeastern","SEC","Wildcats","UK",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/96.png","https://cdn.usteamcolors.com/images/ncaa/division-1/kentucky-wildcats-logo.png","#0033A0",,
"LSU",113,10,"True","True","Southeastern","SEC","Tigers","LSU","Louisiana State","Louisiana St.","Louisiana St",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/99.png","https://cdn.usteamcolors.com/images/ncaa/division-1/lsu-tigers-logo.png","#461D7C","#FDD023",
"Mississippi St.",114,10,"True","True","Southeastern","SEC","Bulldogs","MSST","Mississippi St","Mississippi State","Miss St","Miss St.","Miss. St.",,,"https://a.espncdn.com/i/teamlogos/ncaa/500/344.png","https://cdn.usteamcolors.com/images/ncaa/division-1/mississippi-state-bulldogs-logo.png","#660000",,
"Missouri",115,10,"True","True","Southeastern","SEC","Tigers","MIZ","MIZZ",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/142.png","https://cdn.usteamcolors.com/images/ncaa/division-1/missouri-tigers-logo.png","#C69214","#2C2A29",
"Ole Miss",116,10,"True","True","Southeastern","SEC","Rebels","MISS","Mississippi",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/145.png","https://cdn.usteamcolors.com/images/ncaa/division-1/ole-miss-rebels-logo.png","#CE1126","#14213D",
"South Carolina",117,10,"True","True","Southeastern","SEC","Gamecocks","SC","SCAR","S Carolina","S. Carolina",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-carolina-gamecocks-logo.png","#73000A","#000000",
"Tennessee",118,10,"True","True","Southeastern","SEC","Volunteers","TENN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","https://cdn.usteamcolors.com/images/ncaa/division-1/tennessee-volunteers-logo.png","#FF8200",,
"Texas A&M",119,10,"True","True","Southeastern","SEC","Aggies","TAMU","Texas A&M",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/245.png","https://cdn.usteamcolors.com/images/ncaa/division-1/texas-am-aggies-logo.png","#500000",,
"Vanderbilt",120,10,"True","True","Southeastern","SEC","Commodores","VAN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/238.png","https://cdn.usteamcolors.com/images/ncaa/division-1/vanderbilt-commodores-logo.png","#000000","#A8996E",
"Appalachian St.",121,11,"True","False","Sun Belt","Sun Belt","Mountaineers","APP","Appalachian St","App State","Appalachian","Appalachian State","App St","App St.","App. St.","https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","https://cdn.usteamcolors.com/images/ncaa/division-1/appalachian-state-mountaineers-logo.png","#222222","#FFCC00",
"Arkansas St.",122,11,"True","False","Sun Belt","Sun Belt","Red Wolves","ARST","Arkansas St","AKST","Arkansas State",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png","https://cdn.usteamcolors.com/images/ncaa/division-1/arkansas-state-red-wolves-logo.png","#CC092F","#000000",
"Coastal Carolina",123,11,"True","False","Sun Belt","Sun Belt","Chanticleers","CCU","C. Carolina","Coast Carolina","Coastal Caro.",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/324.png","https://cdn.usteamcolors.com/images/ncaa/division-1/coastal-carolina-chanticleers-logo.png","#006F71","#A27752","#111111"
"Georgia Southern",124,11,"True","False","Sun Belt","Sun Belt","Eagles","GASO","Ga Southern","Ga. Southern",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/290.png","https://cdn.usteamcolors.com/images/ncaa/division-1/georgia-southern-eagles-logo.png","#011E41",,
"Georgia St.",125,11,"True","False","Sun Belt","Sun Belt","Panthers","GAST","GSU","Georgia St","Georgia State",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png","https://cdn.usteamcolors.com/images/ncaa/division-1/georgia-state-panthers-logo.png","#0039A6",,
"Louisiana",126,11,"True","False","Sun Belt","Sun Belt","Ragin’ Cajuns","ULL","Louisiana Lafayette","Louisiana-Lafayette","UL-Lafayette",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/309.png","https://cdn.usteamcolors.com/images/ncaa/division-1/louisiana-ragin-cajuns-logo.png","#CE181E",,
"South Alabama",127,11,"True","False","Sun Belt","Sun Belt","Jaguars","USA","S Alabama","S. Alabama",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/6.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-alabama-jaguars-logo.png","#BF0D3E","#00205B",
"Texas St.",128,11,"True","False","Sun Belt","Sun Belt","Bobcats","TXST","Texas St","Texas State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/326.png","https://cdn.usteamcolors.com/images/ncaa/division-1/texas-state-bobcats-logo.png","#501214","#8D734A",
"Troy",129,11,"True","False","Sun Belt","Sun Belt","Trojans","TROY","Troy St.","Troy St","Troy State",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png","https://cdn.usteamcolors.com/images/ncaa/division-1/troy-trojans-logo.png","#6D0017","#B2B3B5","#000000"
"UL Monroe",130,11,"True","False","Sun Belt","Sun Belt","Warhawks","ULM","Louisiana Monroe","Louisiana-Monroe","La-Monroe","LA-Monroe","Louisiana–Monroe","UL-Monroe",,"https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png","https://cdn.usteamcolors.com/images/ncaa/division-1/louisiana-monroe-warhawks-logo.png","#800029","#BD955A",
"Cal Poly",131,12,"False","False","Big Sky","Big Sky","Mustangs","CP","Cal Poly-San Luis Obispo",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/13.png","https://cdn.usteamcolors.com/images/ncaa/division-1/cal-poly-mustangs-logo.png","#003831","#B38F4F","#FFE395"
"Eastern Washington",132,12,"False","False","Big Sky","Big Sky","Eagles","EWU","E Washington","Eastern Washington Eagles","E. Washington","East. Washington","East Washington",,,"https://a.espncdn.com/i/teamlogos/ncaa/500/331.png","https://cdn.usteamcolors.com/images/ncaa/division-1/eastern-washington-eagles-logo.png","#A10022",,
"Idaho",133,12,"False","False","Big Sky","Big Sky","Vandals","IDHO",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/70.png","https://cdn.usteamcolors.com/images/ncaa/division-1/idaho-vandals-logo.png","#808080","#B3A369",
"Idaho State",134,12,"False","False","Big Sky","Big Sky","Bengals","IDST","Idaho St","Idaho St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/304.png","https://cdn.usteamcolors.com/images/ncaa/division-1/idaho-state-bengals-logo.png","#F47920","#000000",
"Montana",135,12,"False","False","Big Sky","Big Sky","Grizzlies","MONT",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/149.png","https://cdn.usteamcolors.com/images/ncaa/division-1/montana-grizzlies-logo.png","#660033","#999999",
"Montana State",136,12,"False","False","Big Sky","Big Sky","Bobcats","MTST","Montana St","Montana St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/147.png","https://cdn.usteamcolors.com/images/ncaa/division-1/montana-state-bobcats-logo.png","#00205B","#BF995B",
"Northern Arizona",137,12,"False","False","Big Sky","Big Sky","Lumberjacks","NAU","N Arizona",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png","https://cdn.usteamcolors.com/images/ncaa/division-1/northern-arizona-lumberjacks-logo.png","#003466","#FFD200",
"Northern Colorado",138,12,"False","False","Big Sky","Big Sky","Bears","UNCO","N Colorado",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png","https://cdn.usteamcolors.com/images/ncaa/division-1/northern-colorado-bears-logo.png","#013C65","#F6B000",
"Portland State",139,12,"False","False","Big Sky","Big Sky","Vikings","PRST","Portland St","Portland St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png","https://cdn.usteamcolors.com/images/ncaa/division-1/portland-state-vikings-logo.png","#154734","#A5ACAF",
"Sacramento State",140,12,"False","False","Big Sky","Big Sky","Hornets","SAC","Sacramento St","Sacramento St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/16.png","https://cdn.usteamcolors.com/images/ncaa/division-1/sacramento-state-hornets-logo.png","#043927","#C4B581",
"Southern Utah",141,12,"False","False","Big Sky","Big Sky","Thunderbirds","SUU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/253.png","https://cdn.usteamcolors.com/images/ncaa/division-1/southern-utah-thunderbirds-logo.png","#C41425","#000000",
"UC Davis",142,12,"False","False","Big Sky","Big Sky","Aggies","UCD","California-Davis","UC-Davis",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/302.png","https://cdn.usteamcolors.com/images/ncaa/division-1/uc-davis-aggies-logo.png","#002855","#B3A369",
"Weber State",143,12,"False","False","Big Sky","Big Sky","Wildcats","WEB","Weber St","Weber St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png","https://cdn.usteamcolors.com/images/ncaa/division-1/weber-state-wildcats-logo.png","#4B2682",,
"Campbell",144,13,"False","False","Big South","Big South","Fighting Camels","CAMP",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png","https://cdn.usteamcolors.com/images/ncaa/division-1/campbell-fighting-camels-logo.png","#E87722","#000000",
"Charleston Southern",145,13,"False","False","Big South","Big South","Buccaneers","CHSO","Charleston So",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png","https://cdn.usteamcolors.com/images/ncaa/division-1/charleston-southern-buccaneers-logo.png","#002855","#A89968",
"Gardner-Webb",146,13,"False","False","Big South","Big South","Bulldogs","WEBB",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png","https://cdn.usteamcolors.com/images/ncaa/division-1/gardner-webb-runnin-bulldogs-logo.png","#A6192E","#000000",
"Hampton",147,13,"False","False","Big South","Big South","Pirates","HAMP",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png","https://cdn.usteamcolors.com/images/ncaa/division-1/hampton-pirates-logo.png","#265198",,
"Kennesaw State",148,13,"False","False","Big South","Big South","Owls","KENN","Kennesaw St","Kennesaw St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/338.png","https://cdn.usteamcolors.com/images/ncaa/division-1/kennesaw-state-owls-logo.png","#0B1315","#FDBB30",
"Monmouth",149,13,"False","False","Big South","Big South","Hawks","MONM","Monmouth (NJ)",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png","https://cdn.usteamcolors.com/images/ncaa/division-1/monmouth-hawks-logo.png","#041E42",,
"North Alabama",150,13,"False","False","Big South","Big South","Lions",,,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png","https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/North_Alabama_Lions_logo.svg/1920px-North_Alabama_Lions_logo.svg.png","#46166B","#DB9F11","#5F6062"
"Presbyterian",151,13,"False","False","Big South","Big South","Blue Hose","PRE","Presbyterian College",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png","https://cdn.usteamcolors.com/images/ncaa/division-1/presbyterian-blue-hose-logo.png","#0060A9","#9D2235",
"Albany",152,14,"False","False","Colonial Athletic","CAA","Great Danes","ALBY","Albany (NY)",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/399.png","https://cdn.usteamcolors.com/images/ncaa/division-1/albany-great-danes-logo.png","#46166B","#EEB211",
"Delaware",153,14,"False","False","Colonial Athletic","CAA","Blue Hens","DEL",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/48.png","https://cdn.usteamcolors.com/images/ncaa/division-1/delaware-fightin-blue-hens-logo.png","#00539F","#FFD200",
"Elon",154,14,"False","False","Colonial Athletic","CAA","Phoenix","ELON",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png","https://cdn.usteamcolors.com/images/ncaa/division-1/elon-phoenix-logo.png","#73000A","#B59A57",
"James Madison",155,14,"False","False","Colonial Athletic","CAA","Dukes","JMU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png","https://cdn.usteamcolors.com/images/ncaa/division-1/james-madison-dukes-logo.png","#450084","#CBB677",
"Maine",156,14,"False","False","Colonial Athletic","CAA","Black Bears","MAINE",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/311.png","https://cdn.usteamcolors.com/images/ncaa/division-1/maine-black-bears-logo.png","#B0D7FF",,
"New Hampshire",157,14,"False","False","Colonial Athletic","CAA","Wildcats","UNH",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/160.png","https://cdn.usteamcolors.com/images/ncaa/division-1/new-hampshire-wildcats-logo.png","#001D52",,
"Rhode Island",158,14,"False","False","Colonial Athletic","CAA","Rams","URI",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/227.png","https://cdn.usteamcolors.com/images/ncaa/division-1/rhode-island-rams-logo.png","#75B2DD","#002147",
"Richmond",159,14,"False","False","Colonial Athletic","CAA","Spiders","RICH",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/257.png","https://cdn.usteamcolors.com/images/ncaa/division-1/richmond-spiders-logo.png","#C32032","#002B5E",
"Stony Brook",160,14,"False","False","Colonial Athletic","CAA","Seawolves","STON",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png","https://cdn.usteamcolors.com/images/ncaa/division-1/stony-brook-seawolves-logo.png","#990000","#16243E",
"Towson",161,14,"False","False","Colonial Athletic","CAA","Tigers","TOWS",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/119.png","https://cdn.usteamcolors.com/images/ncaa/division-1/towson-tigers-logo.png","#000000","#FFCC00",
"Villanova",162,14,"False","False","Colonial Athletic","CAA","Wildcats","NOVA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/222.png","https://cdn.usteamcolors.com/images/ncaa/division-1/villanova-wildcats-logo.png","#002664",,
"William & Mary",163,14,"False","False","Colonial Athletic","CAA","Tribe","W&M",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png","https://cdn.usteamcolors.com/images/ncaa/division-1/william-mary-tribe-logo.png","#115740","#F0B323","#D0D3D4"
"North Dakota",164,15,"False","False","Independent (FCS)","Ind (FCS)","Fighting Hawks","UND",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/155.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-dakota-fighting-hawks-logo.png","#009A44",,
"Brown",165,16,"False","False","Ivy League","Ivy","Bears","BRWN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/225.png","https://cdn.usteamcolors.com/images/ncaa/division-1/brown-bears-logo.png","#381C00","#E4002B",
"Columbia",166,16,"False","False","Ivy League","Ivy","Lions","CLMB",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/171.png","https://cdn.usteamcolors.com/images/ncaa/division-1/columbia-lions-logo.png","#99CAEA",,
"Cornell",167,16,"False","False","Ivy League","Ivy","Big Red","COR",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/172.png","https://cdn.usteamcolors.com/images/ncaa/division-1/cornell-big-red-logo.png","#B31B1B",,
"Dartmouth",168,16,"False","False","Ivy League","Ivy","Big Green","DART",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/159.png","https://cdn.usteamcolors.com/images/ncaa/division-1/dartmouth-big-green-logo.png","#005F2F",,
"Harvard",169,16,"False","False","Ivy League","Ivy","Crimson","HARV",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/108.png","https://cdn.usteamcolors.com/images/ncaa/division-1/harvard-crimson-logo.png","#A51C30","#1E1E1E",
"Penn",170,16,"False","False","Ivy League","Ivy","Quakers","PENN","Pennsylvania",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/219.png","https://cdn.usteamcolors.com/images/ncaa/division-1/penn-quakers-logo.png","#990000","#011F5b",
"Princeton",171,16,"False","False","Ivy League","Ivy","Tigers","PRIN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/163.png","https://cdn.usteamcolors.com/images/ncaa/division-1/princeton-tigers-logo.png","#FF6000","#000000",
"Yale",172,16,"False","False","Ivy League","Ivy","Bulldogs","YALE",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/43.png","https://cdn.usteamcolors.com/images/ncaa/division-1/yale-bulldogs-logo.png","#00356B",,
"Bethune-Cookman",173,17,"False","False","Mid-Eastern Atheltic","MEAC","Wildcats","COOK",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png","https://cdn.usteamcolors.com/images/ncaa/division-1/bethune-cookman-wildcats-logo.png","#6F263D","#F2A900",
"Delaware State",174,17,"False","False","Mid-Eastern Atheltic","MEAC","Hornets","DSU","Delaware St","Delaware St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png","https://cdn.usteamcolors.com/images/ncaa/division-1/delaware-state-hornets-logo.png","#EE3124","#0099CC",
"Florida A&M",175,17,"False","False","Mid-Eastern Atheltic","MEAC","Rattlers","FAMU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/50.png","https://cdn.usteamcolors.com/images/ncaa/division-1/florida-am-rattlers-logo.png","#F4811F","#008344",
"Howard",176,17,"False","False","Mid-Eastern Atheltic","MEAC","Bison","HOW",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/47.png","https://cdn.usteamcolors.com/images/ncaa/division-1/howard-bison-logo.png","#003A63",,
"Morgan State",177,17,"False","False","Mid-Eastern Atheltic","MEAC","Bears","MORG","Morgan St","Morgan St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png","https://cdn.usteamcolors.com/images/ncaa/division-1/morgan-state-bears-logo.png","#002D74","#FF4E00",
"Norfolk State",178,17,"False","False","Mid-Eastern Atheltic","MEAC","Spartans","NORF","Norfolk St","Norfolk St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png","https://cdn.usteamcolors.com/images/ncaa/division-1/norfolk-state-spartans-logo.png","#007A53","#F2A900",
"North Carolina A&T",179,17,"False","False","Mid-Eastern Atheltic","MEAC","Aggies","NCAT","N Carolina A&T","NC A&T",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-carolina-at-aggies-logo.png","#004684","#FDB927",
"North Carolina Central",180,17,"False","False","Mid-Eastern Atheltic","MEAC","Eagles","NCCU","NC Central",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-carolina-central-eagles-logo.png","#862633","#898D8D",
"South Carolina State",181,17,"False","False","Mid-Eastern Atheltic","MEAC","Bulldogs","SCST","S Carolina St","S. Carolina St.","S Carolina St.","South Carolina St.","South Carolina St",,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-carolina-state-bulldogs-logo.png","#841A2B","#1E4692",
"Illinois State",182,18,"False","False","Missouri Valley","MVC","Redbirds","ILST","Illinois St","Illinois St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png","https://cdn.usteamcolors.com/images/ncaa/division-1/illinois-state-redbirds-logo.png","#CE1126",,
"Indiana State",183,18,"False","False","Missouri Valley","MVC","Sycamores","INST","Indiana St","Indiana St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/282.png","https://cdn.usteamcolors.com/images/ncaa/division-1/indiana-state-sycamores-logo.png","#0142BC",,
"Missouri State",184,18,"False","False","Missouri Valley","MVC","Bears","MOST","Missouri St","Missouri St.","SW Missouri St.","SW Missouri St","SW Missouri State",,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png","https://cdn.usteamcolors.com/images/ncaa/division-1/missouri-state-bears-logo.png","#5E0009",,
"North Dakota State",185,18,"False","False","Missouri Valley","MVC","Bison","NDSU","North Dakota St","North Dakota St.","N Dakota St",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-dakota-state-bison-logo.png","#FFC82E","#005643",
"Northern Iowa",186,18,"False","False","Missouri Valley","MVC","Panthers","UNI","N Iowa",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png","https://cdn.usteamcolors.com/images/ncaa/division-1/northern-iowa-panthers-logo.png","#4B116F","#FFCC00",
"South Dakota",187,18,"False","False","Missouri Valley","MVC","Coyotes","SDAK","S Dakota",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/233.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-dakota-coyotes-logo.png","#AD0000",,
"South Dakota State",188,18,"False","False","Missouri Valley","MVC","Jackrabbits","SDSU","SDKST","South Dakota St","South Dakota State","S Dakota St","South Dakota St.",,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-dakota-state-jackrabbits-logo.png","#FFD100","#0032A0",
"Southern Illinois",189,18,"False","False","Missouri Valley","MVC","Salukis","SIU","S Illinois",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/79.png","https://cdn.usteamcolors.com/images/ncaa/division-1/southern-illinois-salukis-logo.png","#720000",,
"Western Illinois",190,18,"False","False","Missouri Valley","MVC","Leathernecks","WIU","W Illinois","W. Illinois","West Illinois","West. Illinois",,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png","https://cdn.usteamcolors.com/images/ncaa/division-1/western-illinois-leathernecks-logo.png","#663399","#FFCC00",
"Youngstown State",191,18,"False","False","Missouri Valley","MVC","Penguins","YSU","Youngstown St","Youngstown St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png","https://cdn.usteamcolors.com/images/ncaa/division-1/youngstown-state-penguins-logo.png","#C8102E",,
"Bryant",192,19,"False","False","Northeast","NEC","Bulldogs","BRY",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png","https://cdn.usteamcolors.com/images/ncaa/division-1/bryant-bulldogs-logo.png","#231F20","#B09863",
"Central Connecticut",193,19,"False","False","Northeast","NEC","Blue Devils","CCSU","Cent Conn St","Central CT St","Central Connecticut St.","Central Connecticut State",,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png","https://cdn.usteamcolors.com/images/ncaa/division-1/central-connecticut-blue-devils-logo.png","#1A4784",,
"Duquesne",194,19,"False","False","Northeast","NEC","Dukes","DUQ",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png","https://cdn.usteamcolors.com/images/ncaa/division-1/duquesne-dukes-logo.png","#D31245","#091F40",
"Long Island",195,19,"False","False","Northeast","NEC","Sharks","LIU","LIU","LIU Post",,,,,,"https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/LIU_Sharks_logo.svg/1200px-LIU_Sharks_logo.svg.png","https://cdn.usteamcolors.com/images/ncaa/division-1/liu-brooklyn-blackbirds-logo.png","#231F20","#8A8D8F",
"Merrimack",196,19,"False","False","Northeast","NEC","Warriors","MER",,,,,,,,"https://merrimackathletics.com/images/logos/site/site.png","https://cdn.usteamcolors.com/images/ncaa/division-2/merrimack-warriors-logo.png","#0B335E","#FAB20B",
"Robert Morris (PA)",197,19,"False","False","Northeast","NEC","Colonials","RMU","Robert Morris",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png","https://cdn.usteamcolors.com/images/ncaa/division-1/robert-morris-colonials-logo.png","#14234B","#A6192E",
"Sacred Heart",198,19,"False","False","Northeast","NEC","Pioneers","SHU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png","https://cdn.usteamcolors.com/images/ncaa/division-1/sacred-heart-pioneers-logo.png","#CD1041",,
"St. Francis (PA)",199,19,"False","False","Northeast","NEC","Red Flash","SFU","St Francis (PA)",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png","https://cdn.usteamcolors.com/images/ncaa/division-1/saint-francis-red-flash-logo.png","#BD1F25",,
