conference,icon_url,school,teamABBR,teamID
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BUFF.png,Buffalo,BUFF,196088
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ISU.png,Iowa State,ISU,153603
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MUO.png,Miami (OH),MUO,204024
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NIU.png,Northern Illinois,NIU,147703
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UNC.png,North Carolina,UNC,199120
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/GT.png,Georgia Tech,GT,139755
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NAVY.png,Navy,NAVY,164155
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/VT.png,Virginia Tech,VT,233921
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/LT.png,Louisiana Tech,LT,159647
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/OU.png,Oklahoma,OU,207500
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TCU.png,TCU,TCU,228875
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/LOU.png,Louisville,LOU,157289
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UAB.png,UAB,UAB,100663
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ARK.png,Arkansas,ARK,106397
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UNM.png,New Mexico,UNM,187985
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WSU.png,Washington State,WSU,236939
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TEM.png,Temple,TEM,216339
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/OKST.png,Oklahoma State,OKST,207388
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/VAN.png,Vanderbilt,VAN,221999
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UTEP.png,UTEP,UTEP,228796
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ORST.png,Oregon State,ORST,209542
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CAL.png,California,CAL,110635
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/AKR.png,Akron,AKR,200800
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/KST.png,Kent State,KST,203517
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MEM.png,Memphis,MEM,220862
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UGA.png,Georgia,UGA,139959
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/SMU.png,Southern Methodist,SMU,228246
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/RUTG.png,Rutgers,RUTG,186380
Ind.,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BYU.png,Brigham Young,BYU,230038
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BALL.png,Ball State,BALL,150136
Ind.,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ND.png,Notre Dame,ND,152080
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/DUKE.png,Duke,DUKE,198419
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/COLO.png,Colorado,COLO,126614
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MSST.png,Mississippi State,MSST,176080
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ODU.png,Old Dominion,ODU,232982
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MRSH.png,Marshall,MRSH,237525
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BGSU.png,Bowling Green,BGSU,201441
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UCLA.png,UCLA,UCLA,110662
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/AUB.png,Auburn,AUB,100858
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/EMU.png,Eastern Michigan,EMU,169798
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TAM.png,Texas AM,TAM,228723
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UNT.png,North Texas,UNT,227216
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NEV.png,Nevada,NEV,182290
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BSU.png,Boise State,BSU,142115
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NCST.png,North Carolina State,NCST,199193
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UNLV.png,UNLV,UNLV,182281
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MIA.png,Miami (FL),MIA,135726
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/USC.png,USC,USC,123961
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/IDAH.png,Idaho,IDAH,142285
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UTAH.png,Utah,UTAH,230764
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UVA.png,Virginia,UVA,234076
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/AZST.png,Arizona State,AZST,104151
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/OSU.png,Ohio State,OSU,204796
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ULL.png,Louisiana-Lafayette,ULL,160658
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/FIU.png,Florida International,FIU,133951
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/PUR.png,Purdue,PUR,243780
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/GASO.png,Georgia Southern,GASO,139931
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/HAW.png,Hawaii,HAW,141574
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UK.png,Kentucky,UK,157085
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/PSU.png,Penn State,PSU,214777
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NEB.png,Nebraska,NEB,181464
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NMSU.png,New Mexico State,NMSU,188030
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WIS.png,Wisconsin,WIS,240444
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ALA.png,Alabama,ALA,100751
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WKY.png,Western Kentucky,WKY,157951
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/HOU.png,Houston,HOU,225511
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/FRES.png,Fresno State,FRES,110556
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WMU.png,Western Michigan,WMU,172699
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/KSU.png,Kansas State,KSU,155399
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TENN.png,Tennessee,TENN,221759
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TTU.png,Texas Tech,TTU,229115
