School,Hex1,RGB1,Hex2,RGB2,Hex3,RGB3,Hex4,RGB4
New Mexico State,#A30046,"163,0,70",#ABABAB,"255,255,255",#000000,"0,0,0",,
North Carolina,#99BFE5,"153,191,229",#00275D,"0,39,93",,,,
North Texas,#00883F,"0,136,63",#000000,"0,0,0",,,,
Northern Illinois,#E0144C,"224,20,76",#B3B5B8,"179,181,184",#000000,"0,0,0",,
Northwestern,#431F81,"67,31,129",#000000,"0,0,0",,,,
Notre Dame,#032D56,"3,45,86",#9D8839,"157,136,57",#298C21,"41,140,33",#FFCE00,"255,206,0"
Ohio,#035B45,"3,91,69",#E1BB88,"225,187,136",#000000,"0,0,0",,
Ohio State,#CC191C,"204,25,28",#979BA4,"151,155,164",#000000,"0,0,0",,
Oklahoma,#980C08,"152,12,8",,,,,,
Oklahoma State,#FF9900,"255,153,0",#FF7300,"255,115,0",#000000,"0,0,0",,
Old Dominion,#003057,"0,48,87",#7c878e,"124,135,142",#92c1e9,"146,193,233",,
Oregon,#004E27,"0,78,39","#FCE012- rgb(252, 224, 18)","252,224,18",,,,
Oregon State,#C34500,"195,69,0",#F37421,"243,116,33",#000000,"0,0,0",,
Penn State,#002D61,"0,45,97",#FFFFFF,"255,255,255",,,,
Pittsburgh,"#002D62 -rgb(0, 45, 98)","0,45,98",#CDB87C,"205,184,124",,,,
Purdue,#CEB888,"206,184,136",#B2B1AC,"178,177,172",#000000,"0,0,0",,
Rice,#1F3C73,"31,60,115",#BABCBE,"186,188,190",,,,
Rutgers,#CC0033,"204,0,51",#000000,"0,0,0",,,,
San Diego State,#BF2C37,"191,44,55","#AE9A5A -rgb(174, 154, 90)","174,154,90",#000000,"0,0,0",,
San Jose State,#0055A2,"0,85,162",#FEBF57,"254,191,87",#4D8FCC,"77,143,204",#FFD51F,"255,213,31"
Smu,#D51309,"213,19,9",#1E3C9B,"30,60,155",,,,
South Alabama,#E01E50,"224,30,80",#023F80,"2,63,128",,,,
South Carolina,#98012E,"152,1,46",#000000,"0,0,0",,,,
South Florida,#005941,"0,89,65",#CDB77C,"205,183,124",,,,
Southern Miss,#FFD046,"255,208,70",#000000,"0,0,0",,,,
Stanford,#9A0000,"154,0,0",#007B64,"0,123,100",,,,
Syracuse,#F47C30,"244,124,48",#002E62,"0,46,98",,,,
Tcu,#502E84,"80,46,132",#E8E9EA,"232,233,234",#000000,"0,0,0",,
Temple,#950E30,"149,14,48",#F7E820,"247,232,32",#000000,"0,0,0",#C2C3C3,"194,195,195"
Tennessee,#FF8200,"255,130,0",,,,,,
Texas,#C96601,"201,102,1",#000000,"0,0,0",,,,
Texas Am,#500000,"80,0,0",#FFFFFF,"255,255,255",,,,
Texas State,#551D1C,"85,29,28",#8D734A,"141,115,74",,,,
Texas Tech,#CC0000,"204,0,0",#000000,"0,0,0",,,,
Toledo,#15397F,"21,57,127",#FFDA00,"255,218,0",,,,
Troy,#9E0531,"158,5,49","#919191- rgb(145, 145, 145)","145,145,145",#000000,"0,0,0",,
Tulane,#005837,"0,88,55",#00A3D6,"0,163,214",#6FA397,"111,163,151",#999B9E,"153,155,158"
Tulsa,#00347D,"0,52,125",#EB2A21,"235,42,33",,,,
UAB,#1E6B52,"30,107,82",#F4C300,"244,195,0",,,,
Ucf,#B79A62,"183,154,98",#B9BABE,"185,186,190",#000000,"0,0,0",,
Ucla,#0080C1,"0,128,193",#FFC138,"255,193,56",,,,
Umass,#881C1C,"136,28,28",#D8D9DB,"216,217,219",#000000,"0,0,0",,
Unlv,#D40026,"212,0,38",#CCCCCC,"204,204,204",#000000,"0,0,0",,
Usc,#A61E36,"166,30,54",#FEC52E,"254,197,46",,,,
Utah,#CC0000,"204,0,0",#000000,"0,0,0",,,,
Utah State,#0F2439,"15,36,57",#9D968D,"157,150,141",,,,
Utep,#00285E,"0,40,94",#F47A3F,"244,122,63",#8E8E91,"142,142,145",,
Utsa,#002A5C,"0,42,92",#F47321,"244,115,33",,,,
Vanderbilt,#BA8C0C,"186,140,12",#000000,"0,0,0",,,,
Virginia,#F3632A,"243,99,42",#002654,"0,38,84",,,,
Virginia Tech,#660000,"102,0,0",#FF6600,"255,102,0",,,,
Wake Forest,#9B7D37,"155,125,55",#000000,"0,0,0",,,,
Washington,#3F366A,"63,54,106",#ECDCA8,"236,220,168",,,,
Washington State,#A80532,"168,5,50",#A7A9AC,"167,169,172",,,,
West Virginia,#002854,"0,40,84",#EAAA00,"234,170,0",,,,
Western Kentucky,#C4023C,"196,2,60",#A8A8A8,"168,168,168",#000000,"0,0,0",,
Western Michigan,#9B844A,"155,132,74",#7D4808,"125,72,8",#000000,"0,0,0",,
Wisconsin,#CF1216,"207,18,22",#000000,"0,0,0",,,,
Wyoming,#523528,"82,53,40",#FEC524,"254,197,36",,,,
