birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
,,2475,Corey Bell,http://www.gannett-cdn.com/media/None,Florida Atlantic,,FAU
,,377,Kerry Coombs,http://www.gannett-cdn.com/media/None,Ohio State,,OSU
,,2429,Dale Jones,http://www.gannett-cdn.com/media/None,Appalachian State,,APP
,,614,Marion Hobby,http://www.gannett-cdn.com/media/None,Clemson,,CLEM
,,2601,James Adams,http://www.gannett-cdn.com/media/None,Charlotte,,CHA
,,783,Jim Mastro,http://www.gannett-cdn.com/media/None,Washington State,,WSU
,,936,Sam Pittman,http://www.gannett-cdn.com/media/None,Georgia,,UGA
,,2869,Tyler Santucci,http://www.gannett-cdn.com/media/None,Texas State,,TXST
,,1030,Galen Scott,http://www.gannett-cdn.com/media/None,Virginia Tech,,VT
,,778,Demetrice Martin,http://www.gannett-cdn.com/media/None,UCLA,,UCLA
,,1148,Rick Trickett,http://www.gannett-cdn.com/media/None,Florida State,,FSU
,,2524,Zach Arnett,http://www.gannett-cdn.com/media/None,San Diego State,,SDSU
,,2608,Terry Fair,http://www.gannett-cdn.com/media/None,Colorado State,,CSU
,,2444,Sean Saturnio,http://www.gannett-cdn.com/media/None,Army,,ARMY
,,564,Mark Hagen,http://www.gannett-cdn.com/media/None,Indiana,,IU
,,2042,Ron Antoine,http://www.gannett-cdn.com/media/None,Texas State,,TXST
,,228,Scott Baumgartner,http://www.gannett-cdn.com/media/None,New Mexico,,UNM
,,1124,Bruce Tall,http://www.gannett-cdn.com/media/None,West Virginia,,WVU
,,2307,Adam Fuller,http://www.gannett-cdn.com/media/None,Marshall,,MRSH
,,1088,Joe Speed,http://www.gannett-cdn.com/media/None,Georgia Tech,,GT
,,2915,Zak Hill,http://www.gannett-cdn.com/media/None,Boise State,,BSU
,,703,Chris Klenakis,http://www.gannett-cdn.com/media/None,Louisville,,LOU
,,2136,Donte Pimpleton,http://www.gannett-cdn.com/media/None,South Florida,,USF
,,1114,Mike Summers,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,1463,Justin Frye,http://www.gannett-cdn.com/media/None,Boston College,,BC
,,2782,DeShaun Foster,http://www.gannett-cdn.com/media/None,Texas Tech,,TTU
,,1151,Ilaisa Tuiaki,http://www.gannett-cdn.com/media/None,Brigham Young,,BYU
,,2840,Manny Michel,http://www.gannett-cdn.com/media/None,Louisiana-Monroe,,ULM
,,1279,Terrence Samuel,http://www.gannett-cdn.com/media/None,Michigan State,,MSU
,,827,Ben Miller,http://www.gannett-cdn.com/media/None,Air Force,,AFA
,,1564,Mark Spencer,http://www.gannett-cdn.com/media/None,Kent State,,KENT
,,865,Johnny Nansen,http://www.gannett-cdn.com/media/None,USC,,USC
,,1004,Chris Rumph,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,296,Kermit Buggs,http://www.gannett-cdn.com/media/None,Old Dominion,,ODU
,,2332,Telly Lockette,http://www.gannett-cdn.com/media/None,Oregon State,,ORST
,,1437,Archie McDaniel,http://www.gannett-cdn.com/media/None,Southern Methodist,,SMU
,,272,Jim Bridge,http://www.gannett-cdn.com/media/None,Duke,,DUKE
,,2188,Brian Ferentz,http://www.gannett-cdn.com/media/None,Iowa,,IOWA
,,2780,Joe Jon Finley,http://www.gannett-cdn.com/media/None,Missouri,,MIZZ
,,96,Randy Shannon,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,234,Tim Beck,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tim_beck_s.jpg,Ohio State,,OSU
,,397,Chris Culton,http://www.gannett-cdn.com/media/None,Navy,,NAVY
,,2947,Aaron Henry,http://www.gannett-cdn.com/media/None,Rutgers,,RUTG
