Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2017-09-08, Memphis, UCF, +3.0, -3.0, +68.5
2017-09-08, Ohio, Purdue, +3.0, -3.0, +55.0
2017-09-08, Oklahoma State, South Alabama, -28.0, +28.0, +67.5
2017-09-08, Alcorn State, FIU, +19.0, -19.0, +0.0
2017-09-09, Memphis, UCF, +3.0, -3.0, +0.0
2017-09-09, USF, UConn, -17.0, +17.0, +66.0
2017-09-09, UL Monroe, FSU, +34.0, -34.0, +53.0
2017-09-09, Cent Michigan, Kansas, +3.5, -3.5, +57.0
2017-09-09, Nebraska, Oregon, +10.5, -10.5, +69.0
2017-09-09, FAU, Wisconsin, +34.0, -34.0, +59.0
2017-09-09, Buffalo, Army, +15.0, -15.0, +54.0
2017-09-09, W Michigan, Michigan State, +7.0, -7.0, +51.5
2017-09-09, E Michigan, Rutgers, +5.0, -5.0, +51.5
2017-09-09, Old Dominion, UMass, -3.5, +3.5, +60.5
2017-09-09, Northwestern, Duke, -2.0, +2.0, +54.5
2017-09-09, Cincinnati, Michigan, +32.5, -32.5, +51.5
2017-09-09, Charlotte, Kansas State, +34.5, -34.5, +55.5
2017-09-09, Iowa, Iowa State, -3.0, +3.0, +48.5
2017-09-09, Wake Forest, Boston College, -0.0, +0.0, +46.5
2017-09-09, New Mexico St, New Mexico, +6.5, -6.5, +71.5
2017-09-09, Rice, UTEP, +1.5, -1.5, +55.5
2017-09-09, Texas State, Colorado, +36.5, -36.5, +57.0
2017-09-09, UAB, Ball State, +14.0, -14.0, +54.0
2017-09-09, Mid Tennessee, Syracuse, +8.0, -8.0, +0.0
2017-09-09, Indiana, UVA, -3.5, +3.5, +56.5
2017-09-09, Pitt, Penn State, +19.5, -19.5, +63.5
2017-09-09, Fresno State, Alabama, +42.5, -42.5, +53.5
2017-09-09, Tulane, Navy, +9.5, -9.5, +48.5
2017-09-09, W Kentucky, Illinois, -7.0, +7.0, +51.5
2017-09-09, UTSA, Baylor, +12.5, -12.5, +58.5
2017-09-09, San Jose State, Texas, +25.0, -25.0, +61.5
2017-09-09, TCU, Arkansas, -3.0, +3.0, +58.5
2017-09-09, LA-Lafayette, Tulsa, +13.5, -13.5, +59.0
2017-09-09, Marshall, North Carolina St, +22.5, -22.5, +55.5
2017-09-09, Toledo, Nevada, -10.0, +10.0, +68.5
2017-09-09, South Carolina, Missouri, +3.0, -3.0, +71.0
2017-09-09, North Texas, SMU, +13.5, -13.5, +63.5
2017-09-09, Auburn, Clemson, +4.5, -4.5, +55.5
2017-09-09, Miss St, LA Tech, -10.0, +10.0, +67.5
2017-09-09, Oklahoma, OSU, +7.0, -7.0, +64.5
2017-09-09, UNLV, Idaho, +6.0, -6.0, +70.0
2017-09-09, Minnesota, Oregon State, +3.0, -3.0, +51.0
2017-09-09, San Diego State, Arizona State, +3.0, -3.0, +54.0
2017-09-09, Utah, BYU, -4.0, +4.0, +45.5
2017-09-09, Houston, Arizona, -1.0, +1.0, +66.5
2017-09-09, Boise State, Washington St, +7.5, -7.5, +58.0
2017-09-09, Stanford, USC, +5.0, -5.0, +55.0
2017-09-09, Miami (FL), Arkansas State, -14.5, +14.5, +55.5
2017-09-09, Louisville, UNC, -10.0, +10.0, +63.0
2017-09-09, ECU, West Virginia, +25.0, -25.0, +65.5
2017-09-09, Hawaii, UCLA, +24.0, -24.0, +64.0
2017-09-09, Georgia, Notre Dame, +6.0, -6.0, +58.0
