Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2017-10-11, South Alabama, Troy, +18.0, -18.0, +51.5
2017-10-12, Texas State, LA-Lafayette, +14.5, -14.5, +55.5
2017-10-13, Washington St, Cal, -16.0, +16.0, +54.0
2017-10-13, Clemson, Syracuse, -24.0, +24.0, +57.5
2017-10-14, Akron, W Michigan, +14.0, -14.0, +55.5
2017-10-14, Purdue, Wisconsin, +17.0, -17.0, +49.0
2017-10-14, Ohio, Bowling Green, -9.0, +9.0, +62.0
2017-10-14, Toledo, Cent Michigan, -9.5, +9.5, +54.5
2017-10-14, E Michigan, Army, +5.0, -5.0, +48.5
2017-10-14, UConn, Temple, +10.5, -10.5, +55.5
2017-10-14, UVA, UNC, -3.0, +3.0, +52.0
2017-10-14, Rutgers, Illinois, +2.5, -2.5, +48.5
2017-10-14, Texas Tech, West Virginia, +3.5, -3.5, +75.5
2017-10-14, North Carolina St, Pitt, -10.5, +10.5, +54.5
2017-10-14, Michigan, Indiana, -7.0, +7.0, +45.5
2017-10-14, ECU, UCF, +35.0, -35.0, +69.5
2017-10-14, Tulane, FIU, -13.0, +13.0, +51.0
2017-10-14, Boston College, Louisville, +20.5, -20.5, +58.5
2017-10-14, Kansas, Iowa State, +22.5, -22.5, +62.0
2017-10-14, Old Dominion, Marshall, +12.0, -12.0, +49.0
2017-10-14, FSU, Duke, -7.0, +7.0, +45.5
2017-10-14, Houston, Tulsa, -13.5, +13.5, +63.5
2017-10-14, Georgia State, UL Monroe, +3.5, -3.5, +58.0
2017-10-14, Charlotte, W Kentucky, +18.0, -18.0, +48.0
2017-10-14, Wyoming, Utah State, +2.5, -2.5, +50.0
2017-10-14, UNLV, Air Force, +8.0, -8.0, +66.0
2017-10-14, Nevada, Colorado State, +25.5, -25.5, +65.0
2017-10-14, Appalachian St, Idaho, -12.5, +12.5, +51.0
2017-10-14, Utah, USC, +13.0, -13.0, +51.5
2017-10-14, Colorado, Oregon State, -10.0, +10.0, +56.5
2017-10-14, UCLA, Arizona, -2.5, +2.5, +77.0
2017-10-14, Vanderbilt, Ole Miss, +3.5, -3.5, +55.5
2017-10-14, Oklahoma, Texas, -9.0, +9.0, +63.5
2017-10-14, OSU, Nebraska, -24.5, +24.5, +58.0
2017-10-14, BYU, Miss St, +23.5, -23.5, +51.0
2017-10-14, Arkansas, Alabama, +37.5, -37.5, +54.0
2017-10-14, Baylor, Oklahoma State, +26.0, -26.0, +66.5
2017-10-14, Missouri, Georgia, +29.0, -29.0, +59.0
2017-10-14, Navy, Memphis, +3.5, -3.5, +71.5
2017-10-14, New Mexico St, Ga Southern, -4.5, +4.5, +58.5
2017-10-14, UTEP, Southern Miss, +23.0, -23.0, +52.5
2017-10-14, Coastal Carolina, Arkansas State, +16.0, -16.0, +64.5
2017-10-14, UTSA, North Texas, -2.5, +2.5, +59.0
2017-10-14, Texas A&M, Florida, +3.0, -3.0, +51.5
2017-10-14, South Carolina, Tennessee, +3.0, -3.0, +45.5
2017-10-14, Auburn, LSU, -6.5, +6.5, +46.0
2017-10-14, Michigan, Minnesota, -3.0, +3.0, +0.0
2017-10-14, Oregon, Stanford, +10.0, -10.0, +58.0
2017-10-14, Washington, Arizona State, -17.0, +17.0, +60.5
2017-10-14, New Mexico, Fresno State, -2.0, +2.0, +54.5
2017-10-14, Boise State, San Diego State, +4.5, -4.5, +47.5
2017-10-14, Cincinnati, USF, +24.0, -24.0, +64.0
2017-10-14, Georgia Tech, Miami (FL), +6.5, -6.5, +51.0
2017-10-14, Michigan State, Minnesota, -4.0, +4.0, +41.0
2017-10-14, Northwestern, Maryland, -3.0, +3.0, +49.0
2017-10-14, Miami (OH), Kent State, -8.5, +8.5, +42.5
2017-10-14, N Illinois, Buffalo, -7.5, +7.5, +50.0
2017-10-14, TCU, Kansas State, -7.0, +7.0, +49.5
2017-10-14, Mid Tennessee, UAB, -4.0, +4.0, +54.5
2017-10-15, San Jose State, Hawaii, +16.5, -16.5, +60.5
2017-10-15, Akron, W Michigan, +12.5, -12.5, +54.5
