School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Michigan St.,Big Ten,2.0,10,1,0,10.93,15.81,26.75,40.2,-10.86,,,,,,,32.0
Alabama,SEC,1.0,9,1,1,13.43,10.96,24.39,38.75,-5.52,,,,,,,107.0
Notre Dame,Ind,9.0,7,2,1,10.54,13.32,23.87,42.31,-7.56,,,,,,,70.0
Tennessee,SEC,7.0,8,1,2,9.33,13.04,22.37,35.29,-7.19,,,,,,,118.0
Arkansas,SWC,3.0,10,1,0,12.91,9.33,22.24,41.77,-2.73,,,,,,,108.0
UCLA,AAWU,4.0,8,2,1,14.07,7.04,21.11,41.69,-1.58,,,,,,,102.0
USC,AAWU,10.0,7,2,1,8.66,11.99,20.65,38.38,-5.84,,,,,,,103.0
Nebraska,Big 8,5.0,10,1,0,12.99,4.57,17.55,43.13,2.77,,,,,,,34.0
Ole Miss,SEC,,7,4,0,6.24,11.17,17.41,31.44,-5.61,,,,,,,116.0
Purdue,Big Ten,,7,2,1,9.05,8.08,17.13,37.26,-2.92,,,,,,,38.0
Florida,SEC,,7,4,0,10.68,6.18,16.86,37.6,-0.68,,,,,,,110.0
LSU,SEC,8.0,8,3,0,9.36,7.01,16.37,39.27,-0.4,,,,,,,113.0
Illinois,Big Ten,,6,4,0,7.68,8.38,16.05,38.3,-2.33,,,,,,,27.0
Missouri,Big 8,6.0,8,2,1,6.26,9.73,15.99,32.02,-3.59,,,,,,,115.0
Kentucky,SEC,,6,4,0,9.66,5.27,14.92,35.94,0.68,,,,,,,112.0
Georgia Tech,Ind,,7,3,1,11.26,3.04,14.3,37.0,3.61,,,,,,,17.0
Miami (FL),Ind,,5,4,1,7.76,6.35,14.1,33.23,-1.34,,,,,,,19.0
Georgia,SEC,,6,4,0,8.33,5.46,13.79,34.24,0.77,,,,,,,111.0
Ohio St.,Big Ten,,7,2,0,4.91,8.17,13.08,30.61,-1.95,,,,,,,36.0
Texas,SWC,,6,4,0,9.4,2.55,11.95,35.59,3.64,,,,,,,48.0
Michigan,Big Ten,,4,6,0,7.6,3.9,11.5,33.78,0.48,,,,,,,31.0
Auburn,SEC,,5,5,1,5.39,5.74,11.13,31.3,0.87,,,,,,,109.0
Minnesota,Big Ten,,5,4,1,7.3,3.79,11.08,33.39,2.65,,,,,,,33.0
Texas Tech,SWC,,8,3,0,11.7,-0.66,11.04,37.9,7.87,,,,,,,49.0
Syracuse,Ind,,7,3,0,6.94,3.74,10.68,34.51,1.94,,,,,,,23.0
Washington,AAWU,,5,5,0,8.94,0.72,9.66,35.44,5.51,,,,,,,105.0
Penn State,Ind,,5,5,0,5.66,3.78,9.44,32.41,0.77,,,,,,,37.0
TCU,SWC,,6,5,0,2.64,6.4,9.04,27.88,-0.8,,,,,,,47.0
Tulsa,MVC,,8,3,0,7.34,1.53,8.87,37.51,4.61,,,,,,,12.0
California,AAWU,,5,5,0,1.14,7.43,8.58,27.22,3.35,,,,,,,97.0
Florida St.,Ind,,4,5,1,0.57,7.82,8.38,26.78,-1.91,,,,,,,16.0
Duke,ACC,,6,4,0,5.71,2.59,8.3,32.23,3.6,,,,,,,15.0
SMU,SWC,,4,5,1,1.59,6.51,8.1,27.34,0.55,,,,,,,8.0
Stanford,AAWU,,6,3,1,2.96,4.97,7.93,26.85,2.24,,,,,,,101.0
Baylor,SWC,,5,5,0,3.7,3.84,7.54,29.76,2.72,,,,,,,41.0
Mississippi St.,SEC,,4,6,0,5.72,1.57,7.29,34.17,4.09,,,,,,,114.0
NC State,ACC,,6,4,0,0.38,6.27,6.65,25.38,0.18,,,,,,,20.0
Northwestern,Big Ten,,4,6,0,3.3,3.17,6.47,29.47,4.78,,,,,,,35.0
Houston,Ind,,4,5,1,3.21,3.21,6.41,30.4,4.76,,,,,,,5.0
Dartmouth,Ivy,,9,0,0,4.15,2.08,6.23,35.07,4.02,,,,,,,168.0
Navy,Ind,,4,4,2,-1.47,7.18,5.7,25.15,-0.49,,,,,,,7.0
UTEP,Ind,,8,3,0,9.3,-3.73,5.57,35.61,10.87,,,,,,,62.0
Princeton,Ivy,,8,1,0,6.94,-1.64,5.3,37.47,7.63,,,,,,,171.0
Utah St.,Ind,,8,2,0,5.53,-0.22,5.3,32.78,6.29,,,,,,,93.0
Wyoming,WAC,,6,4,0,2.66,2.04,4.71,29.19,8.24,,,,,,,94.0
Clemson,ACC,,5,5,0,-1.14,5.3,4.16,23.84,1.67,,,,,,,14.0
Oregon St.,AAWU,,5,5,0,1.73,2.42,4.16,25.92,2.79,,,,,,,100.0
Colorado,Big 8,,6,2,2,-0.6,4.68,4.08,24.84,2.24,,,,,,,98.0
South Carolina,ACC,,5,5,0,2.96,1.02,3.98,29.05,5.57,,,,,,,117.0
Memphis,Ind,,5,5,0,4.38,-0.62,3.76,30.87,5.82,,,,,,,6.0
Washington St.,AAWU,,7,3,0,-1.13,4.79,3.66,23.32,1.44,,,,,,,106.0
Miami (OH),MAC,,7,3,0,4.9,-1.34,3.56,32.17,9.79,,,,,,,78.0
Texas A&M,SWC,,3,7,0,-3.07,6.51,3.44,21.59,0.48,,,,,,,119.0
North Carolina,ACC,,4,6,0,3.95,-0.69,3.26,28.98,6.71,,,,,,,21.0
Vanderbilt,SEC,,2,7,1,-2.0,5.05,3.05,23.87,3.26,,,,,,,120.0
East Carolina,Southern,,9,1,0,2.01,-0.45,1.56,31.43,7.48,,,,,,,4.0
Air Force,Ind,,3,6,1,0.34,1.11,1.44,27.14,5.09,,,,,,,83.0
Boston College,Ind,,6,4,0,-0.52,1.76,1.23,28.28,5.06,,,,,,,13.0
Oklahoma St.,Big 8,,3,7,0,0.06,1.04,1.1,24.26,3.94,,,,,,,46.0
Oregon,AAWU,,4,5,1,2.49,-1.62,0.87,27.21,7.62,,,,,,,99.0
Pittsburgh,Ind,,3,7,0,6.14,-5.59,0.54,31.88,15.62,,,,,,,22.0
Army,Ind,,4,5,1,-1.43,1.94,0.52,24.27,3.48,,,,,,,65.0
Iowa,Big Ten,,1,9,0,-1.74,2.04,0.3,24.23,6.2,,,,,,,29.0
Tulane,SEC,,2,8,0,-2.64,2.6,-0.04,23.33,9.77,,,,,,,11.0
Southern Miss,Ind,,7,2,0,-5.74,5.63,-0.11,18.55,0.64,,,,,,,60.0
Iowa St.,Big 8,,5,4,1,-0.4,-0.03,-0.43,25.04,8.28,,,,,,,42.0
BYU,WAC,,6,4,0,2.56,-3.06,-0.5,28.85,10.41,,,,,,,66.0
Virginia,ACC,,4,6,0,-0.02,-0.6,-0.62,26.8,7.52,,,,,,,24.0
West Virginia,Southern,,6,4,0,6.81,-7.43,-0.63,35.99,17.36,,,,,,,50.0
Indiana,Big Ten,,2,8,0,2.51,-3.28,-0.77,27.96,8.51,,,,,,,28.0
Virginia Tech,Ind,,7,3,0,-0.4,-0.56,-0.96,24.1,6.6,,,,,,,25.0
New Mexico State,Ind,,8,2,0,-0.06,-0.91,-0.98,25.76,9.84,,,,,,,69.0
Wisconsin,Big Ten,,2,7,1,-1.75,0.63,-1.11,24.05,12.51,,,,,,,40.0
Maryland,ACC,,4,6,0,-0.77,-0.54,-1.31,24.71,6.87,,,,,,,30.0
Oklahoma,Big 8,,3,7,0,-4.21,2.67,-1.54,20.84,3.76,,,,,,,45.0
Idaho,Ind,,5,5,0,-2.57,0.59,-1.97,26.26,5.65,,,,,,,133.0
Arizona St.,WAC,,6,4,0,-3.44,1.19,-2.26,20.66,5.94,,,,,,,96.0
Xavier,Ind,,8,2,0,2.03,-5.06,-3.03,26.98,11.46,,,,,,,
Kent State,MAC,,5,4,1,-3.7,0.41,-3.29,21.06,6.3,,,,,,,77.0
Rice,SWC,,2,8,0,0.13,-3.67,-3.53,25.7,10.55,,,,,,,59.0
Utah,WAC,,3,7,0,-2.52,-1.26,-3.78,24.18,6.72,,,,,,,104.0
Louisville,MVC,,6,4,0,0.45,-4.41,-3.96,26.69,11.39,,,,,,,18.0
Harvard,Ivy,,5,2,2,-8.9,4.53,-4.37,17.97,1.12,,,,,,,169.0
William & Mary,Southern,,6,4,0,0.49,-4.85,-4.37,26.57,11.37,,,,,,,163.0
West Texas A&M,Ind,,6,4,0,-3.84,-0.74,-4.58,22.22,7.85,,,,,,,416.0
Wake Forest,ACC,,3,7,0,-3.66,-1.12,-4.78,21.52,10.17,,,,,,,26.0
Cornell,Ivy,,4,3,2,-0.7,-4.54,-5.24,26.34,10.09,,,,,,,167.0
Bowling Green,MAC,,7,2,0,-4.6,-0.66,-5.26,19.47,9.43,,,,,,,73.0
Quantico Marines,Ind,,6,4,0,-5.58,-0.64,-6.22,21.1,7.52,,,,,,,
Colorado St.,Ind,,4,6,0,4.48,-10.72,-6.24,32.89,16.79,,,,,,,85.0
George Washington,Southern,,5,5,0,-2.41,-3.87,-6.28,22.84,9.19,,,,,,,
Kansas,Big 8,,2,8,0,-3.13,-3.54,-6.68,22.84,11.66,,,,,,,43.0
Western Michigan,MAC,,6,2,1,-4.25,-2.81,-7.06,19.12,10.34,,,,,,,82.0
Cincinnati,MVC,,5,5,0,-5.87,-1.45,-7.31,21.09,10.38,,,,,,,2.0
Toledo,MAC,,5,5,0,-8.66,1.08,-7.59,15.65,5.81,,,,,,,81.0
San Jose St.,Ind,,5,5,0,-1.58,-6.57,-8.14,24.13,14.29,,,,,,,91.0
Colgate,Ind,,6,3,1,-8.61,-0.38,-8.99,18.42,7.47,,,,,,,211.0
Buffalo,Ind,,5,3,2,-8.31,-0.85,-9.16,16.8,7.61,,,,,,,74.0
