School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Texas,SWC,3.0,9,1,1,16.97,7.64,24.61,46.71,3.1,,,,,,,48.0
Ohio St.,Big Ten,1.0,10,0,0,13.58,8.26,21.84,42.77,4.76,,,,,,,36.0
Georgia,SEC,8.0,8,1,2,7.56,13.88,21.44,40.08,-2.31,,,,,,,111.0
Penn State,Ind,2.0,11,0,0,8.94,11.25,20.18,41.06,0.96,,,,,,,37.0
Arkansas,SWC,6.0,10,1,0,12.25,6.94,19.2,42.13,5.55,,,,,,,108.0
Missouri,Big 8,9.0,8,3,0,7.59,11.26,18.85,40.69,0.27,,,,,,,115.0
Notre Dame,Ind,5.0,7,2,1,13.04,5.62,18.66,45.94,7.04,,,,,,,70.0
Oklahoma,Big 8,11.0,7,4,0,11.97,6.1,18.07,44.73,4.86,,,,,,,45.0
Kansas,Big 8,7.0,9,2,0,12.59,5.42,18.01,45.85,5.94,,,,,,,43.0
Purdue,Big Ten,10.0,8,2,0,8.24,9.45,17.69,38.38,3.48,,,,,,,38.0
Tennessee,SEC,13.0,8,2,1,5.51,11.41,16.91,37.42,1.15,,,,,,,118.0
USC,Pac-8,4.0,9,1,1,8.17,8.45,16.62,36.71,3.67,,,,,,,103.0
Houston,Ind,18.0,6,2,2,7.04,9.32,16.36,51.08,3.16,,,,,,,5.0
Auburn,SEC,16.0,7,4,0,8.68,7.34,16.02,37.79,4.81,,,,,,,109.0
SMU,SWC,14.0,8,3,0,12.98,2.49,15.47,41.14,10.28,,,,,,,8.0
Michigan,Big Ten,12.0,8,2,0,7.43,7.27,14.7,36.89,7.7,,,,,,,31.0
Oregon St.,Pac-8,15.0,7,3,0,10.27,3.66,13.93,39.07,6.41,,,,,,,100.0
Army,Ind,,7,3,0,6.86,6.79,13.65,35.95,4.57,,,,,,,65.0
Florida St.,Ind,,8,3,0,9.75,2.62,12.37,40.09,8.76,,,,,,,16.0
Yale,Ivy,,8,0,1,11.42,-0.38,11.03,42.05,11.71,,,,,,,172.0
Alabama,SEC,17.0,8,3,0,2.3,8.66,10.96,30.67,2.12,,,,,,,107.0
Michigan St.,Big Ten,,5,5,0,1.85,9.05,10.91,30.17,2.3,,,,,,,32.0
California,Pac-8,,7,3,1,-0.27,11.05,10.78,31.41,0.69,,,,,,,97.0
Stanford,Pac-8,,6,3,1,6.63,3.26,9.9,37.43,8.7,,,,,,,101.0
Nebraska,Big 8,,6,4,0,-1.01,10.84,9.83,27.56,2.55,,,,,,,34.0
Minnesota,Big Ten,,6,4,0,5.17,4.58,9.74,32.01,8.2,,,,,,,33.0
Arizona St.,WAC,,8,2,0,8.5,0.63,9.12,45.95,12.69,,,,,,,96.0
Ole Miss,SEC,,7,3,1,4.26,4.81,9.06,32.27,6.25,,,,,,,116.0
NC State,ACC,,6,4,0,0.42,8.51,8.93,29.18,5.58,,,,,,,20.0
LSU,SEC,19.0,8,3,0,2.52,6.27,8.8,30.72,6.77,,,,,,,113.0
Iowa,Big Ten,,5,5,0,13.08,-4.33,8.76,42.79,17.6,,,,,,,29.0
Memphis,MVC,,6,4,0,4.92,3.5,8.43,33.3,7.07,,,,,,,6.0
Virginia Tech,Ind,,7,4,0,2.37,5.49,7.85,32.96,7.67,,,,,,,25.0
Indiana,Big Ten,,6,4,0,10.52,-3.1,7.43,35.86,15.16,,,,,,,28.0
Miami (FL),Ind,,5,5,0,-2.1,9.49,7.39,27.59,3.35,,,,,,,19.0
Florida,SEC,,6,3,1,-0.77,8.04,7.28,26.79,7.39,,,,,,,110.0
Air Force,Ind,,7,3,0,5.03,2.13,7.17,31.83,10.34,,,,,,,83.0
Harvard,Ivy,,8,0,1,-0.45,7.19,6.74,32.12,4.41,,,,,,,169.0
Colorado,Big 8,,4,6,0,6.98,-0.28,6.69,36.13,11.73,,,,,,,98.0
Syracuse,Ind,,6,4,0,1.44,5.21,6.65,34.4,9.3,,,,,,,23.0
Texas A&M,SWC,,3,7,0,0.26,6.02,6.29,29.48,4.83,,,,,,,119.0
Texas Tech,SWC,,5,3,2,4.74,1.4,6.14,33.58,12.64,,,,,,,49.0
Virginia,ACC,,7,3,0,6.93,-0.98,5.95,38.31,16.13,,,,,,,24.0
Kentucky,SEC,,3,7,0,2.12,3.66,5.77,30.79,7.99,,,,,,,112.0
Wyoming,WAC,,7,3,0,-0.23,5.77,5.53,30.47,6.44,,,,,,,94.0
Clemson,ACC,,4,5,1,0.72,4.7,5.42,29.32,7.72,,,,,,,14.0
Ohio,MAC,20.0,10,1,0,10.91,-5.54,5.37,43.34,17.41,,,,,,,80.0
Kansas St.,Big 8,,4,6,0,3.67,1.05,4.72,32.55,11.23,,,,,,,44.0
Oklahoma St.,Big 8,,3,7,0,1.73,2.39,4.12,30.86,10.42,,,,,,,46.0
