School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Alabama,SEC (West),1.0,12,1,7.45,16.99,24.44,53.23,-5.24,9.89,2.87,6.62,1.64,7.96,2.34,107
LSU,SEC (West),2.0,13,1,7.52,16.75,24.27,53.72,-5.22,9.86,3.65,5.86,1.65,7.24,2.71,113
Oklahoma St.,Big 12,3.0,12,1,18.6,5.54,24.14,64.36,5.93,9.81,4.68,6.53,3.21,8.42,3.98,46
Oklahoma,Big 12,16.0,10,3,9.47,10.28,19.75,55.6,2.09,9.11,4.89,5.8,2.48,7.59,3.75,45
Oregon,Pac-12 (North),4.0,12,2,15.45,3.35,18.8,61.57,6.88,9.6,4.36,7.47,2.71,8.33,3.47,99
Stanford,Pac-12 (North),7.0,11,2,10.65,7.13,17.78,58.07,3.99,10.25,5.41,5.98,2.09,7.9,3.78,101
Boise St.,MWC,8.0,12,1,9.23,7.53,16.75,54.6,5.12,9.2,5.62,5.16,2.54,7.19,4.11,84
Michigan,Big Ten (Legends),12.0,11,2,7.15,9.12,16.27,50.52,3.73,9.85,5.25,6.3,3.04,7.55,4.17,31
Wisconsin,Big Ten (Leaders),10.0,11,3,9.72,6.17,15.89,59.1,6.12,11.62,5.52,6.53,3.35,8.39,4.3,40
USC,Pac-12 (South),6.0,10,2,9.07,5.09,14.16,51.75,6.16,9.58,5.1,5.89,2.52,7.78,3.95,103
Arkansas,SEC (West),5.0,11,2,9.9,3.96,13.86,53.32,8.54,10.14,4.81,5.46,3.5,7.88,4.18,108
Baylor,Big 12,13.0,10,3,19.95,-6.12,13.83,60.33,18.4,12.12,6.29,6.36,3.97,8.75,5.16,41
South Carolina,SEC (East),9.0,11,2,4.92,8.64,13.56,45.29,3.86,9.27,3.3,5.36,2.82,6.86,3.07,117
Texas A&M,Big 12,,7,6,11.59,1.78,13.36,54.92,8.6,8.47,5.28,6.13,1.44,7.25,3.39,119
Texas,Big 12,,8,5,1.99,10.17,12.16,43.91,2.24,8.47,4.31,5.41,1.75,6.58,3.16,48
Houston,CUSA (West),18.0,13,1,11.27,0.67,11.94,60.43,12.89,10.55,5.38,5.62,3.57,8.58,4.31,5
Kansas St.,Big 12,15.0,10,3,7.38,4.07,11.45,47.44,8.89,8.31,5.53,5.03,2.77,6.09,4.24,44
Florida St.,ACC (Atlantic),23.0,9,4,1.27,9.96,11.22,45.12,2.09,10.33,4.99,4.2,1.63,6.99,3.15,16
Missouri,Big 12,,8,5,3.77,7.32,11.08,47.71,4.43,9.22,4.97,6.43,2.62,7.48,3.82,115
Notre Dame,Ind,,8,5,4.23,6.83,11.06,46.46,3.68,8.53,4.84,6.06,2.62,7.28,3.77,70
Georgia,SEC (East),19.0,10,4,4.78,5.88,10.67,49.03,6.29,9.89,3.83,4.93,2.39,7.06,3.34,111
Michigan St.,Big Ten (Legends),11.0,11,3,1.99,8.06,10.05,45.38,3.45,9.14,4.47,4.81,1.69,6.89,3.07,32
TCU,MWC,14.0,11,2,6.98,2.69,9.67,51.32,10.64,9.47,6.3,5.75,2.73,7.27,4.4,47
Southern Miss,CUSA (East),20.0,12,2,7.11,2.07,9.18,47.53,10.62,8.43,4.72,5.66,2.68,6.97,3.67,60
