School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Oklahoma,Big 8,3.0,10,0,1,18.37,14.5,32.87,52.39,-3.49,,,,,,,45.0
Ohio St.,Big Ten,2.0,10,0,1,11.82,17.84,29.66,50.25,-5.51,,,,,,,36.0
Michigan,Big Ten,6.0,10,0,1,11.54,16.54,28.08,43.49,-5.33,,,,,,,31.0
Alabama,SEC,4.0,11,1,0,12.34,13.76,26.1,51.36,-1.82,,,,,,,107.0
Nebraska,Big 8,7.0,9,2,1,10.74,15.15,25.89,40.98,-5.8,,,,,,,34.0
Notre Dame,Ind,1.0,11,0,0,11.44,14.23,25.67,47.14,-2.08,,,,,,,70.0
Penn State,Ind,5.0,12,0,0,11.63,11.15,22.78,46.23,1.25,,,,,,,37.0
Texas,SWC,14.0,8,3,0,11.21,9.26,20.47,46.61,3.64,,,,,,,48.0
USC,Pac-8,8.0,9,2,1,11.52,8.12,19.64,40.18,1.33,,,,,,,103.0
UCLA,Pac-8,12.0,9,2,0,13.84,5.62,19.45,53.11,6.38,,,,,,,102.0
Arizona St.,WAC,9.0,11,1,0,12.66,5.76,18.42,49.62,6.53,,,,,,,96.0
LSU,SEC,13.0,9,3,0,7.07,10.79,17.86,35.78,-0.04,,,,,,,113.0
Texas Tech,SWC,11.0,11,1,0,9.62,8.11,17.73,38.96,3.0,,,,,,,49.0
Missouri,Big 8,17.0,8,4,0,4.58,12.51,17.1,32.55,-1.96,,,,,,,115.0
Houston,Ind,9.0,11,1,0,8.2,8.79,16.98,37.42,4.16,,,,,,,5.0
NC State,ACC,16.0,9,3,0,14.39,1.89,16.29,44.72,9.93,,,,,,,20.0
Kansas,Big 8,18.0,7,4,1,7.45,8.27,15.73,35.18,2.22,,,,,,,43.0
Oklahoma St.,Big 8,,5,4,2,6.65,8.14,14.79,41.75,3.69,,,,,,,46.0
Georgia,SEC,,7,4,1,4.33,9.35,13.68,31.79,1.42,,,,,,,111.0
Maryland,ACC,20.0,8,4,0,5.74,7.58,13.33,36.9,4.09,,,,,,,30.0
Colorado,Big 8,,5,6,0,9.26,3.56,12.82,37.94,7.06,,,,,,,98.0
Miami (OH),MAC,15.0,11,0,0,-0.47,13.08,12.62,26.13,1.58,,,,,,,78.0
Stanford,Pac-8,,7,4,0,6.6,4.87,11.47,35.29,8.09,,,,,,,101.0
Minnesota,Big Ten,,7,4,0,10.18,1.22,11.41,38.06,14.05,,,,,,,33.0
Tennessee,SEC,19.0,8,4,0,10.83,0.48,11.31,37.05,11.17,,,,,,,118.0
San Diego St.,PCAA,,9,1,1,5.55,5.0,10.54,35.41,8.46,,,,,,,90.0
Kent State,MAC,,9,2,0,4.26,5.56,9.82,32.35,8.83,,,,,,,77.0
Iowa St.,Big 8,,4,7,0,7.2,2.43,9.63,37.71,7.01,,,,,,,42.0
Tulane,Ind,20.0,9,3,0,1.91,7.35,9.26,30.6,7.43,,,,,,,11.0
