School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Miami (FL),Ind,3.0,10,2,0,8.92,14.97,23.9,49.03,-3.34,,,,,,,19.0
Washington,Pac-10,5.0,10,2,0,9.37,12.25,21.62,50.14,-0.04,,,,,,,105.0
Colorado,Big 8,1.0,11,1,1,9.62,9.82,19.45,46.07,0.79,,,,,,,98.0
Georgia Tech,ACC,2.0,11,0,1,10.56,8.72,19.28,46.69,1.61,,,,,,,17.0
Michigan,Big Ten,7.0,9,3,0,10.35,8.51,18.86,47.22,2.9,,,,,,,31.0
Texas,SWC,12.0,10,2,0,7.61,10.14,17.75,44.01,2.74,,,,,,,48.0
Oklahoma,Big 8,17.0,8,3,0,8.65,8.82,17.47,48.78,2.59,,,,,,,45.0
Notre Dame,Ind,6.0,9,3,0,12.93,4.14,17.07,46.92,6.77,,,,,,,70.0
Florida St.,Ind,4.0,10,2,0,11.4,5.54,16.94,51.23,6.07,,,,,,,16.0
Nebraska,Big 8,24.0,9,3,0,5.76,9.71,15.48,48.84,3.66,,,,,,,34.0
Clemson,ACC,9.0,10,2,0,0.57,14.8,15.36,40.83,-3.41,,,,,,,14.0
Tennessee,SEC,8.0,9,2,2,6.74,8.27,15.01,47.17,3.8,,,,,,,118.0
Penn State,Ind,11.0,9,3,0,4.0,10.37,14.37,39.68,1.54,,,,,,,37.0
Virginia,ACC,23.0,8,4,0,10.1,3.87,13.98,53.21,6.68,,,,,,,24.0
Florida,SEC,13.0,9,2,0,5.4,8.55,13.95,47.5,5.82,,,,,,,110.0
Houston,SWC,10.0,10,1,0,17.94,-4.73,13.21,55.8,17.84,,,,,,,5.0
Iowa,Big Ten,18.0,8,4,0,11.78,1.11,12.89,49.43,10.65,,,,,,,29.0
BYU,WAC,22.0,10,3,0,12.13,0.24,12.38,50.0,15.71,,,,,,,66.0
Michigan St.,Big Ten,16.0,8,3,1,6.73,5.53,12.26,39.82,5.47,,,,,,,32.0
Texas A&M,SWC,15.0,9,3,1,6.01,5.79,11.8,45.27,6.24,,,,,,,119.0
USC,Pac-10,20.0,8,4,1,5.09,6.33,11.42,41.19,6.13,,,,,,,103.0
Ohio St.,Big Ten,,7,4,1,5.05,5.92,10.96,41.65,5.95,,,,,,,36.0
Oregon,Pac-10,,8,4,0,2.0,7.64,9.64,37.36,4.46,,,,,,,99.0
Illinois,Big Ten,25.0,8,4,0,4.15,4.98,9.13,39.07,7.18,,,,,,,27.0
Syracuse,Ind,,7,4,2,1.36,7.28,8.64,38.1,5.15,,,,,,,23.0
San Jose St.,Big West,,9,2,1,6.76,1.41,8.17,41.86,11.57,,,,,,,91.0
California,Pac-10,,7,4,1,8.63,-0.66,7.97,42.15,14.08,,,,,,,97.0
Louisville,Ind,14.0,10,1,1,0.22,7.7,7.93,37.1,5.94,,,,,,,18.0
Auburn,SEC,19.0,8,3,1,0.86,6.94,7.8,35.43,5.8,,,,,,,109.0
Alabama,SEC,,7,5,0,-0.94,8.32,7.38,33.92,2.96,,,,,,,107.0
Virginia Tech,Ind,,6,5,0,3.39,3.81,7.2,37.87,7.03,,,,,,,25.0
South Carolina,Ind,,6,5,0,4.87,1.97,6.84,40.37,9.72,,,,,,,117.0
NC State,ACC,,7,5,0,-1.28,8.03,6.75,39.14,3.28,,,,,,,20.0
Stanford,Pac-10,,5,6,0,3.26,3.38,6.64,38.08,9.84,,,,,,,101.0
UCLA,Pac-10,,5,6,0,7.89,-2.36,5.53,41.17,13.29,,,,,,,102.0
North Carolina,ACC,,6,4,1,-1.21,6.73,5.52,33.98,3.96,,,,,,,21.0
Maryland,ACC,,6,5,1,2.54,2.56,5.1,37.3,8.21,,,,,,,30.0
Indiana,Big Ten,,6,5,1,0.97,3.92,4.88,39.2,9.3,,,,,,,28.0
Southern Miss,Ind,,8,4,0,-1.32,5.53,4.21,31.68,5.71,,,,,,,60.0
San Diego St.,WAC,,6,5,0,15.77,-11.73,4.04,51.99,25.16,,,,,,,90.0
Baylor,SWC,,6,4,1,-3.81,7.65,3.85,30.31,3.94,,,,,,,41.0
Colorado St.,WAC,,9,4,0,3.6,-0.18,3.42,37.3,15.27,,,,,,,85.0
Arizona,Pac-10,,7,5,0,1.22,2.11,3.33,35.13,12.36,,,,,,,95.0
Arizona St.,Pac-10,,4,7,0,3.05,0.27,3.31,36.77,12.07,,,,,,,96.0
Ole Miss,SEC,21.0,9,3,0,-1.52,4.68,3.16,31.64,9.05,,,,,,,116.0
Minnesota,Big Ten,,6,5,0,-0.18,3.13,2.95,33.65,11.93,,,,,,,33.0
Hawaii,WAC,,7,5,0,1.11,1.29,2.4,35.19,11.81,,,,,,,87.0
Louisiana Tech,Ind,,8,3,1,2.44,-0.07,2.37,37.33,13.59,,,,,,,54.0
Pittsburgh,Ind,,3,7,1,1.1,1.12,2.22,36.23,14.29,,,,,,,22.0
Temple,Ind,,7,4,0,3.02,-1.14,1.88,36.5,15.1,,,,,,,10.0
Missouri,Big 8,,4,7,0,3.2,-2.01,1.19,37.94,18.93,,,,,,,115.0
Iowa St.,Big 8,,4,6,1,3.39,-2.25,1.15,36.2,14.45,,,,,,,42.0
Wyoming,WAC,,9,4,0,-0.72,1.5,0.79,30.85,12.66,,,,,,,94.0
Air Force,WAC,,7,5,0,-2.98,3.76,0.78,29.73,12.42,,,,,,,83.0
Rice,SWC,,5,6,0,-0.52,1.02,0.5,32.3,9.98,,,,,,,59.0
Texas Tech,SWC,,4,7,0,5.48,-5.43,0.05,41.73,18.06,,,,,,,49.0
