School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Ohio St.,Big Ten (East),3.0,8,0,11.84,19.13,30.97,71.25,-9.96,11.85,2.67,8.43,1.41,9.51,2.11,36
Alabama,SEC (West),2.0,8,0,12.46,10.24,22.71,63.71,0.53,12.4,3.88,6.54,2.37,9.34,3.13,107
Clemson,ACC (Atlantic),4.0,8,0,3.84,18.27,22.11,56.14,-5.29,9.72,2.81,7.69,1.39,8.58,2.13,14
LSU,SEC (West),1.0,8,0,13.63,7.14,20.77,63.68,3.94,12.11,5.04,6.04,1.31,9.0,3.24,113
Penn State,Big Ten (East),5.0,8,0,4.6,15.5,20.1,58.29,-4.62,10.64,4.51,6.62,0.93,8.23,2.79,37
Auburn,SEC (West),11.0,6,2,6.52,11.6,18.12,53.76,-3.6,9.19,3.75,6.71,1.38,7.58,2.77,109
Utah,Pac-12 (South),9.0,7,1,1.97,16.04,18.01,47.93,-3.69,12.16,3.39,6.2,1.51,8.25,2.75,104
Wisconsin,Big Ten (West),18.0,6,2,0.84,16.52,17.36,55.82,-7.04,10.62,3.27,6.74,1.11,8.12,2.33,40
Oklahoma,Big 12,10.0,7,1,12.7,4.49,17.19,62.86,7.72,14.21,5.14,8.29,2.54,10.73,3.8,45
Cincinnati,American (East),17.0,6,1,2.74,13.5,16.24,45.87,-2.05,10.64,4.05,5.75,1.58,7.45,2.97,2
Georgia,SEC (East),8.0,6,1,1.95,13.35,15.3,51.31,-3.2,9.98,4.17,7.34,1.59,8.44,3.01,111
SMU,American (West),15.0,8,0,16.56,-1.27,15.29,57.12,14.06,10.48,5.52,5.58,2.3,7.6,4.09,8
Iowa,Big Ten (West),19.0,6,2,-1.02,16.03,15.01,43.28,-6.16,9.57,3.98,5.77,1.89,7.38,3.05,29
Navy,American (West),,6,1,7.7,7.31,15.01,51.7,4.43,13.58,4.07,7.21,1.87,7.99,3.49,7
Michigan,Big Ten (East),14.0,6,2,7.31,7.35,14.66,52.85,0.79,9.94,4.08,5.98,1.23,7.56,2.67,31
