School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,ACC,3.0,11,1,11.93,11.45,23.38,54.38,1.97,,,,,,,16
Nebraska,Big 12 (North),2.0,13,0,12.38,9.93,22.3,57.31,3.69,,,,,,,34
Florida,SEC (East),4.0,10,2,9.77,11.29,21.07,51.06,1.41,,,,,,,110
Tennessee,SEC (East),7.0,11,2,14.53,6.33,20.87,50.86,6.14,,,,,,,118
Michigan,Big Ten,1.0,12,0,3.71,16.42,20.14,40.86,-3.41,,,,,,,31
UCLA,Pac-10,5.0,10,2,11.25,7.87,19.12,52.98,4.5,,,,,,,102
Washington,Pac-10,18.0,8,4,11.72,6.93,18.65,50.73,4.76,,,,,,,105
Georgia,SEC (East),10.0,10,2,7.03,10.4,17.42,45.91,4.1,,,,,,,111
Ohio St.,Big Ten,12.0,10,3,5.99,11.43,17.41,44.57,1.28,,,,,,,36
North Carolina,ACC,6.0,11,1,3.85,12.61,16.46,40.66,1.35,,,,,,,21
Auburn,SEC (West),11.0,10,3,7.15,9.18,16.33,42.62,3.74,,,,,,,109
Kansas St.,Big 12 (North),8.0,11,1,6.48,8.95,15.43,45.35,4.73,,,,,,,44
Washington St.,Pac-10,9.0,10,2,12.27,1.94,14.21,53.04,11.06,,,,,,,106
LSU,SEC (West),13.0,9,3,5.82,8.35,14.18,45.92,5.41,,,,,,,113
Arizona St.,Pac-10,14.0,9,3,3.12,9.31,12.43,39.97,3.09,,,,,,,96
Ole Miss,SEC (West),22.0,8,4,4.43,7.4,11.83,38.54,6.0,,,,,,,116
Colorado St.,WAC (Pacific),17.0,11,2,2.57,8.74,11.31,44.91,5.26,,,,,,,85
Penn State,Big Ten,16.0,9,3,5.14,5.17,10.31,42.88,9.75,,,,,,,37
USC,Pac-10,,6,5,0.58,9.64,10.22,36.65,2.93,,,,,,,103
Michigan St.,Big Ten,,7,5,5.09,4.39,9.47,42.71,8.88,,,,,,,32
Oregon,Pac-10,,7,5,11.91,-2.62,9.29,47.9,14.6,,,,,,,99
Mississippi St.,SEC (West),,7,4,-0.04,9.05,9.0,34.84,6.29,,,,,,,114
Iowa,Big Ten,,7,5,0.2,8.57,8.77,44.62,4.07,,,,,,,29
Southern Miss,CUSA,19.0,9,3,1.35,7.27,8.62,37.62,6.96,,,,,,,60
Purdue,Big Ten,15.0,9,3,7.78,0.71,8.49,45.99,13.4,,,,,,,38
Clemson,ACC,,7,5,2.04,6.37,8.41,37.02,6.84,,,,,,,14
Georgia Tech,ACC,25.0,7,5,6.21,1.86,8.07,40.39,11.96,,,,,,,17
Arizona,Pac-10,,7,5,5.49,2.43,7.91,41.24,10.13,,,,,,,95
Marshall,MAC (East),,10,3,5.99,1.56,7.55,42.26,13.28,,,,,,,55
Miami (OH),MAC (East),,8,3,7.89,-0.37,7.51,44.02,15.33,,,,,,,78
Texas A&M,Big 12 (South),20.0,9,4,0.45,6.76,7.22,41.96,7.15,,,,,,,119
NC State,ACC,,6,5,7.9,-0.86,7.03,42.49,13.55,,,,,,,20
South Carolina,SEC (East),,5,6,3.89,2.96,6.85,39.83,10.89,,,,,,,117
Virginia,ACC,,7,4,2.62,4.16,6.79,38.82,9.97,,,,,,,24
Notre Dame,Ind,,7,6,0.5,6.12,6.62,35.71,6.88,,,,,,,70
Syracuse,Big East,21.0,9,4,0.72,5.61,6.34,41.9,8.36,,,,,,,23
Alabama,SEC (West),,4,7,2.15,3.4,5.55,36.91,9.71,,,,,,,107
Colorado,Big 12 (North),,5,6,6.68,-1.34,5.34,41.67,12.6,,,,,,,98
Missouri,Big 12 (North),23.0,7,5,9.19,-4.22,4.97,43.04,17.53,,,,,,,115
Oklahoma St.,Big 12 (South),24.0,8,4,1.19,3.66,4.86,35.61,9.76,,,,,,,46
Stanford,Pac-10,,5,6,5.32,-0.68,4.64,40.64,13.35,,,,,,,101
Tulane,CUSA,,7,4,2.2,1.51,3.7,41.08,13.29,,,,,,,11
Kentucky,SEC (East),,5,6,9.36,-5.78,3.58,46.56,20.78,,,,,,,112
Central Florida,Ind,,5,6,7.22,-4.06,3.16,44.35,16.72,,,,,,,1
Texas Tech,Big 12 (South),,6,5,-2.99,6.04,3.05,31.75,8.2,,,,,,,49
Air Force,WAC (Pacific),,10,3,-4.61,7.46,2.85,29.54,5.41,,,,,,,83
Arkansas,SEC (West),,4,7,-2.04,4.64,2.6,32.57,11.73,,,,,,,108
Northwestern,Big Ten,,5,7,0.27,2.29,2.56,34.12,11.44,,,,,,,35
Toledo,MAC (West),,9,3,0.39,1.89,2.28,34.4,13.37,,,,,,,81
Navy,Ind,,7,4,2.48,-0.21,2.27,40.79,14.46,,,,,,,7
Wyoming,WAC (Pacific),,7,6,-2.92,4.97,2.06,33.69,7.82,,,,,,,94
New Mexico,WAC (Mountain),,9,4,1.73,0.19,1.92,38.51,13.85,,,,,,,89
Wisconsin,Big Ten,,8,5,0.38,1.28,1.66,34.61,12.62,,,,,,,40
West Virginia,Big East,,7,5,2.71,-1.09,1.62,38.11,15.57,,,,,,,50
Ohio,MAC (East),,8,3,-4.32,5.82,1.5,31.6,8.76,,,,,,,80
Cincinnati,CUSA,,8,4,0.45,0.96,1.41,33.73,13.38,,,,,,,2
Wake Forest,ACC,,5,6,0.46,0.79,1.25,34.18,14.93,,,,,,,26
California,Pac-10,,3,8,4.6,-3.37,1.24,40.66,15.93,,,,,,,97
Virginia Tech,Big East,,7,5,-3.94,4.98,1.04,34.15,10.89,,,,,,,25
Louisiana Tech,Ind,,9,2,4.76,-4.18,0.59,37.61,20.55,,,,,,,54
SMU,WAC (Mountain),,6,5,-0.67,0.35,-0.33,32.52,13.78,,,,,,,8
Rice,WAC (Mountain),,7,4,3.01,-4.03,-1.02,37.18,19.04,,,,,,,59
Vanderbilt,SEC (East),,3,8,-9.6,8.53,-1.07,25.39,4.82,,,,,,,120
Miami (FL),Big East,,5,6,0.68,-1.9,-1.22,36.25,17.18,,,,,,,19
Fresno St.,WAC (Pacific),,6,6,0.08,-1.35,-1.27,36.68,15.89,,,,,,,86
BYU,WAC (Mountain),,6,5,-1.5,-0.45,-1.95,32.52,14.26,,,,,,,66
Utah St.,Big West,,6,6,2.81,-5.18,-2.37,40.54,17.62,,,,,,,93
Utah,WAC (Mountain),,6,5,-7.66,5.0,-2.66,29.31,9.06,,,,,,,104
East Carolina,CUSA,,5,6,-3.88,0.82,-3.07,29.66,16.36,,,,,,,4
Nevada,Big West,,5,6,2.76,-5.84,-3.07,40.7,19.15,,,,,,,88
Western Michigan,MAC (West),,8,3,-0.49,-2.95,-3.44,31.68,19.18,,,,,,,82
Oregon St.,Pac-10,,3,8,-5.86,2.28,-3.58,30.55,10.29,,,,,,,100
San Diego St.,WAC (Pacific),,5,7,-1.2,-2.67,-3.88,33.64,16.25,,,,,,,90
Duke,ACC,,2,9,-0.61,-4.07,-4.68,34.14,18.64,,,,,,,15
Texas,Big 12 (South),,4,7,0.65,-5.37,-4.72,35.66,22.79,,,,,,,48
Oklahoma,Big 12 (South),,4,8,-2.35,-2.73,-5.08,31.73,19.51,,,,,,,45
Pittsburgh,Big East,,6,6,2.18,-7.67,-5.48,34.37,21.43,,,,,,,22
Kansas,Big 12 (North),,5,6,-8.45,2.9,-5.55,25.63,14.15,,,,,,,43
Minnesota,Big Ten,,3,9,-1.31,-4.47,-5.78,32.11,16.68,,,,,,,33
Memphis,CUSA,,4,7,-5.71,-0.41,-6.12,28.33,14.86,,,,,,,6
Indiana,Big Ten,,2,9,-9.71,2.48,-7.23,26.19,19.77,,,,,,,28
Ball St.,MAC (West),,5,6,-6.37,-1.37,-7.74,25.85,16.13,,,,,,,72
Maryland,ACC,,2,9,-6.09,-2.1,-8.19,28.38,19.79,,,,,,,30
Boston College,Big East,,4,7,-3.07,-5.22,-8.28,29.94,20.21,,,,,,,13
UL Monroe,Ind,,5,7,-6.76,-1.57,-8.33,25.89,17.93,,,,,,,130
Eastern Michigan,MAC (West),,4,7,-0.78,-8.28,-9.06,34.33,24.06,,,,,,,76
Bowling Green,MAC (East),,3,8,-7.36,-1.9,-9.26,25.76,20.57,,,,,,,73
UNLV,WAC (Pacific),,3,8,0.32,-9.92,-9.6,35.81,22.49,,,,,,,92
Baylor,Big 12 (South),,2,9,-3.46,-6.27,-9.73,29.96,21.07,,,,,,,41
Hawaii,WAC (Pacific),,3,9,-9.28,-1.16,-10.44,26.01,18.04,,,,,,,87
San Jose St.,WAC (Pacific),,4,7,-2.1,-8.73,-10.83,32.43,27.25,,,,,,,91
Idaho,Big West,,5,6,-7.6,-3.29,-10.89,31.15,18.4,,,,,,,133
UAB,Ind,,5,6,-8.77,-2.71,-11.48,24.37,17.73,,,,,,,61
Houston,CUSA,,3,8,-4.3,-7.22,-11.52,30.32,26.55,,,,,,,5
UTEP,WAC (Mountain),,4,7,-11.82,-0.09,-11.91,22.66,20.05,,,,,,,62
Iowa St.,Big 12 (North),,1,10,-1.96,-10.33,-12.28,33.99,31.24,,,,,,,42
Army,Ind,,4,7,-7.42,-5.1,-12.52,26.24,20.41,,,,,,,65
Tulsa,WAC (Mountain),,2,9,-0.01,-12.67,-12.69,34.91,29.3,,,,,,,12
Boise St.,Big West,,4,7,-5.68,-7.11,-12.8,29.51,24.07,,,,,,,84
Temple,Big East,,3,8,-7.9,-5.02,-12.92,27.09,24.43,,,,,,,10
Illinois,Big Ten,,0,11,-10.34,-2.63,-12.97,24.58,19.19,,,,,,,27
Akron,MAC (East),,2,9,-7.19,-5.92,-13.11,27.78,28.03,,,,,,,71
North Texas,Big West,,4,7,-5.6,-8.09,-13.68,29.61,23.95,,,,,,,57
Louisville,CUSA,,1,10,-1.64,-13.25,-14.89,32.21,28.45,,,,,,,18
TCU,WAC (Mountain),,1,10,-7.87,-8.17,-16.04,26.27,22.86,,,,,,,47
Kent State,MAC (East),,3,8,3.38,-19.53,-16.15,35.92,35.68,,,,,,,77
Central Michigan,MAC (West),,2,9,-3.11,-13.18,-16.29,30.81,35.36,,,,,,,75
Northern Illinois,MAC (West),,0,11,-12.7,-6.67,-19.37,21.11,26.54,,,,,,,79
Louisiana,Ind,,1,10,-9.43,-11.93,-21.36,24.71,41.88,,,,,,,126
New Mexico State,Big West,,2,9,-8.72,-13.28,-22.01,25.32,30.27,,,,,,,69
Rutgers,Big East,,0,11,-8.56,-13.5,-22.06,25.41,36.26,,,,,,,39
Arkansas St.,Ind,,2,9,-9.65,-13.13,-22.77,22.33,31.09,,,,,,,122
