School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-10,1.0,12,1,16.29,6.85,23.14,57.04,4.31,10.25,5.19,6.02,0.78,7.96,3.33,103
LSU,SEC (West),2.0,13,1,6.12,14.73,20.85,49.45,-4.68,9.56,3.75,5.59,1.09,7.08,2.69,113
Oklahoma,Big 12 (South),3.0,12,2,8.33,11.95,20.27,58.14,-0.87,10.25,3.26,4.84,2.29,7.24,2.91,45
Florida St.,ACC,11.0,10,3,7.01,10.74,17.75,51.07,-0.82,9.72,4.55,4.92,2.08,7.14,3.33,16
Georgia,SEC (East),7.0,11,3,5.73,11.74,17.46,46.2,-1.99,9.45,4.19,4.9,1.89,6.78,3.13,111
Michigan,Big Ten,6.0,10,3,6.21,9.88,16.1,50.56,1.1,8.61,4.21,5.79,2.25,6.93,3.41,31
Kansas St.,Big 12 (North),14.0,11,4,8.03,7.72,15.74,50.79,2.66,10.21,4.45,5.89,2.05,7.32,3.28,44
Texas,Big 12 (South),12.0,10,3,7.66,7.7,15.35,54.38,5.24,9.94,4.62,5.97,2.44,7.35,3.48,48
Iowa,Big Ten,8.0,10,3,4.72,9.94,14.66,45.49,0.29,8.17,4.71,5.49,1.38,6.32,3.13,29
Miami (FL),Big East,5.0,11,2,2.43,12.04,14.47,43.68,-1.57,8.26,3.88,5.69,2.19,6.74,2.93,19
Miami (OH),MAC (East),10.0,13,1,9.63,4.59,14.21,54.15,7.79,9.99,5.45,4.77,2.49,7.37,4.13,78
Ohio St.,Big Ten,4.0,11,2,4.78,9.22,14.0,43.46,1.33,9.05,4.38,4.71,0.8,6.38,2.94,36
Maryland,ACC,17.0,10,3,2.91,10.0,12.92,46.24,0.8,9.59,4.86,5.49,2.61,7.02,3.66,30
Arkansas,SEC (West),,9,4,9.34,3.33,12.67,50.81,7.17,9.76,4.28,6.39,2.57,7.38,3.57,108
Washington St.,Pac-10,9.0,10,3,6.16,6.15,12.31,44.8,5.24,8.85,3.92,4.56,1.71,6.51,3.06,106
Minnesota,Big Ten,20.0,10,3,10.99,0.89,11.88,53.41,10.41,10.78,5.24,6.65,2.54,7.77,4.08,33
Tennessee,SEC (East),15.0,10,3,4.5,7.03,11.53,46.2,3.92,9.0,4.47,5.03,2.42,6.84,3.48,118
Nebraska,Big 12 (North),19.0,10,3,0.31,10.87,11.18,39.91,0.16,9.15,3.96,5.28,2.46,6.15,3.32,34
Ole Miss,SEC (West),13.0,10,3,7.02,3.97,10.99,48.28,5.85,9.78,6.4,5.11,1.74,7.2,4.27,116
Purdue,Big Ten,18.0,9,4,3.49,7.3,10.79,44.72,3.05,8.55,5.11,4.84,1.33,6.31,3.35,38
