School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida,SEC,3.0,9,1,1,9.71,10.01,19.72,42.3,2.84,,,,,,,110.0
Nebraska,Big 8,4.0,10,2,0,4.64,12.93,17.57,41.06,0.57,,,,,,,34.0
Washington,Pac-10,2.0,11,1,0,6.71,9.18,15.89,38.84,5.04,,,,,,,105.0
BYU,WAC,1.0,13,0,0,7.75,6.93,14.68,41.6,6.14,,,,,,,66.0
Boston College,Ind,5.0,10,2,0,17.83,-3.38,14.46,49.02,17.1,,,,,,,13.0
Oklahoma St.,Big 8,7.0,10,2,0,2.97,10.72,13.69,34.33,1.75,,,,,,,46.0
Florida St.,Ind,17.0,7,3,2,11.7,1.81,13.51,44.22,10.57,,,,,,,16.0
Oklahoma,Big 8,6.0,9,2,1,4.05,9.22,13.27,34.81,3.54,,,,,,,45.0
Maryland,ACC,12.0,9,3,0,13.3,-0.22,13.09,43.05,12.75,,,,,,,30.0
Auburn,SEC,14.0,9,4,0,7.56,4.52,12.08,39.44,7.57,,,,,,,109.0
LSU,SEC,15.0,8,3,1,8.52,3.56,12.08,38.86,8.63,,,,,,,113.0
Ohio St.,Big Ten,13.0,9,3,0,7.73,4.28,12.0,42.5,8.17,,,,,,,36.0
Tennessee,SEC,,7,4,1,9.09,2.56,11.65,39.12,9.42,,,,,,,118.0
Virginia,ACC,20.0,8,2,2,4.92,6.18,11.09,36.77,9.54,,,,,,,24.0
South Carolina,Ind,11.0,10,2,0,10.22,0.75,10.97,39.81,11.91,,,,,,,117.0
Miami (FL),Ind,18.0,8,5,0,8.74,2.13,10.87,38.89,10.47,,,,,,,19.0
Arkansas,SWC,,7,4,1,1.54,9.28,10.82,31.71,2.88,,,,,,,108.0
SMU,SWC,8.0,10,2,0,4.35,6.37,10.72,34.74,7.38,,,,,,,8.0
Clemson,ACC,,7,4,0,7.39,2.97,10.35,41.15,9.44,,,,,,,14.0
Georgia,SEC,,7,4,1,3.66,6.6,10.26,34.44,5.7,,,,,,,111.0
West Virginia,Ind,,8,4,0,1.7,8.54,10.24,31.41,3.83,,,,,,,50.0
Iowa,Big Ten,16.0,8,4,1,4.99,5.19,10.18,37.93,7.17,,,,,,,29.0
