School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Wisconsin,Big Ten (West),7.0,13,1,8.27,14.34,22.61,53.05,-3.02,10.33,4.6,6.33,2.03,7.82,3.15,40
Georgia,SEC (East),2.0,13,2,9.97,12.5,22.47,54.24,-1.67,10.83,3.73,7.04,2.26,8.38,2.98,111
Ohio St.,Big Ten (East),5.0,12,2,9.81,12.01,21.82,60.35,-0.09,10.26,4.5,6.87,1.61,8.38,2.88,36
Penn State,Big Ten (East),8.0,11,2,11.03,10.59,21.62,60.84,0.03,10.18,4.85,6.27,2.64,8.22,3.65,37
Alabama,SEC (West),1.0,13,1,4.67,16.58,21.25,54.96,-4.79,10.2,3.53,6.94,1.6,8.23,2.47,107
Clemson,ACC (Atlantic),4.0,12,2,5.99,14.63,20.62,53.09,-3.72,8.93,4.01,6.1,1.79,7.4,2.78,14
Notre Dame,Ind,11.0,10,3,10.24,9.17,19.41,55.02,3.67,8.41,4.26,7.62,2.57,7.99,3.44,70
Oklahoma,Big 12,3.0,12,2,17.63,1.42,19.05,63.82,9.01,13.37,5.71,6.95,3.49,9.88,4.42,45
Auburn,SEC (West),10.0,10,4,5.78,12.17,17.95,50.17,-1.23,10.23,3.64,5.93,2.15,7.63,2.85,109
Central Florida,American (East),6.0,13,0,14.05,2.85,16.9,58.56,10.72,11.01,6.13,5.92,3.31,8.31,4.68,1
Washington,Pac-12 (North),16.0,10,3,5.38,10.84,16.22,51.66,0.4,10.05,4.66,5.85,2.2,7.78,3.15,105
Miami (FL),ACC (Coastal),13.0,10,3,7.05,7.94,14.98,48.53,3.95,9.17,4.97,6.33,2.4,7.79,3.55,19
TCU,Big 12,9.0,11,3,2.41,12.3,14.71,47.98,-1.22,9.17,5.02,5.48,1.95,7.21,3.25,47
Iowa,Big Ten (West),,8,5,5.84,8.83,14.66,50.01,1.83,8.91,4.49,5.2,3.19,6.84,3.77,29
Michigan St.,Big Ten (East),15.0,10,3,2.27,11.56,13.83,43.59,0.33,8.72,5.04,5.26,2.15,6.83,3.57,32
Michigan,Big Ten (East),,8,5,3.85,9.59,13.44,45.46,1.56,8.26,4.5,5.78,2.26,6.84,3.24,31
Oklahoma St.,Big 12,14.0,10,3,15.09,-2.0,13.09,62.48,13.1,11.29,5.84,5.85,2.98,8.65,4.19,46
USC,Pac-12 (South),12.0,11,3,7.47,4.91,12.37,49.33,6.99,10.38,5.38,5.75,3.24,8.06,4.06,103
NC State,ACC (Atlantic),23.0,9,4,8.62,3.54,12.17,50.29,7.83,9.12,5.71,5.91,2.69,7.5,4.16,20
Mississippi St.,SEC (West),19.0,9,4,2.48,9.37,11.85,47.94,4.23,7.87,5.21,6.29,2.53,6.99,3.56,114
LSU,SEC (West),18.0,9,4,2.88,8.9,11.77,43.73,3.02,10.61,5.02,6.0,2.66,7.74,3.67,113
Wake Forest,ACC (Atlantic),,8,5,10.47,0.95,11.42,53.46,10.11,10.3,5.52,5.83,2.92,7.87,4.16,26
Northwestern,Big Ten (West),17.0,10,3,2.92,8.44,11.36,47.48,3.32,8.28,5.17,5.23,2.27,6.72,3.77,35
Stanford,Pac-12 (North),20.0,9,5,5.73,5.11,10.84,49.59,5.33,9.03,5.8,7.1,3.66,8.08,4.45,101
Virginia Tech,ACC (Coastal),24.0,9,4,-2.54,13.1,10.56,43.23,-1.24,8.91,6.11,4.73,2.45,6.59,3.92,25
Iowa St.,Big 12,,8,5,1.93,7.84,9.77,44.64,2.08,8.91,5.39,4.47,2.85,6.84,3.9,42
Purdue,Big Ten (West),,7,6,0.93,8.82,9.74,42.83,1.24,8.47,5.62,5.52,2.19,7.07,3.77,38
Louisville,ACC (Atlantic),,8,5,10.53,-0.85,9.67,55.79,12.18,10.1,6.5,7.61,3.13,8.85,4.5,18
Boston College,ACC (Atlantic),,7,6,2.09,7.3,9.39,44.99,4.33,7.74,4.68,6.06,3.72,6.73,4.01,13
Boise St.,MWC (Mountain),22.0,11,3,6.86,1.8,8.67,47.53,10.4,9.59,5.24,4.88,2.61,7.15,3.77,84
Memphis,American (West),25.0,10,3,12.29,-3.77,8.52,55.72,16.8,9.22,5.74,6.07,3.46,7.78,4.48,6
Texas,Big 12,,7,6,-0.31,8.52,8.21,43.74,1.36,8.22,5.11,4.62,2.05,6.48,3.42,48
Florida St.,ACC (Atlantic),,7,6,-0.49,8.56,8.07,45.17,2.8,8.93,4.25,5.62,2.35,7.1,3.2,16
Florida Atlantic,CUSA (East),,11,3,6.72,1.29,8.01,50.92,13.14,8.99,5.48,6.67,3.65,7.64,4.4,52
South Carolina,SEC (East),,9,4,-0.35,8.13,7.77,40.12,4.26,8.82,5.02,5.07,2.68,6.96,3.76,117
South Florida,American (East),21.0,10,2,6.97,0.31,7.27,47.16,13.26,8.66,5.51,5.41,2.88,6.7,4.05,9
Duke,ACC (Coastal),,7,6,0.46,6.77,7.23,44.07,5.0,7.44,6.0,5.26,3.09,6.28,4.14,15
Washington St.,Pac-12 (North),,9,4,3.04,3.58,6.62,45.65,9.56,8.26,4.64,3.9,3.31,6.95,3.73,106
Georgia Tech,ACC (Coastal),,5,6,6.17,0.21,6.38,47.73,10.48,9.66,5.26,6.69,3.6,7.34,4.33,17
Kansas St.,Big 12,,8,5,3.16,2.68,5.84,46.24,8.43,9.75,5.8,5.84,2.92,7.36,4.34,44
Navy,American (West),,7,6,3.06,2.63,5.69,44.07,9.35,10.98,7.33,6.2,3.19,6.9,4.95,7
Utah,Pac-12 (South),,7,6,1.1,3.97,5.07,43.12,6.98,9.14,4.39,4.71,3.14,6.87,3.6,104
San Diego St.,MWC (West),,10,3,0.24,4.81,5.05,41.46,8.52,8.42,6.02,6.28,2.76,7.08,4.07,90
West Virginia,Big 12,,7,6,7.77,-2.93,4.84,50.54,14.15,9.59,5.83,5.39,4.32,7.61,4.73,50
Indiana,Big Ten (East),,5,7,2.6,2.14,4.74,45.8,9.84,8.15,5.31,4.81,2.82,6.59,3.79,28
Oregon,Pac-12 (North),,7,6,3.14,1.52,4.66,50.45,12.8,9.59,5.11,6.0,2.84,7.43,3.73,99
Fresno St.,MWC (West),,10,4,-2.6,7.07,4.47,41.06,6.81,8.86,5.22,5.41,2.58,7.11,3.81,86
Missouri,SEC (East),,7,6,9.19,-4.91,4.28,54.47,19.57,11.05,6.03,6.37,3.27,8.61,4.48,115
Toledo,MAC (West),,11,3,4.89,-1.07,3.82,46.24,15.47,10.07,6.02,5.68,4.3,7.71,4.94,81
Arizona St.,Pac-12 (South),,7,6,5.76,-1.96,3.8,47.2,14.37,9.75,5.88,4.95,3.83,7.13,4.7,96
Army,Ind,,10,3,1.5,2.2,3.69,43.28,10.95,6.2,6.28,6.79,4.66,6.86,5.47,65
Troy,Sun Belt,,11,2,0.73,2.86,3.59,40.82,11.56,8.34,5.97,5.42,2.93,7.07,4.25,129
Minnesota,Big Ten (West),,5,7,-3.22,6.59,3.36,40.61,7.63,8.29,4.94,5.46,4.1,6.45,4.35,33
Texas A&M,SEC (West),,7,6,6.71,-3.35,3.36,48.12,14.92,8.95,5.7,5.05,3.01,6.95,4.1,119
Arizona,Pac-12 (South),,7,6,12.72,-9.55,3.17,55.43,21.51,9.6,6.22,7.4,4.32,8.35,5.01,95
Texas Tech,Big 12,,6,7,6.05,-3.04,3.01,50.47,14.32,9.43,5.22,5.2,3.55,7.51,4.32,49
Ole Miss,SEC (West),,6,6,8.37,-5.6,2.78,48.29,20.62,10.74,5.98,5.44,4.48,8.35,4.96,116
Houston,American (West),,7,5,-1.72,4.36,2.63,38.57,8.02,8.15,5.45,5.08,2.67,6.66,4.13,5
Ohio,MAC (East),,9,4,3.93,-1.94,1.99,48.77,15.84,8.53,5.96,6.18,3.3,7.22,4.63,80
Syracuse,ACC (Atlantic),,4,8,3.46,-1.5,1.96,46.08,15.35,8.26,6.2,5.44,3.98,6.93,4.92,23
Nebraska,Big Ten (West),,4,8,5.95,-4.43,1.52,47.12,17.81,9.27,5.89,5.08,4.62,7.42,5.13,34
Kentucky,SEC (East),,7,6,1.35,-0.05,1.3,41.08,12.6,9.05,5.98,5.41,3.8,6.99,4.72,112
Pittsburgh,ACC (Coastal),,5,7,-1.03,2.24,1.21,40.43,9.32,8.54,6.35,4.99,3.25,6.63,4.71,22
