School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Missouri,Big 8,6.0,9,2,0,15.36,8.35,23.71,46.02,4.64,,,,,,,115.0
Ohio St.,Big Ten,4.0,8,1,0,10.76,12.63,23.39,49.73,0.65,,,,,,,36.0
Texas,SWC,1.0,11,0,0,12.3,11.03,23.32,48.94,2.07,,,,,,,48.0
Nebraska,Big 8,11.0,9,2,0,6.33,15.62,21.96,36.32,-2.15,,,,,,,34.0
USC,Pac-8,3.0,10,0,1,9.83,12.1,21.93,38.65,-0.57,,,,,,,103.0
Penn State,Ind,2.0,11,0,0,6.7,14.95,21.66,36.04,-0.34,,,,,,,37.0
UCLA,Pac-8,13.0,8,1,1,8.43,12.26,20.69,42.34,0.44,,,,,,,102.0
LSU,SEC,10.0,9,1,0,8.58,12.1,20.68,44.34,0.27,,,,,,,113.0
Stanford,Pac-8,19.0,7,2,1,13.21,6.7,19.91,46.48,5.2,,,,,,,101.0
Houston,Ind,12.0,9,2,0,14.37,5.37,19.74,48.1,8.03,,,,,,,5.0
Michigan,Big Ten,9.0,8,3,0,6.54,12.57,19.11,41.29,-0.31,,,,,,,31.0
Tennessee,SEC,15.0,9,2,0,10.82,8.21,19.04,41.34,4.49,,,,,,,118.0
Florida,SEC,14.0,9,1,1,13.44,5.58,19.02,42.21,6.81,,,,,,,110.0
Notre Dame,Ind,5.0,8,2,1,7.92,10.99,18.91,42.81,2.06,,,,,,,70.0
Arkansas,SWC,7.0,9,2,0,7.23,10.88,18.12,40.27,1.74,,,,,,,108.0
Ole Miss,SEC,8.0,8,3,0,9.4,8.4,17.8,40.41,1.89,,,,,,,116.0
Purdue,Big Ten,18.0,8,2,0,19.33,-1.62,17.72,46.31,12.97,,,,,,,38.0
Auburn,SEC,20.0,8,3,0,8.5,9.07,17.57,43.87,3.46,,,,,,,109.0
Kansas St.,Big 8,,5,5,0,14.39,0.91,15.3,43.64,11.45,,,,,,,44.0
Colorado,Big 8,16.0,8,3,0,8.95,6.23,15.18,35.98,7.19,,,,,,,98.0
Arizona St.,WAC,,8,2,0,12.63,2.24,14.87,46.29,11.7,,,,,,,96.0
Georgia,SEC,,5,5,1,1.16,12.27,13.43,32.47,1.58,,,,,,,111.0
Oklahoma,Big 8,,6,4,0,12.42,1.0,13.42,40.19,14.78,,,,,,,45.0
Oklahoma St.,Big 8,,5,5,0,3.92,9.1,13.03,32.4,3.99,,,,,,,46.0
Utah,WAC,,8,2,0,3.18,9.77,12.96,30.51,3.37,,,,,,,104.0
Toledo,MAC,,11,0,0,9.94,2.95,12.89,37.27,11.77,,,,,,,81.0
Oregon St.,Pac-8,,6,4,0,-0.07,12.81,12.74,29.65,1.08,,,,,,,100.0
San Diego St.,PCAA,,11,0,0,13.52,-1.26,12.26,47.4,16.2,,,,,,,90.0
Air Force,Ind,,6,4,0,7.86,4.27,12.13,37.08,7.17,,,,,,,83.0
West Virginia,Ind,17.0,10,1,0,3.3,6.49,9.8,31.19,9.18,,,,,,,50.0
Alabama,SEC,,6,5,0,9.46,-0.44,9.03,38.91,12.11,,,,,,,107.0
California,Pac-8,,5,5,0,1.66,7.12,8.77,29.95,5.48,,,,,,,97.0
Memphis,MVC,,8,2,0,5.05,3.54,8.59,37.44,13.07,,,,,,,6.0
Florida St.,Ind,,6,3,1,2.94,3.72,6.67,28.27,9.48,,,,,,,16.0
Wyoming,WAC,,6,4,0,1.4,5.27,6.67,30.66,8.56,,,,,,,94.0
Michigan St.,Big Ten,,4,6,0,2.16,3.27,5.44,31.38,8.83,,,,,,,32.0
Dartmouth,Ivy,,8,1,0,3.17,1.73,4.9,33.75,12.31,,,,,,,168.0
